company,new_revenue,old_revenue,delta
ABUS,6011000,5945000,1
ACAD,223807000,124901000,1
ADAP,1122000,59505000,0
ADPT,85071000,55663000,1
ADVM,250000000,1612000000,0
AERI,69888000,24181000,1
AGLE,0,3888000,NA
AKRO,37046000,11882000,1
ALEC,21219000,27508000,0
ALKS,1038756000,1170947000,0
ALNY,74908000,89912000,0
ALT,8185027000,5801401000,1
AMGN,6037000,6945000,0
AMRN,614060000,429755000,1
ANAB,8000000,5000000,1
ANIP,206547000,201576000,1
APLT,32350000,11471000,1
ARCT,20789000,15753000,1
ARDX,2607000,42000000,0
ARNA,17970000000,21337000000,0
ARQT,115308000,36522000,1
ARVN,3440165000,3375264000,1
ARWR,87992066000,168795577000,0
ASMB,14804000,9019000,1
ATNX,101229000,89100000,1
ATRA,216097000,167457000,1
AUPH,50118000,318000,1
AVRO,54974000,35095000,1
AXSM,53647067000,23495055000,1
BBIO,40560000,2500000,1
BCEL,54726000,32513000,1
BCRX,20653000,25186000,0
BDSI,55640000,61985000,0
BLUE,4050037000,3865807000,1
BMRN,1491212000,1313646000,1
BPMC,66512000,44521000,1
CABA,11671000,4467000,1
CALA,22254000,25955000,0
CARA,19886000,13469000,1
CBAY,83837000,58124000,1
CCXI,35952000,42875000,0
CDXS,60594000,50024000,1
CHMA,15122000,9974000,1
CHRS,356071000000,0,NA
CNST,66459000000,48769000000,1
CRNX,2428000,2045000,1
CRSP,289590000,3124000,1
CRTX,30214000,10085000,1
CSTL,51865000,22786000,1
CTMX,57489000,59502000,0
CYTK,31501000,13368000,1
DCPH,42087000,25000000,1
DNLI,129160000,0,NA
DRNA,23904000,6176000,1
EGRX,213312000,236707000,0
EIGR,51791000,37091000,1
ENDP,2947078000,3468858000,0
ENTA,205197000,206625000,0
EPZM,15762000,23800000,0
EXEL,987538000,967775000,1
FATE,4740000,4106000,1
FGEN,256577000,212958000,1
FIXX,1666000,5322000,0
FOLD,182237000,91245000,1
FPRX,49868000000,39508000000,1
FREQ,28947000,11880000,1
FULC,71072000,25184000,1
GBT,2108000,131307000,0
GERN,460000000,1066000000,0
GH,180462000,78407000,1
GILD,22127000,26107000,0
GTHX,89002000,70683000,1
GWPH,6654000,311332000,0
HALO,195992000,151862000,1
HARP,5777000,4750000,1
IDYA,34319000,31749000,1
IGMS,12763000,8279000,1
ILMN,3333000,2752000,1
IMGN,82271000000,53446000000,1
IMUX,24825000000,39341000000,0
IMVT,47927000,25733000,1
INCY,2158759000,1881883000,1
INO,4111930000,30481897000,0
INSM,164413000,136467000,1
INVA,261004000,217217000,1
IONS,599674000,514179000,1
IOVA,166023000,99828000,1
IRWD,428413000,346639000,1
ISEE,0,0,NA
JAZZ,1890922000,1618693000,1
JNCE,62339000,147872000,0
KALA,6362000,6074000,1
KALV,12690000,16127000,0
KDMN,1396000,12264000,0
KNSA,86597000,56357000,1
KOD,37506000,18793000,1
KPTI,30336000,1605000,1
KRTX,24536000,11536000,1
KZR,27363000,18136000,1
LGND,251453000,141102000,1
LMNX,90501000,78673000,1
LRMR,0,0,NA
MCRB,26917000,32100000,0
MDGL,72324000,25389000,1
MEDP,704589000,436152000,1
MGNX,60121000,157742000,0
MGTA,0,0,NA
MGTX,44483938000,9325017000,1
MNKD,65144000000,63038000000,1
MNOV,5625814000,4223746000,1
MRNA,135068000,205825000,0
MRSN,42123000,10594000,1
MRTX,12926000000,0,NA
NBIX,788087000,451240000,1
NGM,103544000000,108665000000,0
NK,43000,47000,0
NKTR,114617000,1193323000,0
NLTX,25000000,4417000,1
NRIX,17820000,31115000,0
NTLA,43103000,30434000,1
NVAX,18662000,34288000,0
OCUL,1990000,1923000,1
OMER,111805000,29868000,1
OPK,901935000,990266000,0
ORTX,2513000,2076000,1
OSMT,240031000000,263701000000,0
PAHC,57573000,29168000,1
PCRX,0,3000000000,NA
PRAH,2871922000,2259389000,1
PSNL,65207000,37774000,1
PTCT,12670000,4577000,1
PTGX,231000,30925000,0
QURE,7281000,11284000,0
RARE,51495000,2612000,1
RDUS,7627000,932000,1
REPL,38761000,22173000,1
RETA,26517000,53589000,0
RIGL,59288000,44509000,1
RPRX,2122353000,1814254000,1
RUBY,116107000,112419000,1
RVNC,3729000,262000,1
RYTM,109450000,50337000,1
SAGE,1114200000,6868000,1
SELB,6677000,903000,1
SGEN,654700000,482250000,1
SGMO,102428000,84452000,1
SIGA,26742085000,477053782000,0
SNDX,1517000,1517000,0
SPPI,0,0,NA
SPRO,3966000,1979000,1
SRRK,36310000,19944000,1
STRO,38419000,51741000,0
SUPN,408897000,302238000,1
SURF,59417000,12826000,1
SWTX,35000000,51859000,0
SYNH,1394000,2122000,0
SYRS,508000,558000,0
TBPH,60370000,15386000,1
TCDA,133028000,85594000,1
TCRR,9392000,11374000,0
TPTX,57943000,21062000,1
TXMD,49646937000,16099460000,1
UBX,1382000,70957000,0
URGN,18000,1128000,0
VCYT,120368000,92008000,1
VIE,50000000,104641000,0
VIR,8091000,10668000,0
VSTM,17456000,26718000,0
VYGR,104391000,7619000,1
WVE,14414000,3893000,1
XBIT,24090000,15725000,1
XENE,311000,23634000,0
XERS,1627000,0,NA
XLRN,73993000,13991000,1
XNCR,11564000,29039000,0
YMAB,63492000,34269000,1
ZGNX,3648000,0,NA
