name,type,address,zip,lat,lon
Wilson Park,open space,Allston-Brighton,,42.3409848,-71.14593012769663
Nickerson Field,open space,Allston-Brighton,,42.3533687,-71.11928338446205
Smith Playground,open space,Allston-Brighton,,42.3643591,-71.13141084258021
Fern Square,open space,Allston-Brighton,,41.211271,-81.496505
Ringer Playground,open space,Allston-Brighton,,42.35044595,-71.1382238183792
McKinney Playground,open space,Allston-Brighton,,42.35475125,-71.15292158302212
Hobart Park,open space,Allston-Brighton,,42.35573460000001,-71.16126998024089
Jackson Square,open space,Allston-Brighton,,42.322596000000004,-71.1002569
Boyden Park,open space,Allston-Brighton,,42.3395448,-71.16631677821685
Evergreen Cemetery,open space,Allston-Brighton,,42.33833615,-71.1629570539935
Hardiman Playground,open space,Allston-Brighton,,42.3512392,-71.16621591550701
St John's Seminary,open space,Allston-Brighton,,42.3440176,-71.1626777
Rogers Park,open space,Allston-Brighton,,42.347319299999995,-71.15922020000001
Euston Path Rock,open space,Allston-Brighton,,42.34245945,-71.14753942222029
Foster Street Hill,open space,Allston-Brighton,,42.3675338,-71.0541999
Chandler Pond,open space,Allston-Brighton,,42.345071999999995,-71.16566743468981
Nonquit Green,open space,Dorchester,,42.3181598,-71.06837095
Mullen Square,open space,Dorchester,,42.31934655000001,-71.05793295479421
Calf Pasture,open space,Dorchester,,42.3165932,-71.03628257819757
Meetinghouse Hill Overlook,open space,Dorchester,,42.3080788,-71.06013530804853
Downer Avenue Playground,open space,Dorchester,,42.31155685,-71.06162420206817
Quincy/Stanley Play Area,open space,Dorchester,,42.311018,-71.06881712214063
Deer Street Park,open space,Dorchester,,32.97981,-80.198647
Savin Hill Beach,open space,Dorchester,,42.30819395,-71.0620442942198
Coppens Square,open space,Dorchester,,42.30840875,-71.06433306598706
Old Harbor Park,open space,Dorchester,,42.3197849,-71.04014772454207
McConnell Park,open space,Dorchester,,42.30867215,-71.05275430768006
Boston Common,open space,Back Bay/Beacon Hill,,42.3550406,-71.06605148171109
Central Burying Ground,open space,Back Bay/Beacon Hill,,42.352889000000005,-71.06598232460587
Public Garden,open space,Back Bay/Beacon Hill,,42.34932979999999,-71.07865473816359
Granary Burying Ground,open space,Back Bay/Beacon Hill,,42.35713265,-71.06178524952969
Myrtle Street Playground,open space,Back Bay/Beacon Hill,,42.35920365,-71.06609592462685
Louisburg Square,open space,Back Bay/Beacon Hill,,42.3584437,-71.06876380854683
State House Park,open space,Back Bay/Beacon Hill,,42.35684365,-71.06862657516851
Copley Square Park,open space,Back Bay/Beacon Hill,,42.34999015,-71.07643966570842
Prudential Center Plaza I,open space,Back Bay/Beacon Hill,,42.3482417,-71.08120994737001
Somerset Street Plaza,open space,Back Bay/Beacon Hill,,42.3593501,-71.061593
DeFilippo Playground,open space,Central Boston,,42.366460100000005,-71.05693575584002
Copp's Hill Burying Ground,open space,Central Boston,,42.367366100000005,-71.05591176866496
Copp's Hill Terrace,open space,Central Boston,,42.3678366,-71.05533372628653
Charter Street Park,open space,Central Boston,,42.367226,-71.05468499999999
Paul Revere Mall,open space,Central Boston,,42.365760200000004,-71.05363426580627
Polcari Park,open space,Central Boston,,42.365039700000004,-71.0544317696302
Cutillo Park,open space,Central Boston,,42.3635982,-71.05642722553571
City Hall Plaza,open space,Central Boston,,42.36032279999999,-71.05909840000001
Norman Leventhal Park,open space,Central Boston,,42.3563081,-71.05562989538274
Pemberton Square I,open space,Central Boston,,42.358874,-71.0611127
Pemberton Square II,open space,Central Boston,,42.359541799999995,-71.0606066
Angell Memorial Square,open space,Central Boston,,42.357108000000004,-71.05615307947912
Union Street Park I,open space,Central Boston,,42.3616305,-71.05726740000001
School Street Park,open space,Central Boston,,42.313331,-71.097565
Prince Street Park,open space,Central Boston,,42.316097,-71.123632
Ausonia Plaza,open space,Central Boston,,42.36295870000001,-71.05232099421164
Rachel Revere Square,open space,Central Boston,,42.3635291,-71.0534937
Tai Tung Park,open space,Central Boston,,42.3483016,-71.06152956297622
Pine Street Park,open space,Central Boston,,42.347404100000006,-71.06389906767166
Quincy Market Square,open space,Central Boston,,42.36020755,-71.05491278796718
Winthrop Square,open space,Central Boston,,42.3547933,-71.05770695560545
Edwards Playground,open space,Charlestown,,42.37947985,-71.06839606747283
City Square,open space,Charlestown,,42.3718654,-71.0612168
John Harvard Mall,open space,Charlestown,,42.37261265,-71.06251420485242
Paul Revere Park,open space,Charlestown,,42.37011365,-71.06233429784388
Charlestown HS Athletic Fields,open space,Charlestown,,42.38093315,-71.05961097467696
Ryan Playground,open space,Charlestown,,42.386085200000004,-71.07135099322763
Gardens for Charlestown,open space,Charlestown,,42.38301665,-71.0714625249932
Barry Playground,open space,Charlestown,,42.3794641,-71.05342189107034
Doherty Playground,open space,Charlestown,,42.382474,-71.06746712158338
St Francis De Sales Cemetery,open space,Charlestown,,42.38179215,-71.06560671040901
Bunker Hill Monument,open space,Charlestown,,42.37635225,-71.0607673472946
Winthrop Square,open space,Charlestown,,42.37438695,-71.06012573120495
