TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;25;009;2661.00;1000;1,4
Census Block;25;009;2661.00;1001;1
Census Block;25;009;2661.00;1002;1
Census Block;25;009;2661.00;1003;1
Census Block;25;009;2661.00;1004;1
Census Block;25;009;2661.00;1005;1
Census Block;25;009;2661.00;1006;1
Census Block;25;009;2661.00;1007;1,2,4,5
Census Block;25;009;2661.00;1008;5
Census Block;25;009;2661.00;1009;5
Census Block;25;009;2661.00;1010;5
Census Block;25;009;2661.00;1011;4,5
Census Block;25;009;2661.00;1012;4,5
Census Block;25;009;2661.00;1013;5
Census Block;25;009;2661.00;1014;5
Census Block;25;009;2661.00;1015;5
Census Block;25;009;2661.00;1016;5
Census Block;25;009;2661.00;1017;5
Census Block;25;009;2661.00;1018;4,5
Census Block;25;009;2661.00;1019;1,2,4,5
Census Block;25;009;2661.00;1020;5
Census Block;25;009;2661.00;1021;5
Census Block;25;009;2661.00;1022;5
Census Block;25;009;2661.00;1023;4,5
Census Block;25;009;2661.00;1024;5
Census Block;25;009;2661.00;1025;5
Census Block;25;009;2661.00;1026;1,4,5
Census Block;25;009;2661.00;1027;4,5
Census Block;25;009;2661.00;1028;4,5
Census Block;25;009;2661.00;1029;2,4,5
Census Block;25;009;2661.00;1030;5
Census Block;25;009;2661.00;1031;5
Census Block;25;009;2661.00;1032;5
Census Block;25;009;2661.00;1033;5
Census Block;25;009;2661.00;1034;5
Census Block;25;009;2661.00;1035;5
Census Block;25;009;2661.00;1036;1
Census Block;25;009;2661.00;2000;5
Census Block;25;009;2661.00;2001;5
Census Block;25;009;2661.00;2002;5
Census Block;25;009;2661.00;2003;5
Census Block;25;009;2661.00;2004;5
Census Block;25;009;2661.00;2005;5
Census Block;25;009;2661.00;2006;5
Census Block;25;009;2661.00;2007;5
Census Block;25;009;2661.00;2008;5
Census Block;25;009;2661.00;2009;5
Census Block;25;009;2661.00;2010;5
Census Block;25;009;2661.00;2011;5
Census Block;25;009;2661.00;2012;5
Census Block;25;009;2661.00;2013;5
Census Block;25;009;2661.00;2014;5
Census Block;25;009;2661.00;2015;5
Census Block;25;009;2661.00;2016;5
Census Block;25;009;2661.00;2017;5
Census Block;25;009;2661.00;2018;5
Census Block;25;009;2661.00;2019;5
Census Block;25;009;2661.00;2020;5
Census Block;25;009;2661.00;2021;5
Census Block;25;009;2661.00;2022;5
Census Block;25;009;2661.00;2023;5
Census Block;25;009;2661.00;2024;5
Census Block;25;009;2661.00;2025;5
Census Block;25;009;2661.00;2026;5
Census Block;25;009;2661.00;2027;5
Census Block;25;009;2661.00;2028;5
Census Block;25;009;2661.00;3000;2,5
Census Block;25;009;2661.00;3001;5
Census Block;25;009;2661.00;3002;2
Census Block;25;009;2661.00;3003;1,2
Census Block;25;009;2661.00;3004;2
Census Block;25;009;2661.00;3005;2
Census Block;25;009;2661.00;3006;2
Census Block;25;009;2661.00;3007;2
Census Block;25;009;2661.00;3008;2
Census Block;25;009;2661.00;3009;1,2
Census Block;25;009;2661.00;3010;1,2
Census Block;25;009;2661.00;3011;1,2
Census Block;25;009;2661.00;3012;2
Census Block;25;009;2661.00;3013;2
Census Block;25;009;2661.00;3014;1
Census Block;25;009;2661.00;3015;1
Census Block;25;009;2661.00;3016;1
Census Block;25;009;2661.00;3017;1
Census Block;25;009;2661.00;3018;1
Census Block;25;009;2661.00;3019;1
Census Block;25;009;2661.00;3020;1
Census Block;25;009;2661.00;3021;1
Census Block;25;009;2661.00;3022;1
Census Block;25;009;2661.00;3023;1
Census Block;25;009;2661.00;3024;1
Census Block;25;009;2661.00;3025;2
Census Block;25;009;2661.00;4000;5
Census Block;25;009;2661.00;4001;5
Census Block;25;009;2661.00;4002;5
Census Block;25;009;2661.00;4003;5
Census Block;25;009;2661.00;4004;5
Census Block;25;009;2661.00;4005;5
Census Block;25;009;2661.00;4006;5
Census Block;25;009;2661.00;4007;5
Census Block;25;009;2661.00;4008;2,5
Census Block;25;009;2661.00;4009;5
Census Block;25;009;2661.00;4010;5
Census Block;25;009;2661.00;4011;5
Census Block;25;009;2661.00;4012;5
Census Block;25;009;2661.00;4013;5
Census Block;25;009;2661.00;5000;2
Census Block;25;009;2661.00;5001;2
Census Block;25;009;2661.00;5002;2
Census Block;25;009;2661.00;5003;2
Census Block;25;009;2661.00;5004;2
Census Block;25;009;2661.00;5005;2
Census Block;25;009;2661.00;5006;2
Census Block;25;009;2661.00;5007;2
Census Block;25;009;2661.00;5008;2,5
Census Block;25;009;2661.00;5009;2
Census Block;25;009;2661.00;5010;2,5
Census Block;25;009;2661.00;5011;2,5
Census Block;25;009;2661.00;5012;5
Census Block;25;009;2661.00;5013;5
Census Block;25;009;2661.00;5014;5
Census Block;25;009;2661.00;5015;5
Census Block;25;009;2661.00;5016;5
Census Block;25;009;2661.00;5017;5
Census Block;25;009;2662.00;1000;2
Census Block;25;009;2662.00;1001;2
Census Block;25;009;2662.00;1002;2
Census Block;25;009;2662.00;1003;2
Census Block;25;009;2662.00;1004;2
Census Block;25;009;2662.00;1005;2
Census Block;25;009;2662.00;1006;2
Census Block;25;009;2662.00;1007;2
Census Block;25;009;2662.00;1008;2
Census Block;25;009;2662.00;1009;2
Census Block;25;009;2662.00;1010;2
Census Block;25;009;2662.00;1011;2
Census Block;25;009;2662.00;1012;2
Census Block;25;009;2662.00;1013;2
Census Block;25;009;2662.00;1014;2
Census Block;25;009;2662.00;1015;2
Census Block;25;009;2662.00;1016;2
Census Block;25;009;2662.00;1017;2
Census Block;25;009;2662.00;1018;2
Census Block;25;009;2662.00;1019;2
Census Block;25;009;2662.00;1020;2
Census Block;25;009;2662.00;1021;2
Census Block;25;009;2662.00;1022;2
Census Block;25;009;2662.00;1023;2
Census Block;25;009;2662.00;1024;2
Census Block;25;009;2662.00;1025;2
Census Block;25;009;2662.00;1026;2
Census Block;25;009;2662.00;1027;2
Census Block;25;009;2662.00;2000;2
Census Block;25;009;2662.00;2001;2
Census Block;25;009;2662.00;2002;2
Census Block;25;009;2662.00;2003;2
Census Block;25;009;2662.00;2004;2
Census Block;25;009;2662.00;2005;2
Census Block;25;009;2662.00;2006;2
Census Block;25;009;2662.00;2007;2
Census Block;25;009;2662.00;2008;2
Census Block;25;009;2662.00;2009;2
Census Block;25;009;2662.00;2010;2
Census Block;25;009;2662.00;2011;2
Census Block;25;009;2662.00;2012;2
Census Block;25;009;2662.00;2013;2
Census Block;25;009;2662.00;2014;2
Census Block;25;009;2662.00;2015;2
Census Block;25;009;2662.00;2016;2
Census Block;25;009;2662.00;2017;2
Census Block;25;009;2662.00;2018;2
Census Block;25;009;2662.00;2019;2
Census Block;25;009;2662.00;2020;2
Census Block;25;009;2662.00;2021;2
Census Block;25;009;2662.00;2022;2
Census Block;25;009;2662.00;2023;2
Census Block;25;009;2662.00;2024;2
Census Block;25;009;2662.00;2025;2
Census Block;25;009;2662.00;2026;2
Census Block;25;009;2662.00;2027;2
Census Block;25;009;2662.00;2028;2
Census Block;25;009;2662.00;2029;2
Census Block;25;009;2662.00;2030;2
Census Block;25;009;2662.00;2031;2
Census Block;25;009;2662.00;2032;2
Census Block;25;009;2662.00;2033;2
Census Block;25;009;2662.00;2034;2
Census Block;25;009;2662.00;2035;2
Census Block;25;009;2662.00;2036;2
Census Block;25;009;2662.00;2037;2
Census Block;25;009;2662.00;2038;2
Census Block;25;009;2662.00;2039;2
Census Block;25;009;2662.00;2040;2
Census Block;25;009;2662.00;2041;2
Census Block;25;009;2662.00;2042;2
Census Block;25;009;2662.00;2043;2
Census Block;25;009;2662.00;2044;2
Census Block;25;009;2662.00;3000;2
Census Block;25;009;2662.00;3001;2
Census Block;25;009;2662.00;3002;2
Census Block;25;009;2662.00;3003;2
Census Block;25;009;2662.00;3004;2
Census Block;25;009;2662.00;3005;2
Census Block;25;009;2662.00;3006;2
Census Block;25;009;2662.00;3007;2
Census Block;25;009;2662.00;3008;2
Census Block;25;009;2662.00;3009;2
Census Block;25;009;2662.00;3010;2
Census Block;25;009;2662.00;3011;2
Census Block;25;009;2662.00;3012;2
Census Block;25;009;2662.00;3013;2
Census Block;25;009;2662.00;3014;2
Census Block;25;009;2662.00;3015;2
Census Block;25;009;2662.00;3016;2
Census Block;25;009;2662.00;3017;2
Census Block;25;009;2662.00;3018;2
Census Block;25;009;2662.00;3019;2
Census Block;25;009;2662.00;3020;2
Census Block;25;009;2662.00;3021;2
Census Block;25;009;2662.00;3022;2
Census Block;25;009;2662.00;3023;2
Census Block;25;009;2662.00;3024;2
Census Block;25;009;2663.00;1000;6
Census Block;25;009;2663.00;1001;6
Census Block;25;009;2663.00;1002;6
Census Block;25;009;2663.00;1003;6
Census Block;25;009;2663.00;1004;6
Census Block;25;009;2663.00;1005;6
Census Block;25;009;2663.00;1006;6
Census Block;25;009;2663.00;1007;6
Census Block;25;009;2663.00;1008;6
Census Block;25;009;2663.00;1009;6
Census Block;25;009;2663.00;1010;6
Census Block;25;009;2663.00;1011;6
Census Block;25;009;2663.00;1012;6
Census Block;25;009;2663.00;1013;6
Census Block;25;009;2663.00;1014;6
Census Block;25;009;2663.00;1015;6
Census Block;25;009;2663.00;1016;6
Census Block;25;009;2663.00;1017;6
Census Block;25;009;2663.00;1018;6
Census Block;25;009;2663.00;1019;6
Census Block;25;009;2663.00;1020;6
Census Block;25;009;2663.00;1021;6
Census Block;25;009;2663.00;1022;6
Census Block;25;009;2663.00;1023;6
Census Block;25;009;2663.00;1024;6
Census Block;25;009;2663.00;1025;6
Census Block;25;009;2663.00;1026;6
Census Block;25;009;2663.00;1027;6
Census Block;25;009;2663.00;1028;6
Census Block;25;009;2663.00;1029;6
Census Block;25;009;2663.00;1030;6
Census Block;25;009;2663.00;1031;6
Census Block;25;009;2663.00;1032;6
Census Block;25;009;2663.00;1033;6
Census Block;25;009;2663.00;1034;6
Census Block;25;009;2663.00;1035;6
Census Block;25;009;2663.00;1036;6
Census Block;25;009;2663.00;1037;6
Census Block;25;009;2663.00;1038;6
Census Block;25;009;2663.00;1039;6
Census Block;25;009;2663.00;1040;6
Census Block;25;009;2663.00;1041;6
Census Block;25;009;2663.00;1042;6
Census Block;25;009;2663.00;1043;6
Census Block;25;009;2663.00;1044;6
Census Block;25;009;2663.00;1045;6
Census Block;25;009;2663.00;1046;6
Census Block;25;009;2663.00;1047;6
Census Block;25;009;2663.00;1048;6
Census Block;25;009;2663.00;1049;6
Census Block;25;009;2663.00;1050;6
Census Block;25;009;2663.00;1051;6
Census Block;25;009;2663.00;1052;6
Census Block;25;009;2663.00;1053;6
Census Block;25;009;2663.00;2000;6
Census Block;25;009;2663.00;2001;5,6
Census Block;25;009;2663.00;2002;5,6
Census Block;25;009;2663.00;2003;5,6
Census Block;25;009;2663.00;2004;6
Census Block;25;009;2663.00;2005;5
Census Block;25;009;2663.00;2006;5
Census Block;25;009;2663.00;2007;5
Census Block;25;009;2663.00;2008;5
Census Block;25;009;2663.00;2009;5
Census Block;25;009;2663.00;2010;5
Census Block;25;009;2663.00;2011;5
Census Block;25;009;2663.00;2012;5
Census Block;25;009;2663.00;2013;5
Census Block;25;009;2663.00;2014;5,6
Census Block;25;009;2663.00;2015;6
Census Block;25;009;2663.00;2016;6
Census Block;25;009;2663.00;2017;6
Census Block;25;009;2663.00;2018;6
Census Block;25;009;2663.00;2019;6
Census Block;25;009;2663.00;2020;5,6
Census Block;25;009;2663.00;2021;5
Census Block;25;009;2663.00;2022;5
Census Block;25;009;2663.00;2023;5
Census Block;25;009;2663.00;2024;5
Census Block;25;009;2663.00;2025;5
Census Block;25;009;2663.00;2026;5
Census Block;25;009;2663.00;2027;5
Census Block;25;009;2663.00;2028;5
Census Block;25;009;2663.00;2029;5
Census Block;25;009;2663.00;2030;5
Census Block;25;009;2663.00;2031;5
Census Block;25;009;2663.00;2032;5
Census Block;25;009;2663.00;2033;5
Census Block;25;009;2663.00;2034;5
Census Block;25;009;2663.00;2035;5
Census Block;25;009;2663.00;2036;5
