TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;25;017;3261.01;1000;1
Census Block;25;017;3261.01;1001;1
Census Block;25;017;3261.01;1002;1
Census Block;25;017;3261.01;1003;1
Census Block;25;017;3261.01;1004;1
Census Block;25;017;3261.01;1005;1
Census Block;25;017;3261.01;1006;1
Census Block;25;017;3261.01;1007;1
Census Block;25;017;3261.01;1008;1
Census Block;25;017;3261.01;1009;1
Census Block;25;017;3261.01;1010;1
Census Block;25;017;3261.01;1011;1
Census Block;25;017;3261.01;1013;1
Census Block;25;017;3261.01;1014;1
Census Block;25;017;3261.01;1015;1
Census Block;25;017;3261.01;2045;1
Census Block;25;017;3261.01;2046;1
Census Block;25;017;3261.01;2050;1
Census Block;25;017;3261.01;2051;1
Census Block;25;017;3261.01;2052;1
Census Block;25;017;3261.01;2071;1
Census Block;25;017;3261.01;2072;1
Census Block;25;017;3261.01;2073;1
Census Block;25;017;3261.01;2074;1
Census Block;25;017;3261.02;1044;1
Census Block;25;017;3261.02;1045;1
Census Block;25;017;3261.02;1046;1
Census Block;25;017;3261.02;1047;1
Census Block;25;017;3261.02;1048;1
Census Block;25;017;3261.02;1049;1
Census Block;25;017;3261.02;1050;1
Census Block;25;017;3261.02;1051;1
Census Block;25;017;3261.02;1052;1
Census Block;25;017;3261.02;1053;1
Census Block;25;017;3261.02;1054;1
Census Block;25;017;3261.02;1055;1
Census Block;25;017;3261.02;1070;1
Census Block;25;017;3261.02;1071;1
Census Block;25;017;3261.02;1072;1
Census Block;25;017;3261.02;1073;1
Census Block;25;017;3261.02;1074;1
