TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;25;015;8215.00;1001;1
Census Block;25;015;8215.00;1002;1,2
Census Block;25;015;8215.00;1003;1
Census Block;25;015;8215.00;1004;2
Census Block;25;015;8215.00;1005;1
Census Block;25;015;8215.00;1006;1
Census Block;25;015;8215.00;1008;1,2
Census Block;25;015;8215.00;1009;1,2
Census Block;25;015;8215.00;1010;1,2
Census Block;25;015;8215.00;1011;1
Census Block;25;015;8215.00;1012;1
Census Block;25;015;8215.00;1013;2
Census Block;25;015;8215.00;1014;2
Census Block;25;015;8215.00;1015;2
Census Block;25;015;8215.00;1016;2
Census Block;25;015;8215.00;1017;2
Census Block;25;015;8215.00;1018;2
Census Block;25;015;8215.00;1019;2
Census Block;25;015;8215.00;1020;2
Census Block;25;015;8215.00;1021;2
Census Block;25;015;8215.00;1022;2
Census Block;25;015;8215.00;1023;2
Census Block;25;015;8215.00;1025;2
Census Block;25;015;8215.00;1026;2
Census Block;25;015;8215.00;2020;2
Census Block;25;015;8215.00;2021;2
Census Block;25;015;8215.00;2022;2
Census Block;25;015;8215.00;2023;2
Census Block;25;015;8215.00;2024;2
Census Block;25;015;8215.00;2025;2
Census Block;25;015;8215.00;2026;2
Census Block;25;015;8215.00;2027;2
Census Block;25;015;8215.00;2028;2
Census Block;25;015;8215.00;2029;2
Census Block;25;015;8215.00;2030;2
Census Block;25;015;8215.00;2031;2
Census Block;25;015;8215.00;2032;2
Census Block;25;015;8215.00;2034;2
Census Block;25;015;8215.00;2035;2
Census Block;25;015;8215.00;2036;2
Census Block;25;015;8215.00;2040;2
Census Block;25;015;8215.00;2041;2
Census Block;25;015;8215.00;2042;2
Census Block;25;015;8215.00;2043;2
Census Block;25;015;8215.00;2044;2
