TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;25;009;2521.01;1000;3
Census Block;25;009;2521.01;1001;3
Census Block;25;009;2521.01;1002;3
Census Block;25;009;2521.01;1003;3
Census Block;25;009;2521.01;1004;3
Census Block;25;009;2521.01;1005;3
Census Block;25;009;2521.01;1006;3
Census Block;25;009;2521.01;1007;3
Census Block;25;009;2521.01;1008;3
Census Block;25;009;2521.01;1009;3
Census Block;25;009;2521.01;1010;3
Census Block;25;009;2521.01;1011;3
Census Block;25;009;2521.01;1012;3
Census Block;25;009;2521.01;1013;3
Census Block;25;009;2521.01;1014;3
Census Block;25;009;2521.01;1015;3
Census Block;25;009;2521.01;1016;3
Census Block;25;009;2521.01;1017;3
Census Block;25;009;2521.01;1018;3
Census Block;25;009;2521.01;1019;3
Census Block;25;009;2521.01;1020;3
Census Block;25;009;2521.01;1021;3
Census Block;25;009;2521.01;1022;3
Census Block;25;009;2521.01;2000;3
Census Block;25;009;2521.01;2001;3,5
Census Block;25;009;2521.01;2002;3,5
Census Block;25;009;2521.01;2003;3,5
Census Block;25;009;2521.01;2004;3,5
Census Block;25;009;2521.01;2005;5
Census Block;25;009;2521.01;2006;5
Census Block;25;009;2521.01;2007;5
Census Block;25;009;2521.01;2008;5
Census Block;25;009;2521.01;2009;5
Census Block;25;009;2521.01;2010;5
Census Block;25;009;2521.01;2011;5
Census Block;25;009;2521.01;2012;5
Census Block;25;009;2521.01;2013;5
Census Block;25;009;2521.01;2014;5
Census Block;25;009;2521.01;2015;5
Census Block;25;009;2521.01;3000;3
Census Block;25;009;2521.01;3001;3
Census Block;25;009;2521.01;3002;3
Census Block;25;009;2521.01;3003;3
Census Block;25;009;2521.01;3004;3,5
Census Block;25;009;2521.01;3005;5
Census Block;25;009;2521.01;3006;3,5
Census Block;25;009;2521.01;3007;3,5
Census Block;25;009;2521.01;3008;3
Census Block;25;009;2521.01;3009;3
Census Block;25;009;2521.01;3010;3,5
Census Block;25;009;2521.01;3011;3,5
Census Block;25;009;2521.01;3012;5
Census Block;25;009;2521.01;3013;5
Census Block;25;009;2521.01;3014;5
Census Block;25;009;2521.01;3015;5
Census Block;25;009;2521.01;3016;5
Census Block;25;009;2521.01;3017;5
Census Block;25;009;2521.01;3018;5
