TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;25;021;4111.00;1000;1
Census Block;25;021;4111.00;1001;1
Census Block;25;021;4111.00;1002;1
Census Block;25;021;4111.00;1003;1
Census Block;25;021;4111.00;1004;1
Census Block;25;021;4111.00;1005;1
Census Block;25;021;4111.00;1006;1
Census Block;25;021;4111.00;1007;1
Census Block;25;021;4111.00;1008;1
Census Block;25;021;4111.00;1009;1
Census Block;25;021;4111.00;1010;1
Census Block;25;021;4111.00;1011;1
Census Block;25;021;4111.00;1012;1
Census Block;25;021;4111.00;1013;1
Census Block;25;021;4111.00;1014;1
Census Block;25;021;4111.00;1015;1
Census Block;25;021;4111.00;1016;1
Census Block;25;021;4111.00;1017;1
Census Block;25;021;4111.00;1018;1
Census Block;25;021;4111.00;1019;1
Census Block;25;021;4111.00;1020;1
Census Block;25;021;4111.00;1021;1
Census Block;25;021;4111.00;1022;1
Census Block;25;021;4111.00;1024;1
Census Block;25;021;4111.00;1025;1
Census Block;25;021;4111.00;3000;1
Census Block;25;021;4111.00;3001;1
Census Block;25;021;4111.00;3002;1
Census Block;25;021;4111.00;3003;1
Census Block;25;021;4111.00;3004;1
Census Block;25;021;4111.00;3005;1
Census Block;25;021;4111.00;3006;1
Census Block;25;021;4111.00;3007;1
Census Block;25;021;4111.00;3008;1
Census Block;25;021;4111.00;3009;1
Census Block;25;021;4111.00;3010;1
Census Block;25;021;4111.00;3011;1
Census Block;25;021;4111.00;3012;1
Census Block;25;021;4111.00;3013;1
Census Block;25;021;4111.00;3014;1
Census Block;25;021;4111.00;3015;1
Census Block;25;021;4111.00;3016;1
Census Block;25;021;4111.00;3017;1
Census Block;25;021;4111.00;3018;1
Census Block;25;021;4111.00;3019;1
Census Block;25;021;4111.00;3020;1
Census Block;25;021;4111.00;3021;1
Census Block;25;021;4111.00;3022;1
Census Block;25;021;4111.00;3023;1
Census Block;25;021;4111.00;3024;1
Census Block;25;021;4111.00;3025;1
Census Block;25;021;4111.00;3026;1
Census Block;25;021;4111.00;3027;1
Census Block;25;021;4111.00;3028;1
Census Block;25;021;4111.00;3029;1
Census Block;25;021;4111.00;3030;1
Census Block;25;021;4111.00;3031;1
Census Block;25;021;4111.00;3032;1
Census Block;25;021;4111.00;3033;1
Census Block;25;021;4111.00;3034;1
Census Block;25;021;4111.00;3035;1
Census Block;25;021;4111.00;3036;1
Census Block;25;021;4111.00;3037;1
Census Block;25;021;4111.00;3038;1
Census Block;25;021;4111.00;3039;1
Census Block;25;021;4111.00;4000;1
Census Block;25;021;4111.00;4001;1
Census Block;25;021;4111.00;4002;1
Census Block;25;021;4111.00;4003;1
Census Block;25;021;4111.00;4004;1
Census Block;25;021;4111.00;4005;1
Census Block;25;021;4111.00;4006;1
Census Block;25;021;4111.00;4007;1
Census Block;25;021;4111.00;4008;1
Census Block;25;021;4111.00;4009;1
Census Block;25;021;4111.00;4010;1
Census Block;25;021;4111.00;4011;1
Census Block;25;021;4111.00;4012;1
Census Block;25;021;4111.00;4013;1
Census Block;25;021;4111.00;4014;1
Census Block;25;021;4111.00;4015;1
Census Block;25;021;4111.00;4016;1
Census Block;25;021;4111.00;4017;1
Census Block;25;021;4111.00;4018;1
Census Block;25;021;4111.00;4024;1
Census Block;25;021;4111.00;4034;1
Census Block;25;021;4111.00;4035;1
Census Block;25;021;4111.00;4036;1
Census Block;25;021;4112.00;2029;1
Census Block;25;021;4112.00;2030;1
Census Block;25;021;4112.00;2031;1
Census Block;25;021;4112.00;2032;1
Census Block;25;021;4112.00;2033;1
Census Block;25;021;4112.00;2034;1
Census Block;25;021;4112.00;2035;1
Census Block;25;021;4112.00;2036;1
Census Block;25;021;4112.00;2037;1
Census Block;25;021;4112.00;2038;1
Census Block;25;021;4112.00;2039;1
Census Block;25;021;4113.02;3000;1
Census Block;25;021;4113.02;3001;1
Census Block;25;021;4113.02;3002;1
Census Block;25;021;4113.02;3003;1
Census Block;25;021;4113.02;3004;1
Census Block;25;021;4113.02;3005;1
Census Block;25;021;4113.02;3006;1
Census Block;25;021;4113.02;3007;1
Census Block;25;021;4113.02;3008;1
Census Block;25;021;4113.02;3009;1
Census Block;25;021;4113.02;3010;1
Census Block;25;021;4113.02;3011;1
Census Block;25;021;4113.02;3012;1
Census Block;25;021;4113.02;3013;1
Census Block;25;021;4113.02;3014;1
Census Block;25;021;4113.02;3015;1
Census Block;25;021;4113.02;3016;1
Census Block;25;021;4113.02;3017;1
Census Block;25;021;4113.02;3018;1
Census Block;25;021;4113.02;3019;1
Census Block;25;021;4113.02;3020;1
Census Block;25;021;4113.02;3021;1
Census Block;25;021;4113.02;3022;1
Census Block;25;021;4113.02;3023;1
Census Block;25;021;4113.02;3024;1
Census Block;25;021;4113.02;3025;1
Census Block;25;021;4113.02;3026;1
Census Block;25;021;4113.02;3027;1
Census Block;25;021;4113.02;3028;1
Census Block;25;021;4113.02;3029;1
Census Block;25;021;4113.02;3030;1
Census Block;25;021;4113.02;3031;1
Census Block;25;021;4113.02;3032;1
Census Block;25;021;4113.02;3033;1
Census Block;25;021;4113.02;3034;1
Census Block;25;021;4113.02;3035;1
Census Block;25;021;4113.02;3036;1
Census Block;25;021;4113.02;3037;1
