TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;25;005;6401.00;1000;5
Census Block;25;005;6401.00;1001;5,9
Census Block;25;005;6401.00;1002;5,9
Census Block;25;005;6401.00;1003;8,9
Census Block;25;005;6401.00;1004;9
Census Block;25;005;6401.00;1005;8,9
Census Block;25;005;6401.00;1006;8,9
Census Block;25;005;6401.00;1007;9
Census Block;25;005;6401.00;1008;9
Census Block;25;005;6401.00;1009;9
Census Block;25;005;6401.00;1010;8,9
Census Block;25;005;6401.00;1011;9
Census Block;25;005;6401.00;2000;9
Census Block;25;005;6401.00;2001;9
Census Block;25;005;6401.00;2002;9
Census Block;25;005;6401.00;2003;9
Census Block;25;005;6401.00;2004;8,9
Census Block;25;005;6401.00;2005;9
Census Block;25;005;6401.00;2006;8,9
Census Block;25;005;6401.00;2007;8
Census Block;25;005;6401.00;2008;8
Census Block;25;005;6401.00;2009;8
Census Block;25;005;6401.00;2010;8
Census Block;25;005;6401.00;2011;8
Census Block;25;005;6401.00;2012;8
Census Block;25;005;6401.00;2013;8
Census Block;25;005;6401.00;2014;8
Census Block;25;005;6401.00;2015;8,9
Census Block;25;005;6401.00;2016;9
Census Block;25;005;6401.00;3000;9
Census Block;25;005;6401.00;3001;8,9
Census Block;25;005;6401.00;3002;8
Census Block;25;005;6401.00;3003;8
Census Block;25;005;6401.00;3004;8
Census Block;25;005;6401.00;3005;8,9
Census Block;25;005;6401.00;3006;8,9
Census Block;25;005;6401.00;3007;8,9
Census Block;25;005;6401.00;3008;9
Census Block;25;005;6401.00;3009;9
Census Block;25;005;6401.00;3010;9
Census Block;25;005;6401.00;3011;9
Census Block;25;005;6401.00;3012;8,9
Census Block;25;005;6401.00;3013;9
Census Block;25;005;6401.00;3014;9
Census Block;25;005;6401.00;4000;9
Census Block;25;005;6401.00;4001;9
Census Block;25;005;6401.00;4002;9
Census Block;25;005;6401.00;4003;9
Census Block;25;005;6401.00;4004;9
Census Block;25;005;6401.00;4005;9
Census Block;25;005;6401.00;4006;9
Census Block;25;005;6401.00;4007;9
Census Block;25;005;6401.00;4008;9
Census Block;25;005;6401.00;4009;9
Census Block;25;005;6401.00;4010;9
Census Block;25;005;6401.00;4011;9
Census Block;25;005;6401.00;4012;9
Census Block;25;005;6401.00;4013;9
Census Block;25;005;6401.00;4014;9
Census Block;25;005;6401.00;4015;8,9
Census Block;25;005;6401.00;4016;8
Census Block;25;005;6401.00;4017;8
Census Block;25;005;6401.00;4018;8
Census Block;25;005;6401.00;4019;8,9
Census Block;25;005;6401.00;4020;8,9
Census Block;25;005;6401.00;4021;9
Census Block;25;005;6401.00;4022;9
Census Block;25;005;6401.00;4023;9
Census Block;25;005;6401.00;4024;9
Census Block;25;005;6401.00;4025;9
Census Block;25;005;6401.00;4026;8,9
Census Block;25;005;6401.00;4027;8
Census Block;25;005;6401.00;4028;8
Census Block;25;005;6401.00;4029;8,9
Census Block;25;005;6401.00;4030;8,9
Census Block;25;005;6401.00;4031;8
Census Block;25;005;6401.00;4032;9
Census Block;25;005;6401.00;4033;9
Census Block;25;005;6401.00;4034;8
Census Block;25;005;6401.00;5000;9
Census Block;25;005;6401.00;5001;9
Census Block;25;005;6401.00;5002;9
Census Block;25;005;6401.00;5003;9
Census Block;25;005;6401.00;5004;9
Census Block;25;005;6401.00;5005;9
Census Block;25;005;6401.00;5006;9
Census Block;25;005;6401.00;5007;9
Census Block;25;005;6401.00;5008;9
Census Block;25;005;6401.00;5009;9
Census Block;25;005;6401.00;5010;9
Census Block;25;005;6401.00;5011;9
Census Block;25;005;6401.00;5012;9
Census Block;25;005;6401.00;5013;9
Census Block;25;005;6401.00;5014;9
Census Block;25;005;6401.00;5015;9
Census Block;25;005;6401.00;5016;9
Census Block;25;005;6401.00;5017;9
Census Block;25;005;6401.00;5018;9
Census Block;25;005;6401.00;5019;9
Census Block;25;005;6401.00;5020;9
Census Block;25;005;6401.00;5021;9
Census Block;25;005;6401.00;5022;9
Census Block;25;005;6401.00;5023;9
Census Block;25;005;6401.00;5024;9
Census Block;25;005;6401.00;5025;9
Census Block;25;005;6401.00;5026;9
Census Block;25;005;6401.00;5027;9
Census Block;25;005;6401.00;5028;9
Census Block;25;005;6401.00;5029;9
Census Block;25;005;6401.00;5030;9
Census Block;25;005;6401.00;5031;9
Census Block;25;005;6401.00;5032;9
Census Block;25;005;6401.00;5033;9
Census Block;25;005;6401.00;5034;9
Census Block;25;005;6401.00;5035;9
Census Block;25;005;6401.00;5036;9
Census Block;25;005;6401.00;5037;9
Census Block;25;005;6401.00;5038;9
Census Block;25;005;6401.00;5039;9,10
Census Block;25;005;6401.00;5040;9,10
Census Block;25;005;6401.00;5041;10
Census Block;25;005;6401.00;5042;10
Census Block;25;005;6401.00;5043;10
Census Block;25;005;6401.00;5044;10
Census Block;25;005;6401.00;5045;10
Census Block;25;005;6401.00;5046;10
Census Block;25;005;6401.00;5047;10
Census Block;25;005;6401.00;5048;10
Census Block;25;005;6401.00;5049;10
Census Block;25;005;6401.00;5050;10
Census Block;25;005;6401.00;5051;10
Census Block;25;005;6401.00;5052;10
Census Block;25;005;6401.00;5053;10
Census Block;25;005;6401.00;5054;9
Census Block;25;005;6401.00;5055;9
Census Block;25;005;6401.00;5056;10
Census Block;25;005;6401.00;5057;10
Census Block;25;005;6401.00;5058;10
Census Block;25;005;6401.00;5059;10
Census Block;25;005;6401.00;5060;9
Census Block;25;005;6402.00;1000;5
Census Block;25;005;6402.00;1001;4,5
Census Block;25;005;6402.00;1002;4,5
Census Block;25;005;6402.00;1003;4
Census Block;25;005;6402.00;1004;4
Census Block;25;005;6402.00;1005;4
Census Block;25;005;6402.00;1006;4,5
Census Block;25;005;6402.00;1007;5
Census Block;25;005;6402.00;1008;5
Census Block;25;005;6402.00;1009;5
Census Block;25;005;6402.00;1010;5,8,9
Census Block;25;005;6402.00;1011;4,5
Census Block;25;005;6402.00;1012;4,8
Census Block;25;005;6402.00;1013;4,8
Census Block;25;005;6402.00;1014;4,5,8,9
Census Block;25;005;6402.00;1015;8,9
Census Block;25;005;6402.00;1016;8
Census Block;25;005;6402.00;2000;8
Census Block;25;005;6402.00;2001;8
Census Block;25;005;6402.00;2002;8
Census Block;25;005;6402.00;2003;8
Census Block;25;005;6402.00;2004;8
Census Block;25;005;6402.00;2005;8
Census Block;25;005;6402.00;2006;8
Census Block;25;005;6402.00;2007;8
Census Block;25;005;6402.00;2008;8
Census Block;25;005;6402.00;2009;8
Census Block;25;005;6402.00;2010;8
Census Block;25;005;6402.00;2011;8
Census Block;25;005;6402.00;2012;8
Census Block;25;005;6402.00;2013;8
Census Block;25;005;6402.00;2014;8
Census Block;25;005;6402.00;3000;8
Census Block;25;005;6402.00;3001;4,8
Census Block;25;005;6402.00;3002;8
Census Block;25;005;6402.00;3003;8
Census Block;25;005;6402.00;3004;8
Census Block;25;005;6402.00;3005;8
Census Block;25;005;6402.00;3006;4,8
Census Block;25;005;6402.00;3007;8
Census Block;25;005;6402.00;3008;8
Census Block;25;005;6402.00;3009;8
Census Block;25;005;6402.00;3010;8
Census Block;25;005;6402.00;3011;8
Census Block;25;005;6402.00;3012;8
Census Block;25;005;6402.00;4000;8
Census Block;25;005;6402.00;4001;8
Census Block;25;005;6402.00;4002;8
Census Block;25;005;6402.00;4003;8
Census Block;25;005;6402.00;4004;8
Census Block;25;005;6402.00;4005;8
Census Block;25;005;6402.00;4006;8
Census Block;25;005;6402.00;4007;8
Census Block;25;005;6402.00;4008;8
Census Block;25;005;6402.00;4009;8
Census Block;25;005;6402.00;4010;8
Census Block;25;005;6402.00;4011;8
Census Block;25;005;6402.00;4012;8
Census Block;25;005;6402.00;4013;8
Census Block;25;005;6402.00;4014;8
Census Block;25;005;6402.00;4015;8
Census Block;25;005;6402.00;4016;8
Census Block;25;005;6402.00;4017;8
Census Block;25;005;6402.00;4018;8
Census Block;25;005;6402.00;4019;8
Census Block;25;005;6402.00;4020;8
Census Block;25;005;6402.00;4021;8
Census Block;25;005;6402.00;4022;8
Census Block;25;005;6402.00;4023;8
Census Block;25;005;6402.00;4024;8
Census Block;25;005;6402.00;4025;8
Census Block;25;005;6402.00;4026;8
Census Block;25;005;6402.00;4027;8
Census Block;25;005;6402.00;4028;8
Census Block;25;005;6402.00;4029;8
