TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;25;001;148.00;1000;1
Census Block;25;001;148.00;1001;1
Census Block;25;001;148.00;1002;1
Census Block;25;001;148.00;1003;1
Census Block;25;001;148.00;1004;1
Census Block;25;001;148.00;1005;1
Census Block;25;001;148.00;1006;1
Census Block;25;001;148.00;1007;1
Census Block;25;001;148.00;1008;1
Census Block;25;001;148.00;1009;1
Census Block;25;001;148.00;1010;1
Census Block;25;001;148.00;1011;1
Census Block;25;001;148.00;1012;1
Census Block;25;001;148.00;1013;1
Census Block;25;001;148.00;1014;1
Census Block;25;001;148.00;1015;1
Census Block;25;001;148.00;1016;1
Census Block;25;001;148.00;1017;1
Census Block;25;001;148.00;1018;1
Census Block;25;001;148.00;1019;1
Census Block;25;001;148.00;1020;1
Census Block;25;001;148.00;1021;1
Census Block;25;001;148.00;1022;1
Census Block;25;001;148.00;1023;1
Census Block;25;001;148.00;1024;1
Census Block;25;001;148.00;1025;1
Census Block;25;001;148.00;1026;1
Census Block;25;001;148.00;1027;1
Census Block;25;001;148.00;1029;1
Census Block;25;001;148.00;1030;1
Census Block;25;001;148.00;1031;1
Census Block;25;001;148.00;1032;1
Census Block;25;001;148.00;1033;1
Census Block;25;001;148.00;2000;1
Census Block;25;001;148.00;2001;1
Census Block;25;001;148.00;2002;1
Census Block;25;001;148.00;2003;1
Census Block;25;001;148.00;2004;1
Census Block;25;001;148.00;2005;1
Census Block;25;001;148.00;2006;1
Census Block;25;001;148.00;2007;1
Census Block;25;001;148.00;2008;1
Census Block;25;001;148.00;2009;1
Census Block;25;001;148.00;2010;1
Census Block;25;001;148.00;2011;1
Census Block;25;001;148.00;2012;1
Census Block;25;001;148.00;2013;1
Census Block;25;001;148.00;2014;1
Census Block;25;001;148.00;2015;1
Census Block;25;001;148.00;2016;1
Census Block;25;001;148.00;2017;1
Census Block;25;001;148.00;2018;1
Census Block;25;001;148.00;2019;1
Census Block;25;001;148.00;2020;1
Census Block;25;001;148.00;2021;1
Census Block;25;001;148.00;2022;1
Census Block;25;001;148.00;2023;1
Census Block;25;001;148.00;2024;1
Census Block;25;001;148.00;2025;1
Census Block;25;001;148.00;2026;1
Census Block;25;001;148.00;2027;1
Census Block;25;001;148.00;2028;1
Census Block;25;001;148.00;2029;1
Census Block;25;001;148.00;2030;1
Census Block;25;001;148.00;2031;1
Census Block;25;001;148.00;2032;1
Census Block;25;001;148.00;2033;1
Census Block;25;001;148.00;2034;1
Census Block;25;001;148.00;2035;1
Census Block;25;001;148.00;2036;1
Census Block;25;001;148.00;2037;1
Census Block;25;001;148.00;2038;1
Census Block;25;001;148.00;2039;1
Census Block;25;001;148.00;2040;1
Census Block;25;001;148.00;2041;1
Census Block;25;001;148.00;2042;1
Census Block;25;001;148.00;2043;1
Census Block;25;001;148.00;2044;1
Census Block;25;001;148.00;2045;1
Census Block;25;001;148.00;2046;1
Census Block;25;001;148.00;2047;1
Census Block;25;001;148.00;2048;1
Census Block;25;001;148.00;2049;1
Census Block;25;001;148.00;2050;1
Census Block;25;001;148.00;2051;1
Census Block;25;001;148.00;2052;1
Census Block;25;001;148.00;2053;1
Census Block;25;001;148.00;2054;1
Census Block;25;001;148.00;2055;1
Census Block;25;001;148.00;2056;1
Census Block;25;001;148.00;2057;1
Census Block;25;001;148.00;2058;1
Census Block;25;001;148.00;2059;1
Census Block;25;001;148.00;2060;1
Census Block;25;001;148.00;2061;1
Census Block;25;001;148.00;2062;1
Census Block;25;001;148.00;2063;1
Census Block;25;001;148.00;2064;1
Census Block;25;001;148.00;2065;1
Census Block;25;001;148.00;2066;1
Census Block;25;001;148.00;2067;1
Census Block;25;001;148.00;2068;1
Census Block;25;001;148.00;2069;1
Census Block;25;001;148.00;2070;1
Census Block;25;001;148.00;2071;1
Census Block;25;001;148.00;2072;1
Census Block;25;001;148.00;2073;1
Census Block;25;001;148.00;2074;1
Census Block;25;001;148.00;2075;1
Census Block;25;001;148.00;2076;1
Census Block;25;001;148.00;2077;1
Census Block;25;001;148.00;2078;1
Census Block;25;001;148.00;2079;1
Census Block;25;001;148.00;2080;1
Census Block;25;001;148.00;2081;1
Census Block;25;001;148.00;2082;1
Census Block;25;001;148.00;2084;1
Census Block;25;001;148.00;2085;1
Census Block;25;001;148.00;2086;1
Census Block;25;001;148.00;2087;1
Census Block;25;001;148.00;2088;1
Census Block;25;001;148.00;2089;1
Census Block;25;001;148.00;2090;1
Census Block;25;001;148.00;2091;1
Census Block;25;001;148.00;2092;1
Census Block;25;001;148.00;2093;1
Census Block;25;001;148.00;2094;1
Census Block;25;001;148.00;2095;1
Census Block;25;001;148.00;2096;1
Census Block;25;001;148.00;2097;1
Census Block;25;001;148.00;2098;1
Census Block;25;001;148.00;2099;1
Census Block;25;001;148.00;2100;1
Census Block;25;001;148.00;2101;1
Census Block;25;001;148.00;2102;1
Census Block;25;001;148.00;2103;1
Census Block;25;001;148.00;2104;1
Census Block;25;001;148.00;3012;1
Census Block;25;001;148.00;3015;1
Census Block;25;001;148.00;3016;1
Census Block;25;001;148.00;3017;1
Census Block;25;001;148.00;3018;1
Census Block;25;001;148.00;3019;1
Census Block;25;001;148.00;3020;1
Census Block;25;001;148.00;3021;1
Census Block;25;001;148.00;3022;1
Census Block;25;001;148.00;3023;1
Census Block;25;001;148.00;3024;1
Census Block;25;001;148.00;3025;1
Census Block;25;001;148.00;3026;1
Census Block;25;001;148.00;3027;1
Census Block;25;001;148.00;3028;1
Census Block;25;001;148.00;3029;1
Census Block;25;001;148.00;3030;1
Census Block;25;001;148.00;3031;1
Census Block;25;001;148.00;3032;1
Census Block;25;001;148.00;3033;1
Census Block;25;001;148.00;4010;1
Census Block;25;001;148.00;4020;1
Census Block;25;001;148.00;4021;1
Census Block;25;001;148.00;4022;1
Census Block;25;001;148.00;4023;1
Census Block;25;001;148.00;4025;1
Census Block;25;001;148.00;4026;1
Census Block;25;001;148.00;4027;1
Census Block;25;001;148.00;4028;1
Census Block;25;001;148.00;4029;1
Census Block;25;001;148.00;4030;1
Census Block;25;001;148.00;4031;1
Census Block;25;001;148.00;4032;1
Census Block;25;001;148.00;4033;1
Census Block;25;001;148.00;4034;1
Census Block;25;001;148.00;4035;1
Census Block;25;001;148.00;4036;1
Census Block;25;001;148.00;4037;1
Census Block;25;001;148.00;4038;1
Census Block;25;001;148.00;4039;1
Census Block;25;001;148.00;4040;1
Census Block;25;001;148.00;4041;1
Census Block;25;001;148.00;4042;1
Census Block;25;001;148.00;4043;1
Census Block;25;001;148.00;4044;1
Census Block;25;001;148.00;4045;1
Census Block;25;001;148.00;4046;1
Census Block;25;001;148.00;4047;1
Census Block;25;001;149.00;3000;1
Census Block;25;001;149.00;3001;1
Census Block;25;001;149.00;3002;1
Census Block;25;001;149.00;3003;1
Census Block;25;001;149.00;3004;1
Census Block;25;001;149.00;3005;1
Census Block;25;001;149.00;3006;1
Census Block;25;001;149.00;3007;1
Census Block;25;001;149.00;3008;1
Census Block;25;001;149.00;3009;1
Census Block;25;001;149.00;3010;1
Census Block;25;001;149.00;3011;1
Census Block;25;001;149.00;3012;1
Census Block;25;001;149.00;3013;1
Census Block;25;001;149.00;3014;1
Census Block;25;001;149.00;3015;1
Census Block;25;001;149.00;3016;1
Census Block;25;001;149.00;3017;1
Census Block;25;001;149.00;3018;1
Census Block;25;001;149.00;3019;1
Census Block;25;001;149.00;3020;1
Census Block;25;001;149.00;3021;1
Census Block;25;001;149.00;3022;1
Census Block;25;001;149.00;3023;1
Census Block;25;001;149.00;3024;1
Census Block;25;001;149.00;3025;1
Census Block;25;001;149.00;3026;1
Census Block;25;001;149.00;3027;1
Census Block;25;001;149.00;3028;1
Census Block;25;001;149.00;3029;1
Census Block;25;001;149.00;3030;1
Census Block;25;001;149.00;3031;1
Census Block;25;001;149.00;3032;1
Census Block;25;001;149.00;3033;1
Census Block;25;001;149.00;3034;1
Census Block;25;001;149.00;3035;1
Census Block;25;001;149.00;3036;1
Census Block;25;001;149.00;3037;1
Census Block;25;001;149.00;3038;1
Census Block;25;001;149.00;4015;1
Census Block;25;001;149.00;4023;1
Census Block;25;001;149.00;4025;1
