TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;25;017;3162.01;1018;1
Census Block;25;017;3162.01;1019;1
Census Block;25;017;3162.01;1020;1
Census Block;25;017;3162.01;1021;1
Census Block;25;017;3162.01;1022;1
Census Block;25;017;3162.01;1023;1
Census Block;25;017;3162.01;1024;1
Census Block;25;017;3162.01;1025;1
Census Block;25;017;3162.01;1026;1
Census Block;25;017;3162.01;1027;1
Census Block;25;017;3162.01;1028;1
Census Block;25;017;3162.01;1029;1
Census Block;25;017;3162.01;1030;1
Census Block;25;017;3162.01;1031;1
Census Block;25;017;3162.01;1032;1
Census Block;25;017;3162.01;1033;1
Census Block;25;017;3162.01;1034;1
Census Block;25;017;3162.01;1035;1
Census Block;25;017;3162.01;1036;1
Census Block;25;017;3162.01;1037;1
Census Block;25;017;3162.01;1038;1
Census Block;25;017;3162.01;1039;1
Census Block;25;017;3162.01;1040;1
Census Block;25;017;3162.01;1041;1
Census Block;25;017;3162.01;1042;1
Census Block;25;017;3162.01;1049;1
Census Block;25;017;3162.01;1050;1
Census Block;25;017;3162.01;1051;1
Census Block;25;017;3162.01;1052;1
Census Block;25;017;3162.01;2000;1
Census Block;25;017;3162.01;2001;1
Census Block;25;017;3162.01;2002;1
Census Block;25;017;3162.01;2003;1
Census Block;25;017;3162.01;2004;1
Census Block;25;017;3162.01;2005;1
Census Block;25;017;3162.01;2006;1
Census Block;25;017;3162.01;2007;1
Census Block;25;017;3162.01;2008;1
Census Block;25;017;3162.01;2009;1
Census Block;25;017;3162.01;2010;1
Census Block;25;017;3162.01;2011;1
Census Block;25;017;3162.01;2012;1
Census Block;25;017;3162.01;2013;1
Census Block;25;017;3162.01;2014;1
Census Block;25;017;3162.01;2015;1
Census Block;25;017;3162.01;2016;1
Census Block;25;017;3162.01;2017;1
Census Block;25;017;3162.01;2018;1
Census Block;25;017;3162.01;2019;1
Census Block;25;017;3162.01;2020;1
Census Block;25;017;3162.01;2021;1
Census Block;25;017;3162.01;2022;1
Census Block;25;017;3162.01;2023;1
Census Block;25;017;3162.01;2024;1
Census Block;25;017;3162.01;2025;1
Census Block;25;017;3162.01;2026;1
Census Block;25;017;3162.01;2027;1
Census Block;25;017;3162.01;2028;1
Census Block;25;017;3162.01;2029;1
Census Block;25;017;3162.01;2030;1
Census Block;25;017;3162.01;2031;1
Census Block;25;017;3162.01;2032;1
Census Block;25;017;3162.01;2033;1
Census Block;25;017;3162.01;2034;1
Census Block;25;017;3162.01;2035;1
Census Block;25;017;3162.01;2036;1
Census Block;25;017;3162.01;2037;1
Census Block;25;017;3162.01;2038;1
Census Block;25;017;3162.01;2039;1
Census Block;25;017;3162.01;2040;1
Census Block;25;017;3162.01;2041;1
Census Block;25;017;3162.01;2042;1
Census Block;25;017;3162.01;2043;1
Census Block;25;017;3162.01;3007;1
Census Block;25;017;3162.01;3008;1
Census Block;25;017;3162.01;3009;1
Census Block;25;017;3162.01;3010;1
Census Block;25;017;3162.01;3011;1
Census Block;25;017;3162.01;3012;1
Census Block;25;017;3162.01;3013;1
Census Block;25;017;3162.01;3014;1
Census Block;25;017;3162.01;3015;1
Census Block;25;017;3162.01;3016;1
Census Block;25;017;3162.01;3017;1
Census Block;25;017;3162.01;3018;1
Census Block;25;017;3162.01;3020;1
Census Block;25;017;3162.02;1000;1
Census Block;25;017;3162.02;1001;1
Census Block;25;017;3162.02;1002;1
Census Block;25;017;3162.02;1003;1
Census Block;25;017;3162.02;1004;1
Census Block;25;017;3162.02;1005;1
Census Block;25;017;3162.02;1006;1
Census Block;25;017;3162.02;1007;1
Census Block;25;017;3162.02;1008;1
Census Block;25;017;3162.02;1009;1
Census Block;25;017;3162.02;1010;1
Census Block;25;017;3162.02;1011;1
Census Block;25;017;3162.02;1012;1
Census Block;25;017;3162.02;1013;1
Census Block;25;017;3162.02;1014;1
Census Block;25;017;3162.02;1015;1
Census Block;25;017;3162.02;1016;1
Census Block;25;017;3162.02;1017;1
Census Block;25;017;3162.02;1018;1
Census Block;25;017;3162.02;1019;1
Census Block;25;017;3162.02;1020;1
Census Block;25;017;3162.02;1021;1
Census Block;25;017;3162.02;1022;1
Census Block;25;017;3162.02;1023;1
Census Block;25;017;3162.02;1024;1
Census Block;25;017;3162.02;1025;1
Census Block;25;017;3162.02;1026;1
Census Block;25;017;3162.02;1027;1
Census Block;25;017;3162.02;1028;1
Census Block;25;017;3162.02;1029;1
Census Block;25;017;3162.02;1030;1
Census Block;25;017;3162.02;1031;1
Census Block;25;017;3162.02;1032;1
Census Block;25;017;3162.02;1033;1
Census Block;25;017;3162.02;1034;1
Census Block;25;017;3162.02;1035;1
Census Block;25;017;3162.02;1036;1
Census Block;25;017;3162.02;1037;1
Census Block;25;017;3162.02;1038;1
Census Block;25;017;3162.02;1039;1
Census Block;25;017;3162.02;1040;1
Census Block;25;017;3162.02;1041;1
Census Block;25;017;3162.02;1042;1
Census Block;25;017;3162.02;1043;1
Census Block;25;017;3162.02;1044;1
Census Block;25;017;3162.02;1045;1
Census Block;25;017;3162.02;1046;1
Census Block;25;017;3162.02;1047;1
Census Block;25;017;3162.02;1048;1
Census Block;25;017;3162.02;1049;1
Census Block;25;017;3162.02;1050;1
Census Block;25;017;3162.02;1051;1
Census Block;25;017;3162.02;1052;1
Census Block;25;017;3162.02;1053;1
Census Block;25;017;3162.02;2010;1
Census Block;25;017;3162.02;2011;1
Census Block;25;017;3162.02;2014;1
Census Block;25;017;3162.02;2015;1
Census Block;25;017;3162.02;2016;1
Census Block;25;017;3162.02;2017;1
Census Block;25;017;3162.02;2018;1
