TYPE;STATE;COUNTY;TRACT;BLOCK;SHEETS
Census Block;25;027;7501.00;1000;1
Census Block;25;027;7501.00;1001;1
Census Block;25;027;7501.00;1002;1
Census Block;25;027;7501.00;1003;1
Census Block;25;027;7501.00;1004;1
Census Block;25;027;7501.00;1005;1
Census Block;25;027;7501.00;1006;1
Census Block;25;027;7501.00;1007;1
Census Block;25;027;7501.00;1008;1
Census Block;25;027;7501.00;1009;1
Census Block;25;027;7501.00;1010;1
Census Block;25;027;7501.00;1011;1
Census Block;25;027;7501.00;1012;1
Census Block;25;027;7501.00;1013;1
Census Block;25;027;7501.00;1014;1
Census Block;25;027;7501.00;2000;1
Census Block;25;027;7501.00;2001;1
Census Block;25;027;7501.00;2002;1
Census Block;25;027;7501.00;2003;1
Census Block;25;027;7501.00;2004;1
Census Block;25;027;7501.00;2005;1
Census Block;25;027;7501.00;2006;1
Census Block;25;027;7501.00;2007;1
Census Block;25;027;7501.00;2008;1
Census Block;25;027;7501.00;2009;1
Census Block;25;027;7501.00;2010;1
Census Block;25;027;7501.00;2011;1
Census Block;25;027;7501.00;2012;1
Census Block;25;027;7501.00;2013;1
Census Block;25;027;7501.00;2014;1
Census Block;25;027;7501.00;2015;1
Census Block;25;027;7501.00;2016;1
Census Block;25;027;7501.00;2017;1
Census Block;25;027;7501.00;2018;1
Census Block;25;027;7501.00;2019;1
Census Block;25;027;7501.00;2020;1
Census Block;25;027;7501.00;2021;1
Census Block;25;027;7501.00;2022;1
Census Block;25;027;7501.00;2023;1
Census Block;25;027;7501.00;2024;1
Census Block;25;027;7501.00;2025;1
Census Block;25;027;7501.00;2026;1
Census Block;25;027;7501.00;2027;1
Census Block;25;027;7501.00;2028;1
Census Block;25;027;7501.00;2029;1
Census Block;25;027;7501.00;2030;1
Census Block;25;027;7501.00;2031;1
Census Block;25;027;7501.00;2032;1
Census Block;25;027;7501.00;3000;1
Census Block;25;027;7501.00;3001;1
Census Block;25;027;7501.00;3002;A1
Census Block;25;027;7501.00;3003;A1
Census Block;25;027;7501.00;3004;A1
Census Block;25;027;7501.00;3005;A1
Census Block;25;027;7501.00;3006;A1
Census Block;25;027;7501.00;3007;A1
Census Block;25;027;7501.00;3008;A1
Census Block;25;027;7501.00;3009;A1
Census Block;25;027;7501.00;3010;1
Census Block;25;027;7501.00;3011;A1
Census Block;25;027;7501.00;3012;A1
Census Block;25;027;7501.00;3013;1
Census Block;25;027;7501.00;3014;A1
Census Block;25;027;7501.00;3015;A1
Census Block;25;027;7501.00;3016;A1
Census Block;25;027;7501.00;3017;1
Census Block;25;027;7501.00;3018;A1
Census Block;25;027;7501.00;3019;1
Census Block;25;027;7501.00;3020;1
Census Block;25;027;7501.00;3021;1
Census Block;25;027;7501.00;3022;1
Census Block;25;027;7501.00;3023;1
Census Block;25;027;7501.00;3024;A1
Census Block;25;027;7501.00;3025;A1
Census Block;25;027;7501.00;3026;A1
Census Block;25;027;7501.00;3027;A1
Census Block;25;027;7501.00;3028;A1
Census Block;25;027;7501.00;3029;A1
Census Block;25;027;7501.00;3030;A1
Census Block;25;027;7501.00;3031;1
Census Block;25;027;7501.00;3032;1
Census Block;25;027;7501.00;3033;1
Census Block;25;027;7501.00;3034;1
Census Block;25;027;7501.00;3035;1
Census Block;25;027;7501.00;3036;1
Census Block;25;027;7501.00;3037;1
Census Block;25;027;7501.00;3038;1
Census Block;25;027;7501.00;3039;1
Census Block;25;027;7501.00;3040;1
