BEGIN_LOCATION,STATE_ABBR,BEGIN_DATE
ENOLA,MS,04/24/2010
ZEIGLERVILLE,MS,04/24/2010
RODENTOWN,AL,04/24/2010
NORMAN,OK,05/10/2010
(TIK)TINKER AFB,OK,05/10/2010
BOWDLE,SD,05/22/2010
MOLINE,OH,06/05/2010
URBANK,MN,06/17/2010
PORTLAND JCT,ND,06/17/2010
HOLMES,ND,06/17/2010
BLUFFTON,MN,06/17/2010
WADENA,MN,06/17/2010
MANSFIELD,MN,06/17/2010
SIBLEY,IA,06/25/2010
TYLER,ND,08/07/2010
DORAN,MN,08/07/2010
ATLANTA,LA,11/29/2010
VARINA,IA,04/09/2011
VIGUS,MO,04/22/2011
LONGINO,MS,04/27/2011
CRANE HILL,AL,04/27/2011
PRINCE CHAPEL,MS,04/27/2011
FEARNS SPGS,MS,04/27/2011
BARNESVILLE,AL,04/27/2011
GUM POND,AL,04/27/2011
RUTH,AL,04/27/2011
NIX,AL,04/27/2011
SMITHVILLE,MS,04/27/2011
MT HOPE,AL,04/27/2011
NEW SALEM,MS,04/27/2011
HODGE,AL,04/27/2011
LAWNGATE,AL,04/27/2011
IDER,AL,04/27/2011
MARIETTA,AL,04/27/2011
CLUTTSVILLE,AL,04/27/2011
RALPH,AL,04/27/2011
ARKADELPHIA,AL,04/27/2011
FACKLER,AL,04/27/2011
WELLER,AL,04/27/2011
HAMLET,MS,04/27/2011
TEN BROECK,AL,04/27/2011
WAUTUBBEE,MS,04/27/2011
SANIE,AL,04/27/2011
MIDDLETON,AL,04/27/2011
CITICO BEACH,TN,04/27/2011
CHILHOWEE,TN,04/27/2011
DAUS,TN,04/27/2011
HENDON,TN,04/27/2011
BLUE SPRING,GA,04/27/2011
APISON,TN,04/27/2011
PINE HILL,TN,04/27/2011
BARNESVILLE,AL,04/27/2011
MORGAN SPGS,TN,04/27/2011
CENTRAL CITY,MO,05/22/2011
CALUMET,OK,05/24/2011
NORGE,OK,05/24/2011
CRINER,OK,05/24/2011
BLANCHARD,OK,05/24/2011
PETER PENDER,AR,05/24/2011
TIPTON ARPT,OK,11/07/2011
CARRIERS MILLS,IL,02/29/2012
EQUALITY,IL,02/29/2012
FREDDRICKSBURG,IN,03/02/2012
BLUE LICK,IN,03/02/2012
NABB,IN,03/02/2012
CHELSEA,IN,03/02/2012
BRACHT,KY,03/02/2012
KANAPOLIS RES,KS,04/14/2012
OAK GROVE,MS,02/10/2013
MAMBRINO,TX,05/15/2013
BURDETT RUCKER ARPT,KS,05/18/2013
PINK,OK,05/19/2013
NEWCASTLE,OK,05/20/2013
MOORE,OK,05/20/2013
ALTONA,NE,10/04/2013
CLIMBING HILL,IA,10/04/2013
MARQUETTE HGTS,IL,11/17/2013
ADDIEVILLE,IL,11/17/2013
PALARM,AR,04/27/2014
ZAMA,MS,04/28/2014
STANTON,NE,06/16/2014
STANTON,NE,06/16/2014
WISNER,NE,06/16/2014
ALTONA,NE,06/16/2014
ALTONA,NE,06/16/2014
LANE,SD,06/18/2014
CARTHAGE,IL,04/09/2015
TYRO,MS,12/23/2015
CHULAHOMA,MS,12/23/2015
ASHLAND,MS,12/23/2015
TIPLERSVILLE,MS,12/23/2015
POOR,TN,12/23/2015
CHEWALLA,TN,12/23/2015
NEW HOPE,TX,12/26/2015
HENNEPIN,OK,05/09/2016
SOLOMON,KS,05/25/2016
SILVER LAKE,MO,02/28/2017
BIG ROCK,TX,04/29/2017
BUPREE,AL,03/03/2019
PYRMONT,OH,05/27/2019
LINWOOD,KS,05/28/2019
ENSOR,TN,03/03/2020
ENON,MS,04/12/2020
BASSFIELD,MS,04/12/2020
WILLIAMSBURG,MS,04/12/2020
HEBRON,MS,04/12/2020
MOSS,MS,04/12/2020
ESTILL MUNI ARPT,SC,04/13/2020
ST PAUL,MS,04/19/2020
ASHBY,MN,07/08/2020
DALTON,MN,07/08/2020
