INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
950485010,3125,,WARRANT ARREST - BOSTON WARRANT (MUST BE SUPPLEMENTAL),A7,465,0,2019-11-22 20:40:00,2019,11,Friday,20,,HARBORSIDE DR,42.2848257658049,-71.091373689388,"(42.2848257658049, -71.091373689388)"
212025249,1107,,FRAUD - IMPERSONATION,A1,77,0,2019-12-01 00:00:00,2019,12,Sunday,0,,NASSAU ST,0,0,"(0, 0)"
212022744,1107,,FRAUD - IMPERSONATION,C11,355,0,2019-12-31 00:01:00,2019,12,Tuesday,0,,LINDSEY ST,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
202007387,801,,ASSAULT - SIMPLE,,28,0,2019-12-24 00:00:00,2019,12,Tuesday,0,,N/A,42.3721588029014,-71.03852378203,"(42.3721588029014, -71.03852378203)"
212016533,1102,,FRAUD - FALSE PRETENSE / SCHEME,C11,355,0,2019-10-09 08:30:00,2019,10,Wednesday,8,,ADAMS ST,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
212010434,735,,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),External,178,0,2019-10-12 00:00:00,2019,10,Saturday,0,,METROPOLITAN AVE,42.3285640115518,-71.0683534322261,"(42.3285640115518, -71.0683534322261)"
212009871,1107,,FRAUD - IMPERSONATION,A1,112,0,2019-11-19 12:00:00,2019,11,Tuesday,12,,WASHINGTON ST,42.3535812921458,-71.0623666455255,"(42.3535812921458, -71.0623666455255)"
212001749,3115,,INVESTIGATE PERSON,A1,77,0,2019-10-01 00:00:00,2019,10,Tuesday,0,,BOYLSTON ST,42.3618385665647,-71.0597648909416,"(42.3618385665647, -71.0597648909416)"
212001626,801,,ASSAULT - SIMPLE,D14,778,0,2019-12-01 12:00:00,2019,12,Sunday,12,,SHANNON ST,42.3490560003051,-71.1504984997502,"(42.3490560003051, -71.1504984997502)"
212000897,617,,LARCENY THEFT FROM BUILDING,B2,314,0,2019-10-09 09:02:00,2019,10,Wednesday,9,,HAROLD ST,42.3156306058838,-71.0905754962961,"(42.3156306058838, -71.0905754962961)"
202085394,1102,,FRAUD - FALSE PRETENSE / SCHEME,A1,121,0,2019-11-12 00:00:00,2019,11,Tuesday,0,,WARRENTON PL,42.3497033447253,-71.0660898432803,"(42.3497033447253, -71.0660898432803)"
202085370,1001,,FORGERY / COUNTERFEITING,C11,355,0,2019-12-03 00:00:00,2019,12,Tuesday,0,,COLUMBIA RD,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
202083701,1201,,EMBEZZLEMENT,B3,292,0,2019-11-03 12:00:00,2019,11,Sunday,12,,MORTON ST,42.3281097877771,-71.0867670883696,"(42.3281097877771, -71.0867670883696)"
202079762,1108,,FRAUD - WELFARE,E18,520,0,2019-10-01 00:00:00,2019,10,Tuesday,0,,FRIENDSHIP RD,42.2562159204022,-71.1240194732902,"(42.2562159204022, -71.1240194732902)"
202079294,2632,,EVADING FARE,E13, ,0,2019-11-20 09:00:00,2019,11,Wednesday,9,,LAMARTINE ST,42.319879307322,-71.1028063867969,"(42.319879307322, -71.1028063867969)"
202077923,801,,ASSAULT - SIMPLE,A1,77,0,2019-11-22 00:00:00,2019,11,Friday,0,,PARK PLZ,42.3618385665647,-71.0597648909416,"(42.3618385665647, -71.0597648909416)"
202077065,619,,LARCENY ALL OTHERS,B2,282,0,2019-12-01 12:00:00,2019,12,Sunday,12,,ANNUNCIATION RD,42.3286628355561,-71.0856340118355,"(42.3286628355561, -71.0856340118355)"
202073991,1107,,FRAUD - IMPERSONATION,B3,465,0,2019-11-17 09:00:00,2019,11,Sunday,9,,CLARKWOOD ST,42.2848257658049,-71.091373689388,"(42.2848257658049, -71.091373689388)"
202073331,2670,,HARASSMENT/ CRIMINAL HARASSMENT,A7,28,0,2019-11-21 10:00:00,2019,11,Thursday,10,,BOARDMAN ST,42.3708180467024,-71.0392907813515,"(42.3708180467024, -71.0392907813515)"
202072856,617,,LARCENY THEFT FROM BUILDING,A7,28,0,2019-10-16 13:00:00,2019,10,Wednesday,13,,MARGINAL ST,42.3708180467024,-71.0392907813515,"(42.3708180467024, -71.0392907813515)"
192104446,3005,,SICK ASSIST,A1,121,0,2019-12-29 00:36:00,2019,12,Sunday,0,,STUART ST,42.3510663717927,-71.065495690827,"(42.3510663717927, -71.065495690827)"
192100469,3005,,SICK ASSIST,A1,61,0,2019-12-13 22:00:00,2019,12,Friday,22,,LEGENDS WAY,42.3664354633178,-71.0613541253703,"(42.3664354633178, -71.0613541253703)"
192100467,3005,,SICK ASSIST,D4,152,0,2019-12-13 21:56:00,2019,12,Friday,21,,TREMONT ST,42.3439340292026,-71.0716878215722,"(42.3439340292026, -71.0716878215722)"
202066292,3301,,VERBAL DISPUTE,B2,282,0,2019-10-01 00:00:00,2019,10,Tuesday,0,,PERRIN ST,42.3286628355561,-71.0856340118355,"(42.3286628355561, -71.0856340118355)"
192093813,3005,,SICK ASSIST,B2,584,0,2019-11-19 20:47:00,2019,11,Tuesday,20,,BUCKNAM ST,42.32708468851,-71.1042344397854,"(42.32708468851, -71.1042344397854)"
192091826,2610,,TRESPASSING,B2,179,0,2019-11-12 17:59:00,2019,11,Tuesday,17,,ALTHER ST,42.3308321993886,-71.0742882956482,"(42.3308321993886, -71.0742882956482)"
192085266,3005,,SICK ASSIST,E18,544,0,2019-10-21 13:40:00,2019,10,Monday,13,,AUSTIN ST,42.2598582583025,-71.1259423048832,"(42.2598582583025, -71.1259423048832)"
202065798,1001,,FORGERY / COUNTERFEITING,B3,465,0,2019-12-02 01:00:00,2019,12,Monday,1,,OSPREY WAY,0,0,"(0, 0)"
202065780,3502,,MISSING PERSON - LOCATED,B2,465,0,2019-12-01 06:30:00,2019,12,Sunday,6,,OLDFIELDS RD,0,0,"(0, 0)"
192084921,1402,,VANDALISM,C6,230,0,2019-10-19 17:30:00,2019,10,Saturday,17,,L ST,42.3335378959406,-71.0353182736252,"(42.3335378959406, -71.0353182736252)"
202064926,617,,LARCENY THEFT FROM BUILDING,,627,0,2019-10-01 15:16:00,2019,10,Tuesday,15,,PETERBOROUGH ST,42.342801767966,-71.100695099762,"(42.342801767966, -71.100695099762)"
192083444,1402,,VANDALISM,A1,109,0,2019-10-15 12:55:00,2019,10,Tuesday,12,,HIGH ST,42.3566181395445,-71.0519386292742,"(42.3566181395445, -71.0519386292742)"
192082391,1201,,EMBEZZLEMENT,D4,143,0,2019-10-11 14:07:00,2019,10,Friday,14,,BOYLSTON ST,42.3493247128501,-71.0801480124617,"(42.3493247128501, -71.0801480124617)"
192082257,301,,ROBBERY,B2,602,0,2019-10-11 03:20:00,2019,10,Friday,3,,TREMONT ST,42.3338068325205,-71.1037784302464,"(42.3338068325205, -71.1037784302464)"
202063398,1107,,FRAUD - IMPERSONATION,B3,465,0,2019-10-01 00:00:00,2019,10,Tuesday,0,,LIVERMORE ST,42.2848257658049,-71.091373689388,"(42.2848257658049, -71.091373689388)"
192082182,2610,,TRESPASSING,C11,257,0,2019-09-30 00:00:00,2019,9,Monday,0,,SAWYER AVE,42.3130133586276,-71.0631692903464,"(42.3130133586276, -71.0631692903464)"
202061143,3201,,PROPERTY - LOST/ MISSING,B3,427,0,2019-11-01 19:20:00,2019,11,Friday,19,,ASTORIA ST,42.2791384061075,-71.0879708990336,"(42.2791384061075, -71.0879708990336)"
192081901,1402,,VANDALISM,B3,417,0,2019-10-09 17:27:00,2019,10,Wednesday,17,,MORA ST,42.2820819767197,-71.0736487451565,"(42.2820819767197, -71.0736487451565)"
202058442,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,A15,41,0,2019-12-01 16:00:00,2019,12,Sunday,16,,COOK ST,42.3766316681323,-71.0559319549787,"(42.3766316681323, -71.0559319549787)"
202058057,616,,LARCENY THEFT OF BICYCLE,A1,77,0,2019-10-01 17:00:00,2019,10,Tuesday,17,,LONGFELLOW PL,42.3618385665647,-71.0597648909416,"(42.3618385665647, -71.0597648909416)"
202057971,1106,,FRAUD - CREDIT CARD / ATM FRAUD,C11, ,0,2019-12-31 00:00:00,2019,12,Tuesday,0,,HAMILTON ST,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
192081617,3005,,SICK ASSIST,B3,422,0,2019-10-08 20:35:00,2019,10,Tuesday,20,,RIVER ST,42.271330052757,-71.0829986502208,"(42.271330052757, -71.0829986502208)"
192081484,2401,,AFFRAY,E18,521,0,2019-10-08 16:06:00,2019,10,Tuesday,16,,RIVER ST,42.255926478566,-71.1231720744781,"(42.255926478566, -71.1231720744781)"
202055132,801,,ASSAULT - SIMPLE,C6,200,0,2019-10-17 15:00:00,2019,10,Thursday,15,,FAN PIER BLVD,42.3412875043904,-71.054679326494,"(42.3412875043904, -71.054679326494)"
202054945,2670,,HARASSMENT/ CRIMINAL HARASSMENT,C6,200,0,2019-10-01 12:00:00,2019,10,Tuesday,12,,NORTH POINT DR,42.3412875043904,-71.054679326494,"(42.3412875043904, -71.054679326494)"
202052864,1106,,FRAUD - CREDIT CARD / ATM FRAUD,A15,41,0,2019-10-07 00:00:00,2019,10,Monday,0,,ELM ST,42.3766316681323,-71.0559319549787,"(42.3766316681323, -71.0559319549787)"
202052207,616,,LARCENY THEFT OF BICYCLE,D4,167,0,2019-11-01 00:00:00,2019,11,Friday,0,,PARK DR,42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)"
202051876,615,,LARCENY THEFT OF MV PARTS & ACCESSORIES,C11,520,0,2019-10-29 15:59:00,2019,10,Tuesday,15,,BOWDOIN ST,42.2562159204022,-71.1240194732902,"(42.2562159204022, -71.1240194732902)"
202051216,1107,,FRAUD - IMPERSONATION,B3,465,0,2019-10-01 09:00:00,2019,10,Tuesday,9,,LIVERMORE ST,42.2848257658049,-71.091373689388,"(42.2848257658049, -71.091373689388)"
202050167,615,,LARCENY THEFT OF MV PARTS & ACCESSORIES,E5,691,0,2019-11-26 07:00:00,2019,11,Tuesday,7,,WASHINGTON ST,42.2870935525911,-71.1482212837716,"(42.2870935525911, -71.1482212837716)"
202048819,614,,LARCENY THEFT FROM MV - NON-ACCESSORY,B3,465,0,2019-11-06 01:00:00,2019,11,Wednesday,1,,BLUE HILL AVENUE,0,0,"(0, 0)"
