muni_id,muni_upper,municipal,mapc,mf164,county_id,county,comm_type,comm_name,subtype_id,subtype,rpa_id,rpa_name,mpo_id,mpo_name,region_id,region,subreg_id,subregion,cousub_id,cousubname
2,ACTON,Acton,1,1,17,Middlesex County,3,Maturing Suburbs,5,Established Suburb/Cape Cod Town,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,356.0,MAGIC Subregion,380,Acton town
10,ARLINGTON,Arlington,1,1,17,Middlesex County,1,Inner Core,3,Streetcar Suburb,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,355.0,Inner Core (ICC) Subregion,1605,Arlington town
14,ASHLAND,Ashland,1,1,17,Middlesex County,3,Maturing Suburbs,5,Established Suburb/Cape Cod Town,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,357.0,Metrowest Subregion,2130,Ashland town
23,BEDFORD,Bedford,1,1,17,Middlesex County,3,Maturing Suburbs,5,Established Suburb/Cape Cod Town,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,356.0,MAGIC Subregion,4615,Bedford town
25,BELLINGHAM,Bellingham,1,1,21,Norfolk County,4,Developing Suburbs,6,Maturing New England Town,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,361.0,South West (SWAP) Subregion,4930,Bellingham town
26,BELMONT,Belmont,1,1,17,Middlesex County,1,Inner Core,3,Streetcar Suburb,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,355.0,Inner Core (ICC) Subregion,5070,Belmont town
30,BEVERLY,Beverly,1,1,9,Essex County,2,Regional Urban Centers,2,Sub-Regional Urban Center,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,358.0,North Shore (NSTF) Subregion,5595,Beverly city
34,BOLTON,Bolton,1,1,27,Worcester County,4,Developing Suburbs,7,Country Suburb,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,356.0,MAGIC Subregion,6365,Bolton town
35,BOSTON,Boston,1,1,25,Suffolk County,1,Inner Core,1,Metro Core Community,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,355.0,Inner Core (ICC) Subregion,7000,Boston city
37,BOXBOROUGH,Boxborough,1,1,17,Middlesex County,4,Developing Suburbs,7,Country Suburb,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,356.0,MAGIC Subregion,7350,Boxborough town
40,BRAINTREE,Braintree,1,1,21,Norfolk County,3,Maturing Suburbs,4,Mature Suburb,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,360.0,South Shore (SSC) Subregion,7740,Braintree Town city
46,BROOKLINE,Brookline,1,1,21,Norfolk County,1,Inner Core,3,Streetcar Suburb,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,355.0,Inner Core (ICC) Subregion,9175,Brookline town
48,BURLINGTON,Burlington,1,1,17,Middlesex County,3,Maturing Suburbs,4,Mature Suburb,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,359.0,North Suburban (NSPC) Subregion,9840,Burlington town
49,CAMBRIDGE,Cambridge,1,1,17,Middlesex County,1,Inner Core,1,Metro Core Community,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,355.0,Inner Core (ICC) Subregion,11000,Cambridge city
50,CANTON,Canton,1,1,21,Norfolk County,3,Maturing Suburbs,5,Established Suburb/Cape Cod Town,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,362.0,Three Rivers (TRIC) Subregion,11315,Canton town
51,CARLISLE,Carlisle,1,1,17,Middlesex County,4,Developing Suburbs,7,Country Suburb,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,356.0,MAGIC Subregion,11525,Carlisle town
57,CHELSEA,Chelsea,1,1,25,Suffolk County,1,Inner Core,1,Metro Core Community,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,355.0,Inner Core (ICC) Subregion,13205,Chelsea city
65,COHASSET,Cohasset,1,1,21,Norfolk County,4,Developing Suburbs,7,Country Suburb,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,360.0,South Shore (SSC) Subregion,14640,Cohasset town
67,CONCORD,Concord,1,1,17,Middlesex County,3,Maturing Suburbs,5,Established Suburb/Cape Cod Town,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,356.0,MAGIC Subregion,15060,Concord town
71,DANVERS,Danvers,1,1,9,Essex County,3,Maturing Suburbs,4,Mature Suburb,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,358.0,North Shore (NSTF) Subregion,16250,Danvers town
73,DEDHAM,Dedham,1,1,21,Norfolk County,3,Maturing Suburbs,4,Mature Suburb,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,362.0,Three Rivers (TRIC) Subregion,16495,Dedham town
78,DOVER,Dover,1,1,21,Norfolk County,4,Developing Suburbs,7,Country Suburb,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,362.0,Three Rivers (TRIC) Subregion,17405,Dover town
92,ESSEX,Essex,1,1,9,Essex County,4,Developing Suburbs,6,Maturing New England Town,7,Metropolitan Area Planning Council,7,Boston Region,352,MAPC,358.0,North Shore (NSTF) Subregion,21850,Essex town
