Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
26,2020-01-01 13:25:24.138529+00:00,b'`\xed\xb7\x0f',38.82542773411079,17.961,Abington,42.1186,-70.9576,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
364,2020-01-01 13:24:08.484692+00:00,b'`\xed\xb7\x0f',2.723041039883407,20.308,Abington,42.1186,-70.9576,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
431,2020-01-01 13:22:14.529746+00:00,b'`\xed\xb7\x0f',9.672122392140215,11.063,Abington,42.1186,-70.9576,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
516,2020-01-01 13:24:51.098265+00:00,b'`\xed\xb7\x0f',1.6004540320714606,20.224,Abington,42.1186,-70.9576,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
641,2020-01-01 13:22:41.177233+00:00,b'`\xed\xb7\x0f',8.254676585280643,19.026,Abington,42.1186,-70.9576,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
652,2020-01-01 13:23:27.783978+00:00,b'`\xed\xb7\x0f',25.90886309792868,11.027,Abington,42.1186,-70.9576,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1982,2020-01-03 17:10:17.801174+00:00,b'\xad0H\xde',58.80494010999334,14.492,Abington,42.1186,-70.9576,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2314,2020-01-03 20:53:12.175377+00:00,"b'&\x01\x01\x9b\x85\x80h\x90\xa5\x1d\xd1\xe4\x1d\\\x1c,'",12.917715871299528,24.35,Abington,42.1186,-70.9576,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
2851,2020-01-04 01:08:45.748978+00:00,b'`\xed\xb7\x0f',8.219728935296184,16.756,Abington,42.1186,-70.9576,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
3103,2020-01-04 17:21:00.436205+00:00,b'&\x01\x01\x9b\x85\x805\xe0\x9d)\x8c\x13\xcd\xd6\xc9\xe7',3.4536659454228005,22.737,Abington,42.1186,-70.9576,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
3525,2020-01-04 01:05:39.203734+00:00,"b'&\x01\x01\x9b\x85\x805\xe0\xec""\xee\xaa\xba.\x1e\xf7'",5.148183161751149,28.43,Abington,42.1186,-70.9576,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
4133,2020-01-05 01:29:24.713594+00:00,b'\xadLa\x11',31.155006811621124,13.597,Abington,42.1186,-70.9576,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
4529,2020-01-06 01:12:31.616095+00:00,b'`\xe9=\xc1',20.798911017875124,12.444,Abington,42.1186,-70.9576,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
5566,2020-01-07 13:15:30.141705+00:00,b'&\x01\x01\x9b\x85\x80\\\xa0\xac\x8b\xf6\xd2m\x8b\xfe|',10.8926311764983,23.54,Abington,42.1186,-70.9576,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
5981,2020-01-07 13:11:23.480996+00:00,b'&\x01\x01\x9b\x85\x80\\\xa0\xac\x8b\xf6\xd2m\x8b\xfe|',4.537470772642321,21.372,Abington,42.1186,-70.9576,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
6556,2020-01-08 13:25:56.815686+00:00,b'&\x01\x01\x9b\x85\x00\x12\x90U\xe1\x07F\xcdF\x0f\x1c',5.580501709847215,33.252,Abington,42.1186,-70.9576,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
6557,2020-01-08 13:26:40.356409+00:00,b'&\x01\x01\x9b\x85\x00\x12\x90U\xe1\x07F\xcdF\x0f\x1c',5.6040314215713645,24.164,Abington,42.1186,-70.9576,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
6727,2020-01-08 13:25:31.905293+00:00,b'&\x01\x01\x9b\x85\x00\x12\x90U\xe1\x07F\xcdF\x0f\x1c',5.606204120273502,27.572,Abington,42.1186,-70.9576,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
8008,2020-01-10 20:34:28.856935+00:00,b'\xad0\x13\xbe',38.60513584829578,16.683,Abington,42.1186,-70.9576,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
8303,2020-01-10 20:31:20.345442+00:00,b'&\x00\x10\x00\xb0D=y\x98\xa5\x97v\xb2Z\x87A',2.3930211933064864,49.099,Abington,42.1186,-70.9576,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
8337,2020-01-10 20:32:56.817654+00:00,b'\xad0\x13\xbe',30.2418021487611,19.62,Abington,42.1186,-70.9576,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
8394,2020-01-10 20:35:12.015338+00:00,b'\xad0\x13\xbe',3.342421181006706,16.65,Abington,42.1186,-70.9576,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
9900,2020-01-12 20:31:09.328398+00:00,b'&\x01\x01\x9b\x85\x80\\\xa0\\Mq\xea\xfev\xdb\x90',2.106656682310552,85.352,Abington,42.1186,-70.9576,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
10231,2020-01-12 20:53:58.156208+00:00,b'&\x00\x10\x00\xb0D5X\xbd\xff\xae3X\xaf&\xb7',15.744752160314295,36.799,Abington,42.1186,-70.9576,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
10239,2020-01-12 20:31:37.327523+00:00,b'&\x01\x01\x9b\x85\x80\\\xa0\\Mq\xea\xfev\xdb\x90',1.2684550192276391,42.289,Abington,42.1186,-70.9576,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
10293,2020-01-12 17:03:37.429963+00:00,b'&\x01\x01\x9b\x85\x80\\\xa0x\xa54\xe1\xc2\xdb\xed\xd0',6.694936168389335,23.726,Abington,42.1186,-70.9576,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
12021,2020-01-14 13:19:13.238170+00:00,b'&\x00\x10\x00\xb0D=Fl\xab\x8d\x10\x84\x19X\xd6',38.206839894241455,39.867,Abington,42.1186,-70.9576,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
12025,2020-01-14 01:13:39.967538+00:00,"b""&\x01\x01\x9b\x85\x80\\\xa0U'\x05\xf6\x82\xc4}\xdf""",11.286668962529188,20.082,Abington,42.1186,-70.9576,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
12519,2020-01-14 20:33:00.098080+00:00,b'&\x01\x01\x9b\x85\x80\\\xa0\xa1\xdd\xf2\xd0\xd5/S3',9.424514791730257,22.523,Abington,42.1186,-70.9576,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
12611,2020-01-15 20:31:52.562279+00:00,b'&\x01\x01\x9b\x85\x80\\\xa0\xb9\rY`\xdf\x17\xe0\xa0',0.8512417607802952,221.368,Abington,42.1186,-70.9576,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
12699,2020-01-15 20:38:07.072179+00:00,b'&\x01\x01\x9b\x85\x80\\\xa0\xb9\rY`\xdf\x17\xe0\xa0',0.7155041944674421,87.267,Abington,42.1186,-70.9576,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
13061,2020-01-15 20:37:38.740426+00:00,b'&\x01\x01\x9b\x85\x80\\\xa0\xb9\rY`\xdf\x17\xe0\xa0',0.9760264033662532,66.182,Abington,42.1186,-70.9576,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
14352,2020-01-17 13:28:15.785114+00:00,b'&\x01\x01\x9b\x85\x80\\\xa0|\x1fk0\xc0\xee\xcb\xae',1.415394487448967,29.874,Abington,42.1186,-70.9576,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
14484,2020-01-17 17:20:15.686957+00:00,b'&\x01\x01\x9b\x85\x80\\\xa0|\x1fk0\xc0\xee\xcb\xae',4.92077234470129,20.225,Abington,42.1186,-70.9576,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
14500,2020-01-17 17:06:32.289390+00:00,b'&\x030\x05Q\x06$\x00X(_9_\x1f\x1b\x93',10.694686444332689,22.449,Abington,42.1186,-70.9576,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
14638,2020-01-17 01:14:26.727069+00:00,b'\xad0H\x12',381.28007737188,9.208,Abington,42.1186,-70.9576,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
14836,2020-01-17 13:02:43.571700+00:00,b'&\x01\x01\x9b\x85\x80\\\xa0|\x1fk0\xc0\xee\xcb\xae',3.61109405580992,27.789,Abington,42.1186,-70.9576,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
16107,2020-01-19 13:20:03.699568+00:00,b'&\x01\x01\x9b\x85\x00b \xd0\x94c\xc8\xab\x1b\\c',3.2829083577922566,22.019,Abington,42.1186,-70.9576,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
16277,2020-01-19 01:15:18.719373+00:00,b'&\x01\x01\x9b\x85\x00\x1apu\xa7\xa4I\r\x08\xdan',5.815205453870384,17.569,Abington,42.1186,-70.9576,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
16297,2020-01-19 13:19:37.041825+00:00,b'&\x01\x01\x9b\x85\x00b \xd0\x94c\xc8\xab\x1b\\c',4.842873404253904,23.195,Abington,42.1186,-70.9576,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
16809,2020-01-19 01:16:37.084890+00:00,b'&\x01\x01\x9b\x85\x00\x1apu\xa7\xa4I\r\x08\xdan',5.816853292864432,15.617,Abington,42.1186,-70.9576,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
17244,2020-01-20 13:21:41.047307+00:00,b'\xad0\x12f',40.22262545202233,10.369,Abington,42.1186,-70.9576,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
17290,2020-01-20 17:07:11.950801+00:00,b'&\x01\x01\x9b\x85\x00\x00S\x9d\x8d\xc7!i>\xca\x82',11.526929823818268,19.563,Abington,42.1186,-70.9576,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
