Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
1777,2020-01-03 01:26:07.925850+00:00,b'&\x00ldi\x80!\xce\x8c\xa3\xf7\x92\xd68\x9a ',5.418967637446051,70.204,Brookfield,42.1991,-72.0989,20115.0,CHARTER-NET-HKY-NC - Charter Communications
5739,2020-01-07 17:13:32.786439+00:00,b'&\x00ldi\x80!PDDg!\xdb\x18S\xef',19.332856497065187,27.039,Brookfield,42.1991,-72.0989,20115.0,CHARTER-NET-HKY-NC - Charter Communications
53678,2020-03-01 19:33:32.321884+00:00,"b'&\x00ldi\x80\x17\xa4HU\x82Fei\x9c,'",6.56358869364203,31.747,Brookfield,42.1991,-72.0989,20115.0,CHARTER-NET-HKY-NC - Charter Communications
59655,2020-03-09 19:34:41.120982+00:00,"b""`'cl""",10.902896616824114,44.18,Brookfield,42.1991,-72.0989,20115.0,CHARTER-NET-HKY-NC - Charter Communications
59665,2020-03-09 16:09:00.210091+00:00,"b""`'\x0c\x82""",5.766048755098559,42.167,Brookfield,42.1991,-72.0989,20115.0,CHARTER-NET-HKY-NC - Charter Communications
60074,2020-03-09 16:07:58.005002+00:00,"b""`'\x0c\x82""",6.931284096983353,31.182,Brookfield,42.1991,-72.0989,20115.0,CHARTER-NET-HKY-NC - Charter Communications
74396,2020-03-20 12:23:40.921552+00:00,"b""`'\rj""",5.93641425415009,48.586,Brookfield,42.1991,-72.0989,20115.0,CHARTER-NET-HKY-NC - Charter Communications
112484,2020-04-12 00:18:23.305250+00:00,"b""`'\x0cn""",10.940313887510664,55.809,Brookfield,42.1991,-72.0989,20115.0,CHARTER-NET-HKY-NC - Charter Communications
125333,2020-04-20 00:22:57.657159+00:00,b'&\x00ldi\x80\x17\xaaT\xadm\xe1\xdccZ\x8c',17.360719564763205,28.478,Brookfield,42.1991,-72.0989,20115.0,CHARTER-NET-HKY-NC - Charter Communications
129808,2020-04-23 00:06:46.246248+00:00,b'&\x00ldi\x80\x17\xaa\x15\xd3j\xe1\x1f\xf22\xeb',19.58247225422549,31.293,Brookfield,42.1991,-72.0989,20115.0,CHARTER-NET-HKY-NC - Charter Communications
172731,2020-05-21 12:13:16.702460+00:00,b'B\xbd4\xcb',13.971062940452136,37.808,Brookfield,42.1991,-72.0989,20115.0,CHARTER-NET-HKY-NC - Charter Communications
243194,2020-07-06 16:02:46.059066+00:00,b'&\x00ldi\x7f\xf4\xe7\xb5\x141\xfe\x7f\xb5\x8c\xe6',4.725171194672318,25.878,Brookfield,42.1991,-72.0989,20115.0,CHARTER-NET-HKY-NC - Charter Communications
244851,2020-07-06 16:20:13.167429+00:00,b'&\x00ldi\x7f\xf4\xe7\xb5\x141\xfe\x7f\xb5\x8c\xe6',8.393141672820704,25.914,Brookfield,42.1991,-72.0989,20115.0,CHARTER-NET-HKY-NC - Charter Communications
244938,2020-07-06 16:20:38.593356+00:00,b'&\x00ldi\x7f\xf4\xe7\xb5\x141\xfe\x7f\xb5\x8c\xe6',10.962698249044188,41.573,Brookfield,42.1991,-72.0989,20115.0,CHARTER-NET-HKY-NC - Charter Communications
245449,2020-07-07 19:49:47.083173+00:00,b'&\x00ldi\x7f\xf7X\xd0\x08\n\x86\xb7\xfb\xe4\x00',16.634413330969416,27.606,Brookfield,42.1991,-72.0989,20115.0,CHARTER-NET-HKY-NC - Charter Communications
395460,2020-11-07 13:02:44.021508+00:00,b'\x18\xf1\x13\xe3',4.187544615398349,22.714,Brookfield,42.1991,-72.0989,20115.0,CHARTER-NET-HKY-NC - Charter Communications
395866,2020-11-07 13:02:07.144215+00:00,b'\x18\xf1\x13\xe3',1.94272820983295,37.762,Brookfield,42.1991,-72.0989,20115.0,CHARTER-NET-HKY-NC - Charter Communications
424205,2020-12-14 20:35:35.234452+00:00,b'B\xbd\x1d;',10.635274063981246,39.787,Brookfield,42.1991,-72.0989,20115.0,CHARTER-NET-HKY-NC - Charter Communications
424613,2020-12-15 01:19:08.946941+00:00,b'/\x0e\xf6\x03',9.636972415163942,28.053,Brookfield,42.1991,-72.0989,20115.0,CHARTER-NET-HKY-NC - Charter Communications
437307,2020-12-31 17:25:18.284406+00:00,b'/\x0e\xf7n',10.84763010519218,27.069,Brookfield,42.1991,-72.0989,20115.0,CHARTER-NET-HKY-NC - Charter Communications
