Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
35,2020-01-01 01:17:16.021991+00:00,b'B\x1fg\r',11.80822997349632,20.503,Danvers,42.5639,-70.9463,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
50,2020-01-01 17:18:01.287331+00:00,b'B\x1fg\r',11.810789613355464,20.417,Danvers,42.5639,-70.9463,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
55,2020-01-01 20:39:17.500220+00:00,b'C\x97q\xf2',43.73908821009441,3.722,Danvers,42.5639,-70.9463,7029.0,WINDSTREAM - Windstream Communications Inc
322,2020-01-01 13:23:28.717692+00:00,b'\x18=3\xcd',5.736296949426261,63.947,Danvers,42.5639,-70.9463,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
664,2020-01-01 01:06:27.266017+00:00,b'd\x00\x17\xc5',87.98292991844771,10.535,Danvers,42.5639,-70.9463,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1130,2020-01-02 20:39:16.783167+00:00,b'C\x97q\xf2',43.646052637102784,3.622,Danvers,42.5639,-70.9463,7029.0,WINDSTREAM - Windstream Communications Inc
1161,2020-01-02 20:30:43.304402+00:00,b'Jh\xb2\xdc',25.024844958065994,18.689,Danvers,42.5639,-70.9463,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1318,2020-01-02 17:17:36.224893+00:00,b'G\xb8W\xc2',44.758499419667054,18.711,Danvers,42.5639,-70.9463,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1407,2020-01-02 20:31:50.024606+00:00,b'Jh\xb2\xdc',25.66967857575236,17.013,Danvers,42.5639,-70.9463,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1501,2020-01-02 13:19:13.356493+00:00,b'\x18=3\xcd',5.910042191279818,21.879,Danvers,42.5639,-70.9463,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1509,2020-01-02 20:31:17.540325+00:00,b'Jh\xb2\xdc',24.879686438847383,21.149,Danvers,42.5639,-70.9463,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1584,2020-01-02 17:18:58.454919+00:00,b'B\x1fg\r',11.810828308330956,21.125,Danvers,42.5639,-70.9463,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1738,2020-01-03 20:48:18.168784+00:00,b'bv46',87.14779878428106,9.717,Danvers,42.5639,-70.9463,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1802,2020-01-03 13:24:01.296540+00:00,b'\x18=3\xcd',5.64127873122613,24.669,Danvers,42.5639,-70.9463,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
2275,2020-01-03 20:39:17.233038+00:00,b'C\x97q\xf2',43.76431086188089,3.514,Danvers,42.5639,-70.9463,7029.0,WINDSTREAM - Windstream Communications Inc
2531,2020-01-03 01:15:22.053576+00:00,b'B\x1fg\r',11.810804454489672,20.495,Danvers,42.5639,-70.9463,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
2710,2020-01-04 20:39:17.255502+00:00,b'C\x97q\xf2',43.8238740489552,3.846,Danvers,42.5639,-70.9463,7029.0,WINDSTREAM - Windstream Communications Inc
3045,2020-01-04 13:12:57.249203+00:00,b'\x18=3\xcd',5.812745174365471,63.927,Danvers,42.5639,-70.9463,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
3094,2020-01-04 01:16:47.966286+00:00,b'B\x1fg\r',11.755182179706257,34.884,Danvers,42.5639,-70.9463,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
3142,2020-01-04 20:54:29.279928+00:00,b'`\xfc\x04;',2.365261662228709,39.159,Danvers,42.5639,-70.9463,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
3394,2020-01-04 17:27:51.063180+00:00,b'&\x01\x01\x94\xc3\x02\x96`\x9d~;\xa6\xcb\xd2C\xc2',16.40735416120805,22.7,Danvers,42.5639,-70.9463,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
3645,2020-01-05 13:04:46.425871+00:00,b'\x18=3\xcd',5.615767511269402,28.211,Danvers,42.5639,-70.9463,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
3965,2020-01-05 20:55:55.362543+00:00,b'&\x01\x01\x94\xc3\x03\xe0\x83\x94\xa0\xf5\xef\x86[\x9b\x03',11.20769212192013,25.819,Danvers,42.5639,-70.9463,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
4028,2020-01-05 20:39:17.390735+00:00,b'C\x97q\xf2',43.78805006543748,3.533,Danvers,42.5639,-70.9463,7029.0,WINDSTREAM - Windstream Communications Inc
4146,2020-01-05 17:06:51.262646+00:00,b'B\x1fg\r',11.811931360876155,19.441,Danvers,42.5639,-70.9463,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
4351,2020-01-05 01:20:07.666979+00:00,b'B\x1fg\r',11.772625058817416,22.22,Danvers,42.5639,-70.9463,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
4481,2020-01-06 20:39:17.774465+00:00,b'C\x97q\xf2',43.51282948035321,3.565,Danvers,42.5639,-70.9463,7029.0,WINDSTREAM - Windstream Communications Inc
4809,2020-01-06 13:24:59.206685+00:00,b'&\x01\x01\x94\xc3\x01h\xc0\xb0s`\xcd\xea\x97\xcf\xfd',5.302622042097949,23.823,Danvers,42.5639,-70.9463,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
4972,2020-01-06 13:11:47.953821+00:00,b'\x18=3\xcd',5.905421316128201,19.739,Danvers,42.5639,-70.9463,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
