Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
667,2020-01-01 01:26:35.882467+00:00,b'B\xbd\x1c\x9c',9.06542046363736,22.419,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
5335,2020-01-07 01:29:08.975984+00:00,b'B\xbda\x9d',11.158441502698343,22.461,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
5441,2020-01-07 01:25:25.274130+00:00,b'B\xbda\x9d',10.68814611998824,21.476,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
5510,2020-01-07 01:21:10.743164+00:00,b'B\xbda\x9d',11.19055142776746,20.267,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
7008,2020-01-08 01:27:33.414424+00:00,b'B\xbdat',6.002600288829402,29.8,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
8021,2020-01-10 01:22:03.317752+00:00,b'B\xbda\x1a',0.4641126717163126,272.064,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
8042,2020-01-10 01:26:29.646610+00:00,b'B\xbda\x1a',10.40047965852117,40.692,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
8082,2020-01-10 01:21:54.608504+00:00,b'B\xbda\x1a',4.833128297101541,25.981,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
8334,2020-01-10 01:24:23.575004+00:00,b'B\xbda\x1a',11.11777154437504,23.771,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
8421,2020-01-10 01:22:07.387854+00:00,b'B\xbda\x1a',7.273044322115272,37.326,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
8430,2020-01-10 01:19:27.683647+00:00,b'B\xbda\x1a',4.48057489016671,58.922,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
8440,2020-01-10 01:22:14.563425+00:00,b'B\xbda\x1a',6.383415349443446,19.554,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
20623,2020-01-23 17:04:58.343747+00:00,b'2\xe2\x0c\xf2',39.43910775008734,8.099,Douglas,42.0509,-71.7543,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
21365,2020-01-24 13:17:52.813992+00:00,b'B\xbda\x01',10.585571315800038,20.448,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
22232,2020-01-25 01:00:33.930496+00:00,b'B\xbd\x1d\xdc',9.40202418676746,29.696,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
25205,2020-01-29 01:29:37.619853+00:00,b'B\xbdae',7.10354384604025,20.764,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
28500,2020-02-01 01:26:54.663675+00:00,b'B\xbdae',10.824239774347248,21.824,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
41116,2020-02-16 13:09:06.272290+00:00,b'K\x82f.',11.230365811100778,13.99,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
41625,2020-02-16 13:07:52.581479+00:00,b'K\x82f\x9c',9.42782670916718,17.381,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
42608,2020-02-17 01:17:47.950228+00:00,b'B\xbd4\xcb',2.742821021249757,133.036,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
46340,2020-02-22 20:45:25.807657+00:00,b'G\n\xf4\xcc',10.785816561028165,13.864,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
50457,2020-02-27 01:25:44.131266+00:00,b'G\n\xf2\n',14.419221415084213,29.539,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
50475,2020-02-27 01:18:19.326136+00:00,b'G\n\xf2\n',18.224086814990265,30.506,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
50655,2020-02-27 01:23:33.319714+00:00,b'G\n\xf2\n',18.18946497136594,37.095,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
51607,2020-02-28 17:02:34.297017+00:00,b'B\xbd`\xd0',5.206287519405793,30.684,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
53258,2020-03-01 19:54:04.054919+00:00,b'G\n\xf9&',6.427329851712367,40.325,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
53322,2020-03-01 19:48:41.573143+00:00,b'G\n\xf9&',5.42397344575529,45.661,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
53449,2020-03-01 19:50:40.608617+00:00,b'G\n\xf9&',2.9999675453847803,41.008,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
55775,2020-03-04 19:57:46.887339+00:00,b'G\n\xf8#',11.05899549927626,24.525,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
56726,2020-03-05 19:57:39.439514+00:00,b'G\n\xf8#',10.83658236523766,39.11,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
58578,2020-03-07 19:55:45.778327+00:00,b'G\n\xf8#',11.242113809968158,26.886,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
60517,2020-03-10 19:30:34.697636+00:00,b'G\n\xf9&',10.894557653589953,42.135,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
73447,2020-03-19 00:17:48.020456+00:00,b'B\xbd`Z',4.6844055109733,61.103,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
79388,2020-03-23 00:05:17.636733+00:00,b'B\xbda\xc5',7.900074325023037,54.239,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
86365,2020-03-27 16:18:25.453883+00:00,b'B\xbd`\x12',11.013450958091004,40.095,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
86953,2020-03-27 19:36:27.351393+00:00,b'K\x82d\x11',2.765195336825821,39.574,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
87389,2020-03-27 19:35:05.613529+00:00,b'B\xbd5\x00',4.391998080842606,37.297,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
87547,2020-03-27 12:21:09.841631+00:00,b'G\n\xf2\x99',3.3754845586058755,63.701,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
107363,2020-04-09 19:45:24.204074+00:00,b'G\n\xf9n',0.1003101742482201,29.503,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
107388,2020-04-09 19:45:44.617801+00:00,b'G\n\xf9n',0.4994736135099279,27.057,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
108473,2020-04-09 19:46:15.593531+00:00,b'G\n\xf9n',0.1922162418899707,42.683,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
113720,2020-04-13 12:23:25.886601+00:00,b'G\n\xf8\xd1',10.5868623538772,40.999,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
125882,2020-04-21 00:20:36.617064+00:00,b'\xaeS\x14\x90',11.194691253348228,26.547,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
126521,2020-04-21 00:19:09.231807+00:00,b'\xaeS\x14\x90',2.669886716192177,25.207,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
126727,2020-04-21 00:18:32.804186+00:00,b'\xaeS\x14\x90',10.358025340764476,42.039,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
126932,2020-04-21 00:20:02.614635+00:00,b'\xaeS\x14\x90',11.185683797351237,25.226,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
136979,2020-04-28 16:26:10.977176+00:00,"b'\xaeS\x15,'",5.953245486125173,24.844,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
138282,2020-04-28 16:15:34.277382+00:00,"b'\xaeS\x15,'",10.929438007700233,39.177,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
153498,2020-05-08 00:12:07.806984+00:00,b'&\x00ldp\x03\x04\x00!c\xfd\xe4\x80\xfe&\xcf',20.503443801435896,40.726,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
170139,2020-05-20 16:06:59.486183+00:00,b'G\n\xf8\x80',10.03167041900596,24.533,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
179047,2020-05-26 16:23:04.360063+00:00,b'&\x00ldp\x03\x02\x00\x99\x07h\x88i\xa6\x19?',9.803530144764103,24.799,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
197674,2020-06-08 16:11:51.633818+00:00,b'\xaeS\x162',7.865676547859689,28.59,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
219432,2020-06-23 19:39:38.203876+00:00,b'\xaeS\x15Q',13.820622448426548,24.498,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
220053,2020-06-23 19:37:19.851855+00:00,b'\xaeS\x15Q',24.04638548314704,24.029,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
220293,2020-06-23 19:39:09.190945+00:00,b'\xaeS\x15Q',1.1694964318448895,28.533,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
220792,2020-06-23 19:40:17.362800+00:00,b'\xaeS\x15Q',3.817187150830992,20.282,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
220978,2020-06-23 19:58:23.037426+00:00,b'\xaeS\x15Q',34.60124661241178,41.408,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
222429,2020-06-24 12:18:14.819848+00:00,"b'\xaeS\x15,'",11.117134350614617,25.688,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
234732,2020-07-01 12:24:23.576916+00:00,b'G\n\xf1\x85',10.774273454402596,41.473,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
241831,2020-07-05 12:28:45.060942+00:00,b'B\xa8u!',10.912087250730606,31.463,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
244586,2020-07-06 12:16:48.425612+00:00,b'&\x00ldi\x7f\xed\x18\xe9\xe8 \x84\xb23\x11\x14',0.1286407431844122,42.024,Douglas,42.0509,-71.7543,20115.0,CHARTER-NET-HKY-NC - Charter Communications
