Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
3725,2020-01-05 20:42:18.856453+00:00,b'&\x00\x10\x00\xb0\x06\x1b\xe3\xec\xe2c\x88\xfd\x0b\x92\x81',2.309881439016678,48.68,Duxbury,42.0399,-70.7163,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
4524,2020-01-06 17:18:26.750991+00:00,b'HJ\x93n',16.823147862910005,17.886,Duxbury,42.0399,-70.7163,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
5056,2020-01-06 17:17:31.406413+00:00,b'HJ\x93n',14.09164629829874,13.116,Duxbury,42.0399,-70.7163,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
5940,2020-01-07 20:32:26.896664+00:00,b'HJ\x93<',24.052632935928315,8.413,Duxbury,42.0399,-70.7163,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
7538,2020-01-09 20:50:13.512580+00:00,b'\x0c\xc6\xb0\x02',3.6111053574283103,30.964,Duxbury,42.0399,-70.7163,7018.0,"ATT-INTERNET4 - AT&T Services, Inc."
7780,2020-01-09 20:49:17.989157+00:00,b'\x0c\xc6\xb0\x02',18.708355132975733,60.726,Duxbury,42.0399,-70.7163,7018.0,"ATT-INTERNET4 - AT&T Services, Inc."
18008,2020-01-21 01:29:43.038222+00:00,b'&\x01\x01\x8eA\x80\x11\xf0\xf0\x8f\x0cR\xebE\xaa=',38.62703647245931,18.2,Duxbury,42.0399,-70.7163,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
20910,2020-01-24 20:41:31.618205+00:00,b'2\xd2i\xde',40.96936370166607,22.898,Duxbury,42.0399,-70.7163,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
23696,2020-01-27 17:13:12.580199+00:00,b'2\xfa\x08\xf5',11.00062669666652,15.576,Duxbury,42.0399,-70.7163,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
25710,2020-01-29 20:39:01.894679+00:00,b'\xadL\xc0\xb7',112.35270369222994,12.199,Duxbury,42.0399,-70.7163,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
29181,2020-02-02 01:16:10.591968+00:00,b'l\x14\xe6\xe8',13.78829573276298,17.28,Duxbury,42.0399,-70.7163,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
39567,2020-02-14 01:06:01.040547+00:00,b'&\x01\x01\x8eA\x80\x12\xc0\x18\xa5\x9d\xca$\xc1\x94\x14',5.410232154659371,22.889,Duxbury,42.0399,-70.7163,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
