Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
74088,2020-03-20 19:46:40.370231+00:00,b'A`\xee\xa4',9.503126143484586,18.63,East Sandwich,41.7283,-70.44,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
74978,2020-03-20 19:47:48.239065+00:00,b'A`\xee\xa4',7.295328496382653,21.324,East Sandwich,41.7283,-70.44,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
140164,2020-04-29 00:03:23.796677+00:00,b'A`\xef\x15',11.78534695329743,24.431,East Sandwich,41.7283,-70.44,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
149882,2020-05-06 16:17:49.392636+00:00,b'2\xfa7\xf5',3.282909259214701,23.432,East Sandwich,41.7283,-70.44,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
185040,2020-05-30 12:19:24.866597+00:00,b'2\xfa7\xc1',16.951040851680304,25.011,East Sandwich,41.7283,-70.44,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
190100,2020-06-03 19:38:21.437834+00:00,b'&\x030\x05*\x00\xcf\x00d\x98w\x8d\xc0E\x02\x00',6.694776617018792,34.183,East Sandwich,41.7283,-70.44,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
191002,2020-06-03 19:58:32.912637+00:00,b'&\x030\x05*\x00\xcf\x00d\x98w\x8d\xc0E\x02\x00',17.429692558341543,29.667,East Sandwich,41.7283,-70.44,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
194716,2020-06-06 00:05:20.106165+00:00,b'&\x030\x05*\x00\xcf\x00\x94A\x1f\xd4&Lq\x00',13.78725716293043,25.389,East Sandwich,41.7283,-70.44,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
208715,2020-06-16 19:54:20.915595+00:00,"b'&\x030\x05*\x01\x0f\x00\x98*W""\x1ave\xd7'",5.627295797538364,26.983,East Sandwich,41.7283,-70.44,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
219110,2020-06-22 16:03:41.222520+00:00,b'&\x030\x05*\x02\xe0\x00d\x16\xd2U\xec\xf5O\xa7',17.443480573685115,17.461,East Sandwich,41.7283,-70.44,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
300103,2020-08-09 19:58:57.837727+00:00,b'H]\x02j',0.2862260004378844,50.198,East Sandwich,41.7283,-70.44,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
303816,2020-08-11 16:07:46.562738+00:00,b'H]\x03T',0.1818071600934515,199.456,East Sandwich,41.7283,-70.44,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
310595,2020-08-15 00:26:10.219570+00:00,b'H]\x02~',0.4069838064118573,49.541,East Sandwich,41.7283,-70.44,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
310998,2020-08-15 00:20:25.826855+00:00,b'H]\x02~',0.4617314143380682,256.233,East Sandwich,41.7283,-70.44,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
313896,2020-08-17 00:27:47.287024+00:00,b'H]\x02r',0.7149365655660705,17.714,East Sandwich,41.7283,-70.44,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
329444,2020-08-29 12:04:25.939802+00:00,b'H]\x02\xa9',0.7115297887567218,38.689,East Sandwich,41.7283,-70.44,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
335447,2020-09-04 00:18:53.304485+00:00,b'I\x9f\xc9G',10.761379877129157,19.952,East Sandwich,41.7283,-70.44,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
344262,2020-09-11 19:50:14.459247+00:00,b'IE-\xe9',8.654302281820108,48.053,East Sandwich,41.7283,-70.44,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
350596,2020-09-18 16:11:11.047842+00:00,b'I\x9f1\xf4',11.8901131311443,20.881,East Sandwich,41.7283,-70.44,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
351047,2020-09-18 16:09:05.379471+00:00,b'I\x9f1\xf4',11.886866242292584,22.271,East Sandwich,41.7283,-70.44,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
351185,2020-09-18 16:11:36.999888+00:00,b'I\x9f1\xf4',11.883259080435842,23.427,East Sandwich,41.7283,-70.44,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
353888,2020-09-21 19:38:11.939249+00:00,b'I\x9f\xc9G',8.54755199162457,22.104,East Sandwich,41.7283,-70.44,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
404689,2020-11-19 20:59:29.605958+00:00,b'2\xe1\x0f2',22.18874879640976,19.576,East Sandwich,41.7283,-70.44,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
