Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
7,2020-01-01 17:05:22.500149+00:00,b'&\x01\x01\x94\x82\x7f \x8ft\xe2\x85\xe0&\x1f\x94\x92',11.66674117035083,26.28,Eastham,41.8408,-69.9849,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
207,2020-01-01 20:58:08.060295+00:00,b'\x18?\\\xd6',2.4439086471776736,26.043,Eastham,41.8408,-69.9849,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
323,2020-01-01 01:06:18.771382+00:00,b'\x18[\xcf\xdc',38.29209942086902,30.065,Eastham,41.8408,-69.9849,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
529,2020-01-01 13:06:18.269916+00:00,b'\x18[\xcf\xdc',40.391246727525015,22.168,Eastham,41.8408,-69.9849,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1602,2020-01-02 01:06:18.720460+00:00,b'\x18[\xcf\xdc',40.20202906451146,20.22,Eastham,41.8408,-69.9849,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1637,2020-01-02 13:06:18.014893+00:00,b'\x18[\xcf\xdc',37.26965369917293,22.372,Eastham,41.8408,-69.9849,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1667,2020-01-03 13:06:18.074737+00:00,b'\x18[\xcf\xdc',40.743149897921626,25.015,Eastham,41.8408,-69.9849,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
2494,2020-01-03 01:06:18.816846+00:00,b'\x18[\xcf\xdc',40.47417621950255,29.349,Eastham,41.8408,-69.9849,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
2584,2020-01-04 01:06:18.806572+00:00,b'\x18[\xcf\xdc',40.56229471391414,27.566,Eastham,41.8408,-69.9849,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
3176,2020-01-04 13:06:18.355598+00:00,b'\x18[\xcf\xdc',39.9705117945468,22.027,Eastham,41.8408,-69.9849,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
3629,2020-01-05 20:49:38.185638+00:00,b'G\xe9\xea\xa2',4.8467296712069805,35.242,Eastham,41.8408,-69.9849,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
