Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
383,2020-01-01 20:54:21.281018+00:00,b'Lvx\x96',32.36506781915704,28.539,Hanson,42.0618,-70.8661,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
2666,2020-01-04 01:12:20.654037+00:00,b'I\x8f[P',5.209858264945633,17.614,Hanson,42.0618,-70.8661,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
8253,2020-01-10 01:17:34.953716+00:00,b'Lvz\x08',8.345345034414096,25.952,Hanson,42.0618,-70.8661,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
27408,2020-01-31 17:18:45.663569+00:00,b'I\x8f[P',3.2829770878995346,17.114,Hanson,42.0618,-70.8661,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
33474,2020-02-07 01:26:31.369595+00:00,b'Lv{0',7.749008208440543,40.819,Hanson,42.0618,-70.8661,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
57061,2020-03-06 19:34:15.768266+00:00,b'\xcc\x0eF\x03',20.49931251182448,14.434,Hanson,42.0618,-70.8661,14265.0,US-TELEPACIFIC - Telepacific Communications
57558,2020-03-06 16:20:43.677084+00:00,b'\xcc\x0eF\x03',16.921200238693277,15.397,Hanson,42.0618,-70.8661,14265.0,US-TELEPACIFIC - Telepacific Communications
57572,2020-03-06 16:21:39.960918+00:00,b'\xcc\x0eF\x03',17.548211979838154,11.319,Hanson,42.0618,-70.8661,14265.0,US-TELEPACIFIC - Telepacific Communications
74492,2020-03-20 19:30:55.678246+00:00,b'G\xe8\x99\xf1',9.66500203358681,23.04,Hanson,42.0618,-70.8661,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
90766,2020-03-30 16:27:59.533981+00:00,b'\x18[\xe6\xbf',36.39911675418443,21.413,Hanson,42.0618,-70.8661,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
94006,2020-04-01 19:54:05.711275+00:00,b'\xcc\x0eF\x9a',75.17067075695387,7.379,Hanson,42.0618,-70.8661,14265.0,US-TELEPACIFIC - Telepacific Communications
94458,2020-04-01 19:53:38.663680+00:00,b'\xcc\x0eF\x9a',75.19308914617983,7.955,Hanson,42.0618,-70.8661,14265.0,US-TELEPACIFIC - Telepacific Communications
95354,2020-04-01 19:43:39.331892+00:00,b'\xcc\x0eF\x9a',74.9312354440668,7.124,Hanson,42.0618,-70.8661,14265.0,US-TELEPACIFIC - Telepacific Communications
99986,2020-04-04 19:36:09.801764+00:00,b'G\xe8\x99\n',40.19020055100247,16.149,Hanson,42.0618,-70.8661,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
102053,2020-04-06 16:06:47.268007+00:00,b'G\xe8\x99\n',18.425705650308974,21.732,Hanson,42.0618,-70.8661,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
109063,2020-04-09 12:09:38.278998+00:00,b'G\xe8\x99\x1d',9.757410243246644,24.332,Hanson,42.0618,-70.8661,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
120218,2020-04-17 16:18:15.805490+00:00,b'\xc7\x87\x85\x04',7.292434362396444,269.206,Hanson,42.0618,-70.8661,4152.0,USDA-1 - USDA
