Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
629,2020-01-01 17:23:44.264466+00:00,b'G\xeb\x02\x1c',11.55705034522977,19.947,Harwich,41.698,-70.0602,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1233,2020-01-02 17:23:44.133992+00:00,b'G\xeb\x02\x1c',11.731570524110646,19.695,Harwich,41.698,-70.0602,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1775,2020-01-03 17:23:44.134722+00:00,b'G\xeb\x02\x1c',11.769706473485885,20.518,Harwich,41.698,-70.0602,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
2829,2020-01-04 17:23:44.144561+00:00,b'G\xeb\x02\x1c',11.785516611334296,22.072,Harwich,41.698,-70.0602,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
4275,2020-01-05 17:23:44.183945+00:00,b'G\xeb\x02\x1c',11.791699829075798,21.934,Harwich,41.698,-70.0602,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
4971,2020-01-06 17:23:44.113704+00:00,b'G\xeb\x02\x1c',11.803349526563736,21.753,Harwich,41.698,-70.0602,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
5435,2020-01-07 17:23:44.075925+00:00,b'G\xeb\x02\x1c',11.791713181012955,19.95,Harwich,41.698,-70.0602,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
6287,2020-01-08 17:23:44.136994+00:00,b'G\xeb\x02\x1c',11.462600136889336,38.072,Harwich,41.698,-70.0602,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
7430,2020-01-09 17:23:44.136319+00:00,b'G\xeb\x02\x1c',11.800042674024487,21.914,Harwich,41.698,-70.0602,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
8435,2020-01-10 17:23:44.032037+00:00,b'G\xeb\x02\x1c',11.799873320548029,19.987,Harwich,41.698,-70.0602,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
