Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
47,2020-01-01 20:30:33.179769+00:00,b'Iw.\xd6',5.895655737084407,22.084,Haverhill,42.7853,-71.0714,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
113,2020-01-01 01:28:19.454888+00:00,b'J^\xadA',2.251879862279106,125.277,Haverhill,42.7853,-71.0714,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
174,2020-01-01 20:51:33.389944+00:00,b'&\x01\x01\x8a\x82\x00\x00\x1e}|1\x0f\xf8Hi\xd3',3.4565565578062127,46.405,Haverhill,42.7826,-71.1029,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
252,2020-01-01 01:24:16.610501+00:00,b'L\x7f\xed\x83',3.939320013473232,54.928,Haverhill,42.7826,-71.1029,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
452,2020-01-01 20:50:01.156864+00:00,b'L\x7f\xedJ',11.810630570414434,17.992,Haverhill,42.7826,-71.1029,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
533,2020-01-01 17:05:50.304124+00:00,b'&\x01\x01\x8a\x82\x80}\x10$\x8c\xccg+\x82\x82\xb2',11.51217048233116,17.37,Haverhill,42.7826,-71.1029,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
579,2020-01-01 01:23:50.120918+00:00,b'L\x13?\xb4',11.760775224642735,20.285,Haverhill,42.7826,-71.1029,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
684,2020-01-01 17:06:28.147341+00:00,b'&\x01\x01\x8a\x82\x01*\xd0\x8d\x85\xac\xea\xb1>\xe0\xe0',10.126051190950127,15.118,Haverhill,42.7826,-71.1029,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
785,2020-01-02 17:11:31.349836+00:00,b'Iw.\xd6',5.892146022849434,38.528,Haverhill,42.7853,-71.0714,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
821,2020-01-02 13:23:50.303934+00:00,b'L\x13?\xb4',11.795092270830962,18.871,Haverhill,42.7826,-71.1029,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1058,2020-01-02 17:27:10.567746+00:00,b'G\xae\x10u',0.7222910862298983,14.75,Haverhill,42.7826,-71.1029,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1203,2020-01-02 13:18:38.727145+00:00,b'Iw!B',2.9254611634558763,20.294,Haverhill,42.7853,-71.0714,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1614,2020-01-02 01:28:48.987223+00:00,b'I\xa7\x8eV',5.494460159973013,23.526,Haverhill,42.7853,-71.0714,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1796,2020-01-03 20:54:51.260265+00:00,"b'\x18""\xd7\xf4'",5.8692642409063405,18.027,Haverhill,42.7506,-71.0863,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1910,2020-01-03 01:23:50.640672+00:00,b'L\x13?\xb4',11.531089028557863,60.774,Haverhill,42.7826,-71.1029,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1995,2020-01-03 20:57:43.240187+00:00,"b'\x18""\xd7\xf4'",5.882032644037636,27.688,Haverhill,42.7506,-71.0863,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
2048,2020-01-03 20:58:13.126971+00:00,"b'\x18""\xd7\xf4'",5.899386625818185,19.413,Haverhill,42.7506,-71.0863,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
