Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
883,2020-01-02 17:28:37.886062+00:00,b' \x01\x05\xb0E\xdc:\x08\xf5P4\xd4~\t/V',2.069794231419019,57.518,Hinsdale,42.4298,-73.0724,6621.0,HNS-DIRECPC - Hughes Network Systems
3613,2020-01-05 17:18:26.189309+00:00,b' \x01\x05\xb0E\xdcGx-\x8b\x1a\xad\xa7\x9a\xc8X',1.1620557372843954,54.115,Hinsdale,42.4298,-73.0724,6621.0,HNS-DIRECPC - Hughes Network Systems
3636,2020-01-05 17:20:00.145611+00:00,b' \x01\x05\xb0E\xdcGx-\x8b\x1a\xad\xa7\x9a\xc8X',2.4498469463595143,57.402,Hinsdale,42.4298,-73.0724,6621.0,HNS-DIRECPC - Hughes Network Systems
3717,2020-01-05 17:22:21.492072+00:00,b' \x01\x05\xb0E\xdcGx-\x8b\x1a\xad\xa7\x9a\xc8X',2.328968195826532,54.089,Hinsdale,42.4298,-73.0724,6621.0,HNS-DIRECPC - Hughes Network Systems
4258,2020-01-05 17:17:06.886482+00:00,b' \x01\x05\xb0E\xdcGx-\x8b\x1a\xad\xa7\x9a\xc8X',2.2075405313320857,54.227,Hinsdale,42.4298,-73.0724,6621.0,HNS-DIRECPC - Hughes Network Systems
12339,2020-01-14 20:47:18.241292+00:00,b'`\xecu\xa1',0.7153760860500482,45.058,Hinsdale,42.4298,-73.0724,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
12527,2020-01-14 20:41:28.459255+00:00,b'`\xecu\xa1',0.7117376031336218,45.069,Hinsdale,42.4298,-73.0724,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
12552,2020-01-15 01:00:51.302752+00:00,b'`\xecu\xa1',0.7095044018734434,44.377,Hinsdale,42.4298,-73.0724,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
12647,2020-01-15 01:05:19.922063+00:00,b'`\xecu\xa1',0.7118247599229202,45.799,Hinsdale,42.4298,-73.0724,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
12893,2020-01-15 01:01:23.296186+00:00,b'`\xecu\xa1',0.7176957435809034,36.944,Hinsdale,42.4298,-73.0724,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
13504,2020-01-16 17:09:29.129878+00:00,b'`\xect\xb5',0.1458239344333947,82.674,Hinsdale,42.4298,-73.0724,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
25325,2020-01-29 17:12:33.110539+00:00,b'E<\xb6\xad',0.828197224813214,32.932,Hinsdale,42.4298,-73.0724,21627.0,"CSTC-AS-2010 - CORNERSTONE TELEPHONE COMPANY, LLC"
26898,2020-01-31 20:44:56.777872+00:00,b'`\xecq}',0.7226604021704078,16.701,Hinsdale,42.4298,-73.0724,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
28234,2020-02-01 01:21:08.700587+00:00,b'JCsD',11.330808588305404,30.596,Hinsdale,42.4298,-73.0724,11351.0,RR-NYSREGION-ASN-01 - Time Warner Cable Internet LLC
30905,2020-02-04 17:26:42.300523+00:00,b'JCs:',11.01223373527846,15.86,Hinsdale,42.4298,-73.0724,11351.0,RR-NYSREGION-ASN-01 - Time Warner Cable Internet LLC
33469,2020-02-07 17:07:32.935663+00:00,b'`\xecq_',0.3684714473374667,52.272,Hinsdale,42.4298,-73.0724,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
33688,2020-02-07 01:13:23.606830+00:00,b'JC\xd9\x1b',11.455891230101765,15.523,Hinsdale,42.4298,-73.0724,11351.0,RR-NYSREGION-ASN-01 - Time Warner Cable Internet LLC
44432,2020-02-19 01:11:11.924079+00:00,b'JCr7',11.591031867925537,29.459,Hinsdale,42.4298,-73.0724,11351.0,RR-NYSREGION-ASN-01 - Time Warner Cable Internet LLC
45482,2020-02-21 13:02:15.354764+00:00,b'JCsB',7.924524356125988,36.183,Hinsdale,42.4298,-73.0724,11351.0,RR-NYSREGION-ASN-01 - Time Warner Cable Internet LLC
47981,2020-02-24 13:27:49.029778+00:00,b'JC\xd8\x19',20.390512607777097,25.022,Hinsdale,42.4298,-73.0724,11351.0,RR-NYSREGION-ASN-01 - Time Warner Cable Internet LLC
50207,2020-02-26 13:13:55.901386+00:00,b'JC\xd8\x19',22.31846334863804,33.115,Hinsdale,42.4298,-73.0724,11351.0,RR-NYSREGION-ASN-01 - Time Warner Cable Internet LLC
57103,2020-03-06 19:31:29.181112+00:00,b'JC\xd8K',11.48299789900728,29.695,Hinsdale,42.4298,-73.0724,11351.0,RR-NYSREGION-ASN-01 - Time Warner Cable Internet LLC
57175,2020-03-06 19:31:57.860962+00:00,b'JC\xd8K',11.543837881119885,28.538,Hinsdale,42.4298,-73.0724,11351.0,RR-NYSREGION-ASN-01 - Time Warner Cable Internet LLC
67393,2020-03-16 00:03:26.187881+00:00,b'JC\xd9%',11.526505618481902,32.1,Hinsdale,42.4298,-73.0724,11351.0,RR-NYSREGION-ASN-01 - Time Warner Cable Internet LLC
68523,2020-03-16 00:11:45.975601+00:00,b'JCs2',11.415732909692927,12.122,Hinsdale,42.4298,-73.0724,11351.0,RR-NYSREGION-ASN-01 - Time Warner Cable Internet LLC
74369,2020-03-20 00:08:49.477305+00:00,b'JC\xd8\x19',23.13721496736759,12.635,Hinsdale,42.4298,-73.0724,11351.0,RR-NYSREGION-ASN-01 - Time Warner Cable Internet LLC
87753,2020-03-28 19:31:19.058113+00:00,b'JC\xd8K',11.433561106380116,16.126,Hinsdale,42.4298,-73.0724,11351.0,RR-NYSREGION-ASN-01 - Time Warner Cable Internet LLC
87860,2020-03-28 19:48:19.116119+00:00,b'JC\xd8K',11.403320270569449,16.123,Hinsdale,42.4298,-73.0724,11351.0,RR-NYSREGION-ASN-01 - Time Warner Cable Internet LLC
87999,2020-03-28 19:47:52.925779+00:00,b'JC\xd8K',11.518960295450276,29.481,Hinsdale,42.4298,-73.0724,11351.0,RR-NYSREGION-ASN-01 - Time Warner Cable Internet LLC
88497,2020-03-28 19:32:20.983743+00:00,b'JC\xd8K',11.516759658758248,13.405,Hinsdale,42.4298,-73.0724,11351.0,RR-NYSREGION-ASN-01 - Time Warner Cable Internet LLC
