Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
165,2020-01-01 20:50:05.653614+00:00,b'D\xb8 7',10.110317187415822,26.857,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
522,2020-01-01 13:10:36.629263+00:00,b'a_\xb3\xea',11.196605621575884,22.288,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
619,2020-01-01 01:04:55.922338+00:00,b'D\xb8 7',10.236565053131285,23.019,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
759,2020-01-02 17:05:57.575079+00:00,b'B\xbdQ$',13.137365160339035,25.754,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
833,2020-01-02 17:03:11.466056+00:00,b'B\xbdQ$',13.355300874323822,20.418,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
915,2020-01-02 17:03:55.193074+00:00,b'B\xbdQ$',6.56626823035336,22.08,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
929,2020-01-02 20:34:48.579263+00:00,b'D\xb8 7',10.599133736052485,23.632,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
1634,2020-01-02 17:04:28.400978+00:00,b'B\xbdQ$',1.6420840438242246,19.964,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
1640,2020-01-02 17:05:09.433839+00:00,b'B\xbdQ$',17.41979697341747,23.252,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
1740,2020-01-03 13:08:54.535807+00:00,b'a_\xba\x17',1.6394951212703617,545.26,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
2140,2020-01-03 01:18:54.369969+00:00,b'D\xb8 7',9.37590179412393,32.171,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
2448,2020-01-03 20:48:20.260389+00:00,b'D\xb8%\x9b',21.173436023244285,22.546,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
2485,2020-01-03 13:07:23.454012+00:00,b'a_\xba\x17',2.235978721455369,363.038,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
2768,2020-01-04 17:23:15.826901+00:00,b'Dt\xb9\xfd',10.90944644503756,22.959,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
2944,2020-01-04 20:47:54.197497+00:00,b'K\x82\xf5\xc1',2.7798595742748,19.315,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
3208,2020-01-04 01:28:34.922782+00:00,b'D\xb8 7',10.044303199945077,24.783,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
3373,2020-01-04 20:47:15.256960+00:00,b'K\x82\xf5\xc1',2.545917472447027,15.542,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
4453,2020-01-06 20:54:00.802770+00:00,b'Dt\xbf\x1e',11.174335187120976,23.998,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
4733,2020-01-06 01:24:36.171693+00:00,b'D\xb8 7',10.376730824408847,18.216,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
5873,2020-01-07 20:49:28.934688+00:00,b'D\xb8.\xed',9.82350529260111,12.274,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
5886,2020-01-07 01:05:49.795488+00:00,b'D\xb8 7',9.914532534712924,24.369,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
6133,2020-01-07 20:44:00.453538+00:00,b'Dt\xbf\x1e',11.130779240668632,29.605,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
6527,2020-01-08 01:14:25.551010+00:00,b'D\xb8 7',9.820722643126992,27.035,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
6573,2020-01-08 20:50:16.356549+00:00,b'Dt\xbf\x1e',11.20608151407803,20.327,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
6994,2020-01-08 20:57:23.282987+00:00,b'D\xb8 7',9.882069067026697,27.409,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
7095,2020-01-09 20:40:16.179521+00:00,b'Dt\xbf\x1e',11.16089539152216,28.816,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
7228,2020-01-09 20:46:35.065728+00:00,b'D\xb8 7',10.255079297283386,23.781,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
7929,2020-01-10 20:34:31.864213+00:00,b'Dt\xbc`',10.775267280268556,27.506,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
7971,2020-01-10 20:51:36.102744+00:00,b'D\xb8 7',10.69758817487796,23.614,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
8207,2020-01-10 01:27:00.637836+00:00,b'D\xb8/D',2.189272129819651,23.185,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
8760,2020-01-10 20:34:17.110470+00:00,b'Dt\xbf\x1e',11.132022718557618,33.63,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
9041,2020-01-11 20:49:15.618572+00:00,b'Dt\xbf\x1e',11.155116720722637,22.597,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
9335,2020-01-11 17:29:47.043031+00:00,b'&\x00ldb\x80%\x00\xd9\x90\xd6\x12\xb8^\xb71',4.772264265460171,26.46,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
9389,2020-01-11 17:04:52.274354+00:00,b'D\xb8%\x9b',0.2399796814253789,29.89,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
9941,2020-01-12 20:35:28.790054+00:00,b'D\xb8#J',21.07288573879866,27.865,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
10021,2020-01-12 20:34:15.531449+00:00,b'Dt\xbf\x1e',11.244384830232494,16.074,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
10074,2020-01-12 01:23:51.874423+00:00,b'B\xbdI\x9e',8.77819824324449,21.799,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
10146,2020-01-12 01:14:57.943536+00:00,b'Dt\xbb[',9.186941458012576,23.666,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
10424,2020-01-12 01:23:19.061920+00:00,b'B\xbdI\x9e',10.196451253953406,27.353,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
10632,2020-01-12 01:13:44.718807+00:00,b'D\xb8 7',10.435732885026493,17.53,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
11054,2020-01-13 20:50:35.949826+00:00,b'D\xb8 7',10.448565169318362,17.431,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
12207,2020-01-14 20:38:06.631873+00:00,b'D\xb8 7',10.39061775637926,29.203,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
12847,2020-01-15 20:39:22.429267+00:00,b'D\xb8 7',10.252742210629288,22.378,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
12858,2020-01-15 01:03:28.149475+00:00,b'&\x00ldb\x80\x00\x06\xc5\xd9\n\xbejL\xd7\xc8',9.545106047623497,28.797,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
12886,2020-01-15 01:23:26.748584+00:00,b'D\xb8 7',10.014192533321268,31.138,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
12980,2020-01-15 01:25:25.059868+00:00,b'Dt\xbd2',10.696284586114258,19.133,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
13379,2020-01-15 20:50:08.382910+00:00,b'` r\xa2',7.99447145502424,96.233,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
13683,2020-01-16 20:35:01.630050+00:00,b'D\xb8 7',10.110344934714057,22.502,Holden,42.3432,-71.8394,20115.0,CHARTER-NET-HKY-NC - Charter Communications
