Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
28009,2020-02-01 01:11:05.130292+00:00,b'Irm\xeb',11.785298848549584,22.403,Hyannis,41.6551,-70.2945,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
28497,2020-02-01 13:11:04.779049+00:00,b'Irm\xeb',11.771066578167767,28.08,Hyannis,41.6551,-70.2945,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
28895,2020-02-02 13:11:04.677354+00:00,b'Irm\xeb',11.705480544299936,21.393,Hyannis,41.6551,-70.2945,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
29053,2020-02-02 01:11:05.246310+00:00,b'Irm\xeb',11.79495790590663,21.257,Hyannis,41.6551,-70.2945,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
29547,2020-02-03 13:11:04.716862+00:00,b'Irm\xeb',11.796377322490269,20.153,Hyannis,41.6551,-70.2945,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
29719,2020-02-03 01:11:05.253611+00:00,b'Irm\xeb',5.29999809255445,112.025,Hyannis,41.6551,-70.2945,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
30751,2020-02-04 01:11:05.053714+00:00,b'Irm\xeb',11.78495503405321,22.307,Hyannis,41.6551,-70.2945,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
30930,2020-02-04 13:11:04.902366+00:00,b'Irm\xeb',11.785504290382084,22.674,Hyannis,41.6551,-70.2945,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
31245,2020-02-05 01:11:05.390889+00:00,b'Irm\xeb',9.232845627557218,102.25,Hyannis,41.6551,-70.2945,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
32003,2020-02-05 13:11:04.768597+00:00,b'Irm\xeb',11.8008095479325,21.991,Hyannis,41.6551,-70.2945,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
32218,2020-02-06 13:17:59.294909+00:00,b'&\x030\x05\x02\x04U\x00d_\xa9\xf8\xf9R\x87\xcb',10.47341883003628,21.17,Hyannis,41.6551,-70.2945,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
32792,2020-02-06 13:11:04.620939+00:00,b'Irm\xeb',11.727611703593714,21.801,Hyannis,41.6551,-70.2945,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
32873,2020-02-06 01:11:05.032242+00:00,b'Irm\xeb',11.790151355840434,21.159,Hyannis,41.6551,-70.2945,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
33051,2020-02-07 01:11:04.942700+00:00,b'Irm\xeb',11.793405178953902,18.736,Hyannis,41.6551,-70.2945,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
33125,2020-02-07 13:11:04.767999+00:00,b'Irm\xeb',11.788547610722228,20.071,Hyannis,41.6551,-70.2945,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
33894,2020-02-08 01:11:05.335194+00:00,b'Irm\xeb',11.78788414511378,21.848,Hyannis,41.6551,-70.2945,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
34694,2020-02-08 13:11:05.540267+00:00,b'Irm\xeb',11.680403948993868,38.219,Hyannis,41.6551,-70.2945,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
35268,2020-02-09 13:11:05.140341+00:00,b'Irm\xeb',11.699162059537285,20.077,Hyannis,41.6551,-70.2945,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
35584,2020-02-09 01:11:05.311243+00:00,b'Irm\xeb',11.147496977479875,83.829,Hyannis,41.6551,-70.2945,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
