Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
1901,2020-01-03 20:57:12.409755+00:00,b'G\xf8\xaf\xee',114.93676938909996,10.255,Kingston,41.9972,-70.7408,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2219,2020-01-03 01:25:16.435520+00:00,b'HJWW',37.9540377622883,14.398,Kingston,41.9972,-70.7408,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2253,2020-01-03 01:21:29.125658+00:00,b'HJWW',36.50003034855485,14.42,Kingston,41.9972,-70.7408,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2424,2020-01-03 01:14:52.466835+00:00,b'HJWW',2.954712147010353,12.268,Kingston,41.9972,-70.7408,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2432,2020-01-03 01:22:25.430171+00:00,b'HJWW',21.42068480444048,15.018,Kingston,41.9972,-70.7408,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2525,2020-01-03 01:24:16.739594+00:00,b'HJWW',206.6571168238784,8.731,Kingston,41.9972,-70.7408,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2550,2020-01-03 01:13:55.137833+00:00,b'HJWW',34.65617216280566,10.141,Kingston,41.9972,-70.7408,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
6181,2020-01-08 20:35:41.699460+00:00,b'I\xf9\x8f\x86',5.977224222855145,20.064,Kingston,41.9972,-70.7408,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
6416,2020-01-08 01:25:40.181087+00:00,b'IrYQ',7.90456604251515,28.172,Kingston,41.9972,-70.7408,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
6431,2020-01-08 20:33:56.053592+00:00,b'I\xf9\x8f\x86',5.971197190950345,24.892,Kingston,41.9972,-70.7408,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
6494,2020-01-08 01:07:06.057507+00:00,b'G\xb8\x9f\xe6',5.18975517314889,20.108,Kingston,41.9972,-70.7408,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
