Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
131,2020-01-01 20:40:14.481548+00:00,b'\xad0\xb6\x18',31.212783014958948,15.605,Ashland,42.2546,-71.4564,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
343,2020-01-01 20:50:40.420758+00:00,b'`\xe6l\xce',66.04164662342411,8.871,Ashland,42.2546,-71.4564,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
438,2020-01-01 17:24:04.376404+00:00,b'\xad0\x9c\x1c',68.04003407698598,10.606,Ashland,42.2546,-71.4564,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
609,2020-01-01 17:00:29.472862+00:00,b'HJ\x84\xc8',91.8032897715344,12.376,Ashland,42.2546,-71.4564,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
663,2020-01-01 20:41:04.623688+00:00,b'\xad0\xb6\x18',27.74621620214452,19.29,Ashland,42.2546,-71.4564,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
689,2020-01-01 13:07:53.814891+00:00,b'HJ\x84\xc8',92.21600709302224,10.893,Ashland,42.2546,-71.4564,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
819,2020-01-02 01:03:14.232919+00:00,b'HJ\x84\xc8',91.51849620328976,10.492,Ashland,42.2546,-71.4564,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
862,2020-01-02 01:05:10.729204+00:00,b'\xad0\x9e\xf5',36.8948072396725,13.025,Ashland,42.2546,-71.4564,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1033,2020-01-02 13:22:52.454658+00:00,b'HJ\x84\xc8',91.69199008834482,11.005,Ashland,42.2546,-71.4564,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1107,2020-01-02 17:13:39.650784+00:00,b'\xad0\x9c\x1c',92.21856224917384,10.739,Ashland,42.2546,-71.4564,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
