Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
625,2020-01-01 01:09:03.103406+00:00,b'`\xe9K\xd6',436.9904746277529,11.399,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
673,2020-01-01 17:22:12.515677+00:00,b'`\xe9K\xd6',442.46393871561503,8.613,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1384,2020-01-02 13:23:38.969566+00:00,b'`\xe9K\xd6',427.33945641159215,16.933,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1534,2020-01-02 17:23:10.500506+00:00,b'G\xb8\xc6\xbc',214.8703613491896,8.576,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1628,2020-01-02 17:27:19.944913+00:00,b'`\xe9K\xd6',441.1824820704055,8.6,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1929,2020-01-03 01:23:34.499927+00:00,b'`\xe9K\xd6',423.4949310163775,11.503,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2268,2020-01-03 17:23:10.433468+00:00,b'G\xb8\xc6\xbc',226.17373921925343,7.647,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2352,2020-01-03 13:06:16.654556+00:00,b'`\xe9K\xd6',434.3821955864782,11.199,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2451,2020-01-03 01:10:22.974248+00:00,b'b\xd8V\x03',11.36600562881169,17.552,Hopkinton,42.2187,-71.5351,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
2854,2020-01-04 01:02:22.465426+00:00,b'l\x07\xd1\xe1',58.87944408831379,12.545,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2994,2020-01-04 01:04:35.660574+00:00,b'l\x07\xd1\xe1',16.265308471368375,14.553,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
3140,2020-01-04 01:03:04.566355+00:00,b'l\x07\xd1\xe1',21.97323850428361,14.443,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
3144,2020-01-04 13:14:17.948557+00:00,b'`\xe9K\xd6',439.7094415076304,8.498,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
3249,2020-01-04 20:56:10.164260+00:00,b'G\xb8\xc7#',13.750837634574822,10.922,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
3321,2020-01-04 01:03:38.587528+00:00,b'l\x07\xd1\xe1',6.125217889819519,14.551,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
3506,2020-01-04 13:09:35.992427+00:00,b'G\xb8\xc7)',236.54947758261724,9.929,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
3733,2020-01-05 01:19:36.672807+00:00,b'`\xe9K\xd6',438.28211758062565,11.357,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
4032,2020-01-05 17:23:10.735994+00:00,b'G\xb8\xc6\xbc',180.9626910169296,7.775,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
4625,2020-01-06 17:23:10.682622+00:00,b'G\xb8\xc6\xbc',195.4544024881116,7.64,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
4638,2020-01-06 17:14:38.156486+00:00,b'`\xe9K\xd6',432.5852666502703,11.414,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
5681,2020-01-07 01:02:51.819903+00:00,b'`\xe9K\xd6',411.1730496534001,8.522,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
5726,2020-01-07 13:18:08.791059+00:00,b'`\xe9K\xd6',420.6807151824777,14.205,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
6590,2020-01-08 13:24:43.972279+00:00,b'`\xe9K\xd6',434.0682968998237,11.345,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
6646,2020-01-08 01:21:52.376121+00:00,b'`\xe9K\xd6',416.3148565912794,11.625,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
7161,2020-01-09 01:01:08.079520+00:00,b'`\xe9K\xd6',430.5239069261293,16.99,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
7677,2020-01-09 13:14:53.766284+00:00,b'`\xe9K\xd6',436.7800398779132,8.728,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
8085,2020-01-10 01:21:44.750402+00:00,b'`\xe9K\xd6',420.4187986249858,11.378,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
8461,2020-01-10 13:07:54.117938+00:00,b'`\xe9K\xd6',434.1393771900113,17.227,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
9179,2020-01-11 13:16:23.644808+00:00,b'`\xed\xe8\x08',48.62578308196324,14.335,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
9240,2020-01-11 01:23:09.363080+00:00,b'`\xe9K\xd6',435.55369401560296,8.459,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
9278,2020-01-11 17:28:26.659418+00:00,b'l\x07\xd1\xe9',646.6358399473063,7.865,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
9844,2020-01-12 01:17:40.939925+00:00,b'G\xb8\xc7#',3.282278822492435,16.021,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
9999,2020-01-12 01:28:14.131078+00:00,b'`\xe9K\xd6',438.80133232940375,10.816,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
10065,2020-01-12 17:23:10.427390+00:00,b'G\xb8\xc6\xbc',195.03939991401936,8.497,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
10120,2020-01-12 01:19:41.429525+00:00,b'G\xb8\xc7#',3.249764357378839,14.242,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
10391,2020-01-12 13:18:57.633689+00:00,b'I\x10P\xfb',5.876271108980042,21.03,Hopkinton,42.2187,-71.5351,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
11183,2020-01-13 01:12:05.019018+00:00,b'`\xedi\xa6',58.41695639257893,16.539,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
11864,2020-01-14 17:04:51.492859+00:00,b'\xadL\x82\x82',76.39651682287183,9.012,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
11981,2020-01-14 13:03:51.452969+00:00,b'`\xe9K\xd6',406.09466154007305,11.436,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
12304,2020-01-14 17:28:38.786139+00:00,b'`\xe9K\xd6',429.8925473020181,11.12,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
12702,2020-01-15 01:13:14.096372+00:00,b'`\xe9K\xd6',441.48834000035407,17.104,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
12892,2020-01-15 13:02:03.031130+00:00,b'`\xe9K\xd6',439.9713480393938,11.616,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
13132,2020-01-15 17:25:07.169777+00:00,b'`\xe9K\xd6',438.9351345579117,11.37,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
13865,2020-01-16 17:13:11.637675+00:00,b'`\xe9K\xd6',439.5225509818823,8.734,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
14032,2020-01-16 20:35:48.462206+00:00,"b'`\xe9d,'",23.648189489439982,14.97,Hopkinton,42.2187,-71.5351,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
