Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
36106,2020-02-10 20:45:16.034934+00:00,b'`T\xc0\xa1',23.22677209866329,18.509,Hull,42.2853,-70.8754,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
55512,2020-03-04 16:12:26.284130+00:00,b'K\x95\x8b\xd1',0.9115866848774976,68.816,Hull,42.2853,-70.8754,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
68789,2020-03-17 19:38:53.156125+00:00,b'K\x95\x8a\xb1',8.076224025710474,17.403,Hull,42.2853,-70.8754,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
68899,2020-03-17 19:37:01.895858+00:00,b'K\x95\x8a\xb1',24.5523594138439,20.993,Hull,42.2853,-70.8754,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
69369,2020-03-17 19:40:27.260398+00:00,b'K\x95\x8a\xb1',36.37364029280404,18.76,Hull,42.2853,-70.8754,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
80906,2020-03-24 16:21:24.645563+00:00,b'HJ#\xc6',111.2374397971784,10.389,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
120022,2020-04-17 16:28:08.258666+00:00,b'HJ#\xc6',43.61297118810163,13.119,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
120077,2020-04-17 16:26:00.064090+00:00,b'HJ#\xc6',43.51878505789438,14.48,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
120263,2020-04-17 16:26:45.614239+00:00,b'HJ#\xc6',11.41393018537405,28.391,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
120386,2020-04-17 19:40:48.832829+00:00,b'K\x95\x8bq',26.68568581189211,27.9,Hull,42.2853,-70.8754,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
124181,2020-04-20 19:51:15.702644+00:00,b'HJ#\xdc',46.8675499946624,11.285,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
132721,2020-04-25 16:21:36.425227+00:00,b'HJ#\xb0',20.566644736597205,10.122,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
132736,2020-04-25 16:05:43.280661+00:00,b'HJ#\xb0',1.5345930352184485,10.701,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
132749,2020-04-25 16:27:53.846630+00:00,b'HJ#\xb0',3.277421275332961,9.653,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
132777,2020-04-25 16:29:41.615083+00:00,b'HJ#\xb0',3.877898091875101,10.966,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
132808,2020-04-25 16:23:06.587058+00:00,b'HJ#\xb0',39.02728294779057,10.202,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
132992,2020-04-25 16:03:08.777309+00:00,b'HJ#\xb0',2.3282584796792536,12.271,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
133012,2020-04-25 16:18:38.889876+00:00,b'HJ#\xb0',1.1524428981681838,8.873,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
133094,2020-04-25 16:23:42.613714+00:00,b'HJ#\xb0',21.732407362116103,9.767,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
133114,2020-04-25 16:18:11.013167+00:00,b'HJ#\xb0',7.912456076027722,11.735,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
133178,2020-04-25 16:21:08.572050+00:00,b'HJ#\xb0',20.61767727691256,10.169,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
133198,2020-04-25 16:13:18.969975+00:00,b'HJ#\xb0',3.4107041463983645,8.786,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
133606,2020-04-25 16:11:49.546580+00:00,b'HJ#\xb0',3.804444698985987,9.298,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
133802,2020-04-25 16:14:41.490302+00:00,b'HJ#\xb0',2.706682562733899,9.605,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
133808,2020-04-25 16:28:21.257231+00:00,b'HJ#\xb0',4.248040816881687,10.617,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
133810,2020-04-25 16:26:34.978266+00:00,b'HJ#\xb0',0.2105562188448151,9.783,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
133859,2020-04-25 16:12:20.415840+00:00,b'HJ#\xb0',4.075030541704173,9.088,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
134071,2020-04-26 19:38:41.254565+00:00,b'HJ#\xb0',21.14244862656516,8.06,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
134198,2020-04-26 19:43:50.554186+00:00,b'HJ#\xb0',14.560245973300368,8.702,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
134282,2020-04-26 19:42:58.816573+00:00,b'HJ#\xb0',11.409251215784352,8.262,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
134295,2020-04-26 19:40:40.155619+00:00,b'HJ#\xb0',62.43602277060443,9.099,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
134353,2020-04-26 19:43:26.729384+00:00,b'HJ#\xb0',6.24114510688913,28.37,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
135091,2020-04-26 19:41:13.351067+00:00,b'HJ#\xb0',85.36721635050468,11.323,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
135112,2020-04-26 19:42:26.708284+00:00,b'HJ#\xb0',78.86782626958562,10.722,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
139096,2020-04-29 16:12:49.583327+00:00,b'HJ#\xb0',14.212390863491152,8.973,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
140034,2020-04-29 12:20:15.056305+00:00,b'HJ#\xb0',3.235874075610986,50.385,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
140176,2020-04-29 12:20:45.997035+00:00,b'HJ#\xb0',3.1095823871347195,10.567,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
140916,2020-04-30 19:30:54.514891+00:00,b'K\x95\x8a\xbd',23.325514042137627,16.064,Hull,42.2853,-70.8754,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
144571,2020-05-02 12:22:52.832491+00:00,b'l\x074\x08',25.991260955790725,12.167,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
146209,2020-05-04 00:07:25.181056+00:00,b'HJ#:',184.3237610060671,11.92,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
147020,2020-05-04 00:06:25.868613+00:00,b'HJ#:',3.610792826716205,11.606,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
147205,2020-05-04 00:25:46.668316+00:00,b'HJ#:',181.124226644908,8.779,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
151816,2020-05-07 16:20:00.391925+00:00,b'HJ##',12.14081088012881,12.521,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
167885,2020-05-18 19:50:05.989526+00:00,b'l\x074:',15.821985958174498,14.863,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
193453,2020-06-05 12:25:12.652982+00:00,b'HJ#\xb0',50.39541672319496,11.551,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
206519,2020-06-15 12:05:18.005785+00:00,b'HJ#\xc8',27.30750585776137,16.238,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
225578,2020-06-26 00:02:55.510367+00:00,b'\xadL\xe9q',184.0206134027872,10.96,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
242136,2020-07-05 16:09:10.410263+00:00,b'ID\x0b\xc0',3.282931813354479,22.714,Hull,42.2853,-70.8754,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
248003,2020-07-08 19:37:34.290121+00:00,b'\xadL\xe9q',191.75037492596928,12.116,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
248363,2020-07-08 19:39:20.592281+00:00,b'\xadL\xe9q',187.0242867754204,11.122,Hull,42.2853,-70.8754,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
