Unnamed: 0,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
24,2020-01-01 01:06:19.038756+00:00,b'\xadL#;',7.988846743893839,16.458,Lexington,42.4571,-71.221,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
665,2020-01-01 13:07:34.376155+00:00,b'HF:Q',92.02862830548688,12.739,Lexington,42.4571,-71.221,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1076,2020-01-02 13:09:39.972948+00:00,b'2\xe04\x06',93.17363265381984,8.365,Lexington,42.4571,-71.221,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1169,2020-01-02 13:08:23.798577+00:00,b'2\xe04\x06',4.776738835456455,9.875,Lexington,42.4571,-71.221,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1330,2020-01-02 20:50:23.448567+00:00,"b'\xadL\xf8""'",79.06232928535577,12.723,Lexington,42.4378,-71.2239,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1518,2020-01-02 13:08:51.242001+00:00,b'2\xe04\x06',4.762213652702067,9.095,Lexington,42.4571,-71.221,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1631,2020-01-02 13:28:23.757213+00:00,b'\xadLi\xc0',325.22607608740344,8.074,Lexington,42.4378,-71.2239,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1912,2020-01-03 17:27:18.617458+00:00,b'l\x07\xdd}',10.575798637370765,14.075,Lexington,42.4571,-71.221,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1933,2020-01-03 17:24:37.403081+00:00,b'l\x07\xdd}',25.96490511212691,8.705,Lexington,42.4571,-71.221,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1936,2020-01-03 13:07:34.245961+00:00,b'HF:Q',92.73941576802726,12.632,Lexington,42.4571,-71.221,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2001,2020-01-03 17:22:48.432426+00:00,b'l\x07\xdd}',222.92648825285525,8.397,Lexington,42.4571,-71.221,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2018,2020-01-03 17:25:21.674563+00:00,b'l\x07\xdd}',23.95973102038552,8.711,Lexington,42.4571,-71.221,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2060,2020-01-03 17:08:57.616396+00:00,b'\x18[\x9fi',5.8487216318494095,20.822,Lexington,42.4571,-71.221,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
2087,2020-01-03 01:27:08.777815+00:00,b'\xadLk]',451.72469272007135,8.395,Lexington,42.4378,-71.2239,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
