Unnamed: 0,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
226,2020-01-01 01:25:46.021831+00:00,b'G\xb8k\r',79.71242945829162,9.985,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
693,2020-01-01 20:40:44.649017+00:00,b'G\xb8k\r',79.55486081652387,9.993,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
839,2020-01-02 01:05:44.468364+00:00,b'G\xb8k\r',80.17569783998759,10.023,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1305,2020-01-02 01:19:01.188575+00:00,b'&\x01\x01\x8f\x07\x02\xc9p\xe1^\xcf\x1f\x10\xab\x83\x96',5.58514471883003,19.943,Littleton,42.5374,-71.4842,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1326,2020-01-02 13:13:27.918920+00:00,b'\xadL}\x18',147.55544527194607,9.887,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1527,2020-01-02 20:59:39.811832+00:00,b'G\xb8k\r',79.85535261714507,10.173,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1824,2020-01-03 17:13:04.011317+00:00,b'\xadL(\xb0',81.4921971487006,8.963,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2070,2020-01-03 17:20:43.306623+00:00,b'\xadL(\xb0',68.90614530608718,10.083,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2186,2020-01-03 17:20:16.021242+00:00,b'\xadL(\xb0',2.534301129643303,13.202,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2230,2020-01-03 17:12:21.464695+00:00,b'\xadL(\xb0',2.7764024822950275,7.996,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2231,2020-01-03 17:10:28.165994+00:00,b'\xadL(\xb0',72.26638170239733,9.039,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
3488,2020-01-04 01:15:41.886258+00:00,b'G\xb8k\r',80.33300077553982,10.025,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
3973,2020-01-05 01:23:58.573620+00:00,b'G\xb8k\r',80.22054112503265,12.549,Littleton,42.5374,-71.4842,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
