Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
34,2020-01-01 17:10:42.409787+00:00,b'b\xd8@\xfd',5.530974528365287,28.784,Medford,42.4178,-71.1134,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
403,2020-01-01 17:01:47.431906+00:00,b'B\x1e\x08?',5.940138450290694,19.039,Medford,42.4178,-71.1134,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
532,2020-01-01 17:15:14.786197+00:00,b'd\x00\xb4\x82',89.65007085505853,9.648,Medford,42.4178,-71.1134,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
602,2020-01-01 01:12:24.249390+00:00,b'\x18\xda\xb8\x90',40.67861902804505,18.203,Medford,42.4178,-71.1134,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
647,2020-01-01 17:29:03.481496+00:00,b'&\x01\x01\x8dH\x00\x140\x94d\xd2Z\xdd\xc7%\xfe',5.650050120650001,24.484,Medford,42.4178,-71.1134,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
714,2020-01-01 13:21:41.572374+00:00,b'\x18\xda\xb8\x90',40.41225661220672,25.408,Medford,42.4178,-71.1134,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
782,2020-01-02 17:01:47.615484+00:00,b'B\x1e\x08?',5.953993605359894,22.088,Medford,42.4178,-71.1134,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
836,2020-01-02 13:24:12.821941+00:00,"b' \x01Hx\xa2\x160\x00\xd9,\x99M\xf5\xba\xb5\x1c'",63.082870991967816,5.025,Medford,42.4178,-71.1134,12222.0,AS12222 Akamai Technologies
1153,2020-01-02 01:10:16.762591+00:00,b'\x18\xda\xb8\x90',40.23733134020483,35.692,Medford,42.4178,-71.1134,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1186,2020-01-02 01:26:36.521183+00:00,b'`\xe9p\xbc',66.29733492503406,14.303,Medford,42.4178,-71.1134,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1210,2020-01-02 01:27:12.460357+00:00,b'\xadL\xbf_',70.26483726739313,10.114,Medford,42.4178,-71.1134,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1396,2020-01-02 13:08:58.459339+00:00,b'\x18\xda\xb8\x90',40.78058978534505,24.523,Medford,42.4178,-71.1134,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1494,2020-01-02 17:18:03.615512+00:00,b'\x84\xb7\r<',564.6088883145011,7.947,Medford,42.4178,-71.1134,40831.0,ROBERTSDYBDAHL - Roberts & Dybdahl Inc.
1504,2020-01-02 20:54:22.659697+00:00,b'HF%\xd8',142.76375979180906,17.018,Medford,42.4178,-71.1134,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1514,2020-01-02 17:09:24.232329+00:00,b'd\x00\xb4\x82',52.58097815542325,9.706,Medford,42.4178,-71.1134,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1556,2020-01-02 01:20:43.206242+00:00,b'HF?J',302.2734629772057,9.164,Medford,42.4178,-71.1134,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1663,2020-01-03 01:18:09.998445+00:00,b'\x18\xda\xb8\x90',40.85248447231599,18.021,Medford,42.4178,-71.1134,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1696,2020-01-03 17:01:47.538012+00:00,b'B\x1e\x08?',5.561370338125235,17.82,Medford,42.4178,-71.1134,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1792,2020-01-03 17:04:33.149133+00:00,b'`\xed\x8a\xc0',46.28411585334472,9.839,Medford,42.4178,-71.1134,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1795,2020-01-03 01:26:48.486355+00:00,b'B\x1f(>',41.15806300351294,14.43,Medford,42.4178,-71.1134,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1847,2020-01-03 17:11:13.673665+00:00,b'`\xed\x8a\xc0',90.4673399753136,16.054,Medford,42.4178,-71.1134,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1875,2020-01-03 17:05:17.261265+00:00,b'`\xed\x8a\xc0',100.29689582787046,9.535,Medford,42.4178,-71.1134,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1999,2020-01-03 17:27:56.519666+00:00,b'`\xed\x8a\xc0',46.64913045759237,10.208,Medford,42.4178,-71.1134,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2013,2020-01-03 17:06:27.573648+00:00,b'HF%\xd8',67.63777125965083,8.925,Medford,42.4178,-71.1134,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
