Unnamed: 0,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
3,2020-01-01 01:05:05.758330+00:00,b'I{\xeer',11.766821587736258,25.999,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
28,2020-01-01 17:20:29.325008+00:00,b'\x92s6\xc0',17.872397380043566,16.844,Revere,42.4125,-71.0034,6079.0,RCN-AS - RCN
220,2020-01-01 20:41:30.185894+00:00,b'&\x07\xfb\x90hQc%\xc4\xb5\xdcNCL\xbf\xd7',9.074851242148544,41.386,Revere,42.4125,-71.0034,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
337,2020-01-01 17:18:31.033707+00:00,b'\x92s6\xc0',17.91757629661272,16.052,Revere,42.4125,-71.0034,6079.0,RCN-AS - RCN
396,2020-01-01 17:00:04.956364+00:00,b'\x17\x1e\x87\xf9',17.597993927269144,19.916,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
400,2020-01-01 20:40:35.623859+00:00,b'&\x07\xfb\x90hQc%\xc4\xb5\xdcNCL\xbf\xd7',25.33092922232321,39.198,Revere,42.4125,-71.0034,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
646,2020-01-01 17:18:59.969895+00:00,b'\x92s6\xc0',17.951208922022854,22.013,Revere,42.4125,-71.0034,6079.0,RCN-AS - RCN
670,2020-01-01 17:20:05.921276+00:00,b'\x92s6\xc0',17.920943468025847,18.409,Revere,42.4125,-71.0034,6079.0,RCN-AS - RCN
1553,2020-01-02 01:27:07.388244+00:00,b'\xd1\x06n\x83',22.951196957322125,32.702,Revere,42.4125,-71.0034,6079.0,RCN-AS - RCN
2045,2020-01-03 17:22:23.979703+00:00,b'\xd1^\x86\xad',11.284558605860532,14.505,Revere,42.4125,-71.0034,6079.0,RCN-AS - RCN
2053,2020-01-03 01:16:22.875173+00:00,b'I{\xeer',11.70536889257072,24.139,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
2215,2020-01-03 01:15:33.702885+00:00,b'\xd1^\x84b',12.302726281600693,70.006,Revere,42.4125,-71.0034,6079.0,RCN-AS - RCN
2556,2020-01-04 20:46:21.459585+00:00,b'&\x07\xfb\x90hT\xf5\xa0\x89)\xc4C\xa2\x1d\x16J',9.932790256217883,84.293,Revere,42.4125,-71.0034,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
2643,2020-01-04 01:08:56.627802+00:00,b'I{\xeer',11.74938892544065,22.051,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
2818,2020-01-04 13:10:31.284504+00:00,b'&\x07\xfb\x90hF\x8f\xe9\x10\xb6\xe5n\xd1\xdcs\x91',9.28345370219594,39.768,Revere,42.4125,-71.0034,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
2919,2020-01-04 20:42:57.034161+00:00,b'\x18\x02\xba\\',3.1004957932386947,34.471,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
3324,2020-01-04 20:45:45.463448+00:00,b'&\x07\xfb\x90hG\xf7\x8a\xf1\x93T$\xb9\x95\xa2\xbd',0.0594437174424165,65.987,Revere,42.4125,-71.0034,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
3335,2020-01-04 01:22:22.338167+00:00,b'I{\xf7B',17.648705282702295,41.002,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
3423,2020-01-04 01:09:45.424656+00:00,b'&\x01\x01\x8d\t\x80 \xb0\xf0<\x9e\x99\xa0\xa4z\xdb',17.201941102839207,16.376,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
3521,2020-01-04 01:22:45.158793+00:00,b'I{\xf7B',17.679494282954636,25.72,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
3640,2020-01-05 17:18:39.053524+00:00,b'KC\r\xab',5.863427783876059,20.468,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
3803,2020-01-05 20:57:42.802448+00:00,b'&\x07\xfb\x90hI\xc1Y}\x91\x18k\xd3\xfb\xd5p',0.4606275408515888,41.951,Revere,42.4125,-71.0034,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
3847,2020-01-05 17:19:09.097662+00:00,b'KC\r\xab',5.687972910154925,24.583,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
3849,2020-01-05 17:06:36.089661+00:00,b'&\x01\x01\x8d\t\x80\x04\xd0|\xd9\xae8\xb1\xda\xd2\x82',5.404601337060949,19.274,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
4149,2020-01-05 01:24:46.618674+00:00,b'I{\xeer',11.762079421920356,22.075,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
4390,2020-01-06 20:54:09.424461+00:00,b'\xd1\x06n\x83',17.785079732767503,15.978,Revere,42.4125,-71.0034,6079.0,RCN-AS - RCN
4570,2020-01-06 13:18:41.984700+00:00,b'&\x07\xfb\x90hJ\xc6\xc7\x9d:\x9c\xe1\xfe\xb89\xe5',27.271731208839288,39.507,Revere,42.4125,-71.0034,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
4573,2020-01-06 13:09:22.103406+00:00,b'&\x07\xfb\x90hJ\xd3h\t\xf0t\x8d\xbf\x92\x04\xdd',2.001758889306676,40.05,Revere,42.4125,-71.0034,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
4842,2020-01-06 17:15:03.981598+00:00,b'I{\xf1\x9c',16.9236939448787,28.103,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
4870,2020-01-06 13:09:32.888703+00:00,b'&\x07\xfb\x90hY\xfa\xb0\xb0\x9dJ\x02\x0c\xff\xc3\xf5',30.11178139418668,39.958,Revere,42.4125,-71.0034,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
4881,2020-01-06 01:06:58.868705+00:00,b'&\x01\x01\x8d\n\x80i\x00Q\xb7g\xbe\xd9f\x07\xd0',5.253104642299529,22.05,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
5066,2020-01-06 01:23:04.465609+00:00,b'I{\xeer',11.681040044403732,20.092,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
5131,2020-01-06 20:43:46.948887+00:00,b'&\x01\x01\x8d\n\x00\x00\xd4@2\x84c\xea\xaa(\x8e',5.707190850810182,30.501,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
5200,2020-01-06 01:06:24.893404+00:00,b'KE}\x8c',6.894523692792943,21.442,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
5220,2020-01-06 01:07:39.060361+00:00,b'KE}\x8c',11.71690220754387,21.682,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
5354,2020-01-07 01:25:55.491081+00:00,b'&\x07\xfb\x90hK<\xd5\xfd[W\xcef\xbf-\xc9',17.716453927302243,36.827,Revere,42.4125,-71.0034,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
5628,2020-01-07 01:19:28.903826+00:00,b'I{\xeer',11.676600047774352,42.438,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
5678,2020-01-07 01:18:21.465635+00:00,b'&\x01\x01\x8d\t\x7f\xae\xa0\x81l\x82I.\xc1\x03\xcd',11.518754827627262,16.502,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
6376,2020-01-08 01:16:31.369831+00:00,b'\x18\x02\xbaE',5.618545715422565,25.052,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
6516,2020-01-08 13:08:53.797869+00:00,b'&\x01\x01\x8d\t\x7f\x15\xe0\xd5\x03T\xb9\x1e\x90\xd7/',14.849798951679071,25.918,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
6547,2020-01-08 13:07:59.076276+00:00,b'&\x01\x01\x8d\t\x7f\x15\xe0\xd5\x03T\xb9\x1e\x90\xd7/',15.82249019883652,13.343,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
6657,2020-01-08 01:28:57.560252+00:00,b'I{\xeer',11.77557169939374,24.182,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
6715,2020-01-08 13:01:33.581900+00:00,b'I~2\x87',15.101023490565662,24.014,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
6722,2020-01-08 17:11:41.113773+00:00,b'&\x07\xfb\x90h[\xf8\x154\x92\x8e\x89\x02#\xee\x9c',19.79617703123145,38.139,Revere,42.4125,-71.0034,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
7167,2020-01-09 01:11:14.344816+00:00,b'I{\xf0\xb7',5.914311573250733,24.021,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
7493,2020-01-09 13:19:10.709300+00:00,b'I~g@',34.6306005752397,22.093,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
7517,2020-01-09 01:18:01.973036+00:00,b'I{\xeer',11.78177352204417,22.038,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
8027,2020-01-10 17:10:31.215197+00:00,b'I{\xf2\xe8',11.453818479330009,22.472,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
8046,2020-01-10 17:07:19.634356+00:00,b'I{\xf2\xe8',10.447140952731722,22.233,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
8084,2020-01-10 20:45:41.806450+00:00,b'&\x07\xfb\x90h^[w\xa7\xc6z\x88\x971\xfc\x12',3.282974159819571,51.89,Revere,42.4125,-71.0034,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
8088,2020-01-10 17:06:12.470352+00:00,"b'&\x01\x01\x8d\n\x80O@\xa4\xb8\x14\'\xd3\x0c""Q'",10.412022308424966,18.898,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
8209,2020-01-10 01:05:08.557050+00:00,b'I{\xf2c',10.429332995784916,35.982,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
8218,2020-01-10 17:00:51.887314+00:00,b'I{\xf2\xe8',11.00350312886229,21.962,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
8264,2020-01-10 01:21:14.384741+00:00,b'&\x07\xfb\x90hZFCd\xd7\xd50\xc3\x90\x1b\xbc',17.527503606110038,40.655,Revere,42.4125,-71.0034,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
8347,2020-01-10 01:03:46.623524+00:00,b'&\x01\x01\x8d\n\x80\x84`\x80\x847\x18\x99%=\x08',10.6029551266468,27.634,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
8354,2020-01-10 17:09:43.675993+00:00,"b'&\x01\x01\x8d\n\x80O@\xa4\xb8\x14\'\xd3\x0c""Q'",10.614365024546498,22.053,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
8355,2020-01-10 01:03:34.851132+00:00,b'I{\xeer',11.774918826929632,23.111,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
8393,2020-01-10 13:09:00.819936+00:00,b'&\x01\x01\x8d\n\x80\x80`\x02\x1c\xb3\xff\xfeu\x91\x10',11.401662417956434,17.059,Revere,42.4125,-71.0034,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
