Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
67,2020-01-01 17:13:53.049271+00:00,b'\xad0x\x91',111.18223367591294,9.768,Winchester,42.4532,-71.1428,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
230,2020-01-01 13:26:04.115469+00:00,b'\xad0z\xf4',65.47011181989409,8.9,Winchester,42.4532,-71.1428,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
462,2020-01-01 13:12:33.008189+00:00,b'I\x95\xc9\xd0',3.548387443862775,17.273,Winchester,42.4532,-71.1428,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
468,2020-01-01 01:26:06.089654+00:00,b'\xad0z\xf4',63.70310051469821,9.028,Winchester,42.4532,-71.1428,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
502,2020-01-01 20:45:37.107212+00:00,b'b\xd9\x80\xa6',5.927380028299888,16.679,Winchester,42.4532,-71.1428,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
993,2020-01-02 01:26:02.191789+00:00,b'\xad0z\xf4',58.31392833196893,8.861,Winchester,42.4532,-71.1428,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1098,2020-01-02 13:26:00.185232+00:00,b'\xad0z\xf4',53.20704702002999,8.797,Winchester,42.4532,-71.1428,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1545,2020-01-02 01:23:10.474722+00:00,b'\xad0z\x91',91.95069879178617,10.155,Winchester,42.4532,-71.1428,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1676,2020-01-03 13:25:56.050026+00:00,b'\xad0z\xf4',51.82878423780738,8.979,Winchester,42.4532,-71.1428,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1757,2020-01-03 01:03:43.686317+00:00,b'\xad0z\x91',92.1906856403476,9.255,Winchester,42.4532,-71.1428,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2025,2020-01-03 01:25:58.247766+00:00,b'\xad0z\xf4',41.97634948789717,9.002,Winchester,42.4532,-71.1428,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2421,2020-01-03 17:28:35.198229+00:00,b'\xad0x\x91',93.2084333983014,9.789,Winchester,42.4532,-71.1428,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2582,2020-01-04 20:34:13.173245+00:00,b'b\xd9\x80\xa6',5.927422741392766,16.348,Winchester,42.4532,-71.1428,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
