Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
285,2020-01-01 13:22:00.302179+00:00,b'&\x01\x01\x8eA\x01\xf8\xf0\x99n\xab\x94v\xf7d\x05',11.091308661756033,14.563,Marshfield,42.1034,-70.6967,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
484,2020-01-01 01:29:14.688347+00:00,b'KC\x8aP',1.8908160347796736,21.053,Marshfield,42.1034,-70.6967,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
590,2020-01-01 13:23:34.321844+00:00,b'&\x01\x01\x8eA\x01\xf8\xf0\xd9y!\xfc\xfb\xb3\xed)',10.797730630209614,14.64,Marshfield,42.1034,-70.6967,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
623,2020-01-01 13:22:40.389336+00:00,b'&\x01\x01\x8eA\x01\xf8\xf0\xd9y!\xfc\xfb\xb3\xed)',11.274979522322909,18.671,Marshfield,42.1034,-70.6967,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1051,2020-01-02 13:22:12.934407+00:00,b'l\x147_',351.83536995109466,10.232,Marshfield,42.1034,-70.6967,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2043,2020-01-03 13:18:35.803945+00:00,b'&\x01\x01\x8eA\x01\xf8\xf0\xf4\xe7\x04\xba\xb4\xdf\x16>',11.355501432449175,17.991,Marshfield,42.1034,-70.6967,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
2659,2020-01-04 17:20:05.114858+00:00,b'`\xfcb\x89',10.287280716686253,25.032,Marshfield,42.1034,-70.6967,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2748,2020-01-04 17:19:25.794937+00:00,b'`\xfcb\x89',4.709326179693532,17.51,Marshfield,42.1034,-70.6967,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2834,2020-01-04 01:25:08.625444+00:00,b'l\x147`',2.0490221129272235,14.001,Marshfield,42.1034,-70.6967,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2956,2020-01-04 20:55:19.097014+00:00,"b'\xad0_,'",19.67098330118251,34.044,Marshfield,42.1034,-70.6967,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
3496,2020-01-04 13:21:55.317688+00:00,b'&\x01\x01\x8eA\x00\x15\x80\x15\xa7\x91\xc4\xf3\xe7j\xe2',39.53269421776966,18.184,Marshfield,42.1034,-70.6967,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
3579,2020-01-05 20:45:56.707457+00:00,b'HJ\x86E',35.96355205747775,8.875,Marshfield,42.1034,-70.6967,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
3919,2020-01-05 17:28:39.106977+00:00,b'l1\x92\xa5',41.09074570576742,16.882,Marshfield,42.1034,-70.6967,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
5228,2020-01-06 01:24:26.729461+00:00,b'l\x147\x07',253.64180051951243,11.752,Marshfield,42.1034,-70.6967,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
5250,2020-01-06 13:20:00.942126+00:00,b'&\x01\x01\x8eA\x01\xd3`\x1d\\\xb4wl\xf1Z\x92',15.54405464706922,18.0,Marshfield,42.1034,-70.6967,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
5392,2020-01-07 20:52:46.540600+00:00,b'd\x00\xb8\x95',628.4003375625806,9.003,Marshfield,42.1034,-70.6967,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
8011,2020-01-10 13:17:17.074414+00:00,"b'\x18""\x93\x83'",5.973059269307369,18.389,Marshfield,42.1034,-70.6967,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
8095,2020-01-10 01:06:22.727950+00:00,b'l1<n',17.018220232404218,13.171,Marshfield,42.1034,-70.6967,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
8229,2020-01-10 20:36:32.332985+00:00,b'd\x00\xcb\n',307.02256835348976,7.883,Marshfield,42.1034,-70.6967,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
8339,2020-01-10 17:12:26.707270+00:00,b'HJ\xa8\xc0',22.683049517869232,16.389,Marshfield,42.1034,-70.6967,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
8386,2020-01-10 01:10:32.840139+00:00,b'l1<n',17.40483418825586,12.094,Marshfield,42.1034,-70.6967,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
8450,2020-01-10 01:14:47.455122+00:00,b'HJIS',307.6293869236743,8.999,Marshfield,42.1034,-70.6967,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
8475,2020-01-10 01:12:58.324289+00:00,b'l1<n',13.36523239187682,11.933,Marshfield,42.1034,-70.6967,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
8785,2020-01-10 01:09:26.500471+00:00,b'l1<n',9.301383676501969,11.999,Marshfield,42.1034,-70.6967,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
10824,2020-01-13 20:30:27.540703+00:00,b'&\x01\x01\x8eA\x01\xf8\xf0\xed\xabI\xaa1$\xa2e',10.56338639960216,29.254,Marshfield,42.1034,-70.6967,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
11163,2020-01-13 20:31:01.426336+00:00,b'&\x01\x01\x8eA\x01\xf8\xf04Gu\x92\xf9\xb0\xf8\xb1',3.57542814346236,24.418,Marshfield,42.1034,-70.6967,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
11412,2020-01-13 13:27:23.643685+00:00,"b""&\x01\x01\x8eA\x01\xfd0('\xf2\xc1E\xba\x8f\x01""",17.19399072375237,20.861,Marshfield,42.1034,-70.6967,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
11547,2020-01-13 20:31:52.643375+00:00,b'&\x01\x01\x8eA\x01\xf8\xf0\xed\xabI\xaa1$\xa2e',11.45005643547634,33.024,Marshfield,42.1034,-70.6967,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
12729,2020-01-15 20:55:56.072897+00:00,b'HJ\x86-',23.33731537177524,14.066,Marshfield,42.1034,-70.6967,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
