Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
197,2020-01-01 13:21:25.080860+00:00,b'\xd8\x13\xf2\xae',202.07457021255985,9.601,Monterey,42.1867,-73.2065,19323.0,HGE-NET - Holyoke Gas & Electric Department
704,2020-01-01 01:21:25.480341+00:00,b'\xd8\x13\xf2\xae',201.0874434915672,9.617,Monterey,42.1867,-73.2065,19323.0,HGE-NET - Holyoke Gas & Electric Department
1175,2020-01-02 13:21:25.082651+00:00,b'\xd8\x13\xf2\xae',205.350937693484,9.959,Monterey,42.1867,-73.2065,19323.0,HGE-NET - Holyoke Gas & Electric Department
1376,2020-01-02 01:21:25.453039+00:00,b'\xd8\x13\xf2\xae',203.40741731793767,9.558,Monterey,42.1867,-73.2065,19323.0,HGE-NET - Holyoke Gas & Electric Department
2096,2020-01-03 13:21:25.044432+00:00,b'\xd8\x13\xf2\xae',198.8238410682616,10.554,Monterey,42.1867,-73.2065,19323.0,HGE-NET - Holyoke Gas & Electric Department
2119,2020-01-03 01:21:25.410221+00:00,b'\xd8\x13\xf2\xae',203.28861902557253,9.497,Monterey,42.1867,-73.2065,19323.0,HGE-NET - Holyoke Gas & Electric Department
2261,2020-01-03 01:12:52.173674+00:00,b'\xd8\x13\xf2|',47.16514697233847,11.566,Monterey,42.1867,-73.2065,19323.0,HGE-NET - Holyoke Gas & Electric Department
3108,2020-01-04 13:21:24.848343+00:00,b'\xd8\x13\xf2\xae',205.6665080535825,9.39,Monterey,42.1867,-73.2065,19323.0,HGE-NET - Holyoke Gas & Electric Department
3180,2020-01-04 01:21:25.171640+00:00,b'\xd8\x13\xf2\xae',207.68809415401577,9.472,Monterey,42.1867,-73.2065,19323.0,HGE-NET - Holyoke Gas & Electric Department
3604,2020-01-05 20:37:19.412665+00:00,b'\xd8\x13\xf2\xda',270.87256788380324,9.497,Monterey,42.1867,-73.2065,19323.0,HGE-NET - Holyoke Gas & Electric Department
3743,2020-01-05 01:21:25.242798+00:00,b'\xd8\x13\xf2\xae',200.48962968381443,9.452,Monterey,42.1867,-73.2065,19323.0,HGE-NET - Holyoke Gas & Electric Department
3868,2020-01-05 13:21:25.061625+00:00,b'\xd8\x13\xf2\xae',218.78405744755665,11.372,Monterey,42.1867,-73.2065,19323.0,HGE-NET - Holyoke Gas & Electric Department
4437,2020-01-06 01:21:24.656945+00:00,b'\xd8\x13\xf2\xae',208.7244855786243,11.237,Monterey,42.1867,-73.2065,19323.0,HGE-NET - Holyoke Gas & Electric Department
