Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
5506,2020-01-07 17:05:23.623179+00:00,b'&\x00\x10\x00\xb0pL\xcf\xac\x93\xec!1\x17\xb1\xd8',19.0045110151454,38.537,Newtonville,42.3559,-71.2083,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
6151,2020-01-07 17:04:20.570387+00:00,b'&\x00\x10\x00\xb0pL\xcf\xac\x93\xec!1\x17\xb1\xd8',9.105985809908145,24.308,Newtonville,42.3559,-71.2083,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
6519,2020-01-08 20:30:47.899020+00:00,b'&\x00\x10\x00\xb0q-\xa6H\xe4B\xcdtQh ',13.56830006290359,37.228,Newtonville,42.3559,-71.2083,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
13554,2020-01-16 01:28:56.945622+00:00,"b""&\x00\x10\x00\xb0q\xe9\xc18\xc9_uu'\xad\xfb""",0.6234536202449706,30.216,Newtonville,42.3559,-71.2083,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
14118,2020-01-16 01:29:43.181595+00:00,"b""&\x00\x10\x00\xb0q\xe9\xc18\xc9_uu'\xad\xfb""",0.6421623997887204,50.798,Newtonville,42.3559,-71.2083,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
14219,2020-01-16 01:28:11.847606+00:00,"b""&\x00\x10\x00\xb0q\xe9\xc18\xc9_uu'\xad\xfb""",0.7033613570044605,30.375,Newtonville,42.3559,-71.2083,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
24822,2020-01-28 20:57:11.878931+00:00,b'\xad\x0e\x98\xb2',5.374166183253927,23.586,Newtonville,42.3559,-71.2083,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
25154,2020-01-29 20:57:47.355655+00:00,b'&\x00\x10\x00\xb0q\xce\x7f\x1d\x1a\tlaI\x08\x9a',10.376862763490074,39.523,Newtonville,42.3559,-71.2083,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
27027,2020-01-31 20:31:45.487198+00:00,b'&\x00\x10\x00\xb0p\xad\x87\x891\xf8\xa7:\x19\x9e\xb7',7.722748350768136,33.435,Newtonville,42.3559,-71.2083,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
27954,2020-02-01 13:29:25.679876+00:00,b'I=\x1b\xce',11.577028905033623,16.009,Newtonville,42.3559,-71.2083,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
28269,2020-02-01 01:29:25.791503+00:00,b'I=\x1b\xce',11.707078295955196,16.152,Newtonville,42.3559,-71.2083,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
28661,2020-02-02 01:29:25.764987+00:00,b'I=\x1b\xce',11.775046036120155,16.508,Newtonville,42.3559,-71.2083,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
28901,2020-02-02 13:29:25.721796+00:00,b'I=\x1b\xce',11.750680238565876,16.047,Newtonville,42.3559,-71.2083,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
29999,2020-02-03 13:29:25.740835+00:00,b'I=\x1b\xce',11.524974292718388,13.971,Newtonville,42.3559,-71.2083,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
30015,2020-02-03 01:29:25.898160+00:00,b'I=\x1b\xce',7.779246838530572,15.844,Newtonville,42.3559,-71.2083,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
31021,2020-02-04 01:29:26.142739+00:00,b'I=\x1b\xce',9.12603988885211,104.602,Newtonville,42.3559,-71.2083,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
31050,2020-02-04 13:29:25.742169+00:00,b'I=\x1b\xce',11.449379775732949,16.035,Newtonville,42.3559,-71.2083,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
31965,2020-02-05 01:29:25.861938+00:00,b'I=\x1b\xce',9.786712338345572,16.614,Newtonville,42.3559,-71.2083,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
31986,2020-02-05 13:29:25.843208+00:00,b'I=\x1b\xce',11.748920863859556,18.467,Newtonville,42.3559,-71.2083,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
32300,2020-02-06 20:44:33.479946+00:00,b'I=\x1b>',2.040397781929643,27.979,Newtonville,42.3559,-71.2083,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
32445,2020-02-06 01:29:25.837864+00:00,b'I=\x1b\xce',11.179808051472667,19.193,Newtonville,42.3559,-71.2083,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
32511,2020-02-06 13:09:38.968771+00:00,b'\x04$\xc3\x02',5.795097722199599,11.904,Newtonville,42.3559,-71.2083,3356.0,LEVEL3 Level 3 Communications
32613,2020-02-06 13:15:37.535084+00:00,b'\x04$\xc3\x02',1.8963928773134568,26.503,Newtonville,42.3559,-71.2083,3356.0,LEVEL3 Level 3 Communications
32746,2020-02-06 13:29:25.866781+00:00,b'I=\x1b\xce',11.782429181484918,17.952,Newtonville,42.3559,-71.2083,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
32837,2020-02-06 20:44:04.480530+00:00,b'I=\x1b>',0.3881881689976054,50.144,Newtonville,42.3559,-71.2083,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
32838,2020-02-06 20:45:16.604175+00:00,b'I=\x1b>',2.168984225620022,92.325,Newtonville,42.3559,-71.2083,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
33629,2020-02-07 13:29:25.815917+00:00,b'I=\x1b\xce',11.556082288955286,16.519,Newtonville,42.3559,-71.2083,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
33666,2020-02-07 01:29:26.027763+00:00,b'I=\x1b\xce',10.017048487671705,16.565,Newtonville,42.3559,-71.2083,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
34383,2020-02-08 01:29:26.039648+00:00,b'I=\x1b\xce',11.762719146467273,16.073,Newtonville,42.3559,-71.2083,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
34522,2020-02-08 13:29:26.216753+00:00,b'I=\x1b\xce',11.505871888758248,56.089,Newtonville,42.3559,-71.2083,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
34990,2020-02-09 13:29:25.858049+00:00,b'I=\x1b\xce',11.769892234692474,18.126,Newtonville,42.3559,-71.2083,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
35092,2020-02-09 01:29:26.141997+00:00,b'I=\x1b\xce',11.006224980068827,72.016,Newtonville,42.3559,-71.2083,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
