Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
864,2020-01-02 20:36:18.489579+00:00,b'&\x030\x05C\x01\x8b\x001\x13\x0b\xda\xb4\x8b\xe9G',0.6220088595169324,42.715,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
913,2020-01-02 20:35:23.824609+00:00,b'&\x030\x05C\x01\x8b\x00\x18\xa9\xa4A\xe8\x8f\xee\xa0',10.804458843933222,36.361,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1181,2020-01-02 20:37:11.955868+00:00,b'&\x030\x05C\x01\x8b\x001\x13\x0b\xda\xb4\x8b\xe9G',0.8166026491743528,44.079,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1303,2020-01-02 20:38:09.256075+00:00,b'&\x030\x05C\x01\x8b\x00\xd9\xda\xe73~\x1aw\xf7',7.6345943776163265,44.494,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
4706,2020-01-06 20:45:08.478342+00:00,b'L\x7f\xaa\x17',9.199305367023966,28.233,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
5225,2020-01-06 01:12:01.865132+00:00,b'&\x01\x01\x96\x84\x80\nf\xf0h\n:a\x8e\xe8\xbb',5.806680366136487,20.477,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
5324,2020-01-07 13:17:07.876378+00:00,b'I\x8f\xd3\xec',9.869421669924735,42.845,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
7041,2020-01-08 01:22:49.679106+00:00,b'&\x01\x01\x96\x84\x80\x0b\xf0\xf0\xf0+\xb1\x804\xbcX',8.162130285456312,22.923,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
8755,2020-01-10 13:21:52.939519+00:00,b'&\x01\x01\x96\x87\x03\x10\xd0`\xff\xd3`fWrf',3.498088448670532,21.731,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
8945,2020-01-11 20:40:18.178423+00:00,b'I\x8f\xd2\xad',5.699591612494958,20.797,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
8954,2020-01-11 20:30:22.376185+00:00,b'I\x8f\xd2\xad',3.0535647289853074,18.147,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
9001,2020-01-11 20:58:05.893473+00:00,b'I\x8f\xd2\xad',5.8263090198831575,18.394,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
9098,2020-01-11 20:59:19.868554+00:00,b'I\x8f\xd2\xad',4.648985801719563,20.862,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
10138,2020-01-12 13:12:16.930324+00:00,b'L\x7f\xaa\x17',9.49139537050147,23.982,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
13687,2020-01-16 01:06:58.575559+00:00,"b""&\x01\x01\x96\x87\x03*P\xe0\xd0\xc3\x1c\xe6\xcfd'""",16.070415497534043,21.083,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
14253,2020-01-16 01:07:42.347626+00:00,"b""&\x01\x01\x96\x87\x03*P\xe0\xd0\xc3\x1c\xe6\xcfd'""",16.45129072808794,22.449,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
20186,2020-01-23 20:53:46.865428+00:00,b'2\xe8\x15F',20.483674782475067,2.879,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
20791,2020-01-24 01:13:17.633747+00:00,b'&\x01\x01\x96\x87\x03\x1d\xc0\xa5\x08\x96\xb7\x17\x1e\xfd]',4.843720544505447,25.949,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
21164,2020-01-24 01:28:46.292035+00:00,b'&\x01\x01\x96\x88\x00\x1f@\xac\xa5\xb9\xf62\xef\xda\xc7',30.660169422382346,90.231,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
21745,2020-01-25 20:43:47.067202+00:00,b'L\x7f\xaa\x17',5.960331455319602,18.01,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
21770,2020-01-25 01:14:44.619709+00:00,b'&\x01\x01\x96\x84\x80*\xb0\xe8;\x83\xd5\xa7XVj',5.305734940710266,23.541,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
21995,2020-01-25 20:30:04.931258+00:00,b'L\x7f\xaa\x17',5.938093390640895,25.287,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
22101,2020-01-25 20:30:31.169744+00:00,b'L\x7f\xaa\x17',5.557497788037858,19.952,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
22199,2020-01-25 20:38:53.973821+00:00,b'L\x7f\xaa\x17',5.9604783487665856,17.762,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
22302,2020-01-25 01:15:46.473852+00:00,b'&\x01\x01\x96\x84\x80*\xb0\xe8;\x83\xd5\xa7XVj',5.210328206795846,21.542,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
22327,2020-01-25 20:32:08.524525+00:00,b'L\x7f\xaa\x17',5.971359393977164,21.323,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
22934,2020-01-26 17:05:48.166111+00:00,b'L\x7f\xaa\x17',2.005938637524163,17.747,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
22969,2020-01-26 17:04:42.190370+00:00,b'L\x7f\xaa\x17',1.459760610286064,19.917,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
23055,2020-01-26 17:07:10.053881+00:00,b'L\x7f\xaa\x17',5.983487611024861,20.653,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
23182,2020-01-26 17:05:28.423802+00:00,b'L\x7f\xaa\x17',5.5622487090713335,24.329,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
23235,2020-01-26 17:11:56.080107+00:00,b'L\x7f\xaa\x17',5.919743722483426,21.19,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
23398,2020-01-27 20:40:40.290368+00:00,b'&\x01\x01\x96\x87\x034\x10\x1d\xcc\xe9\xc6T\x13R\xd1',13.68750116570793,22.075,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
23903,2020-01-27 20:40:35.496731+00:00,b'A\xce6\xbe',38.90359918594044,1.706,Norton,41.9718,-71.1894,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
23950,2020-01-27 20:53:28.201039+00:00,b'A\xce6\xbe',3.9393155640903808,2.039,Norton,41.9718,-71.1894,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
24036,2020-01-27 20:39:35.095769+00:00,b'A\xce6\xbe',38.97262482975038,1.695,Norton,41.9718,-71.1894,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
24145,2020-01-27 20:39:59.302457+00:00,b'&\x01\x01\x96\x87\x034\x10\x1d\xcc\xe9\xc6T\x13R\xd1',39.13124559294809,22.876,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
24201,2020-01-27 20:48:29.609600+00:00,b'&\x030\x05C\n\x87\x00\xb5\xd0^\xa7;\xc9\x9e\x97',0.045651741308728,458.124,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
24296,2020-01-27 20:41:53.136306+00:00,b'&\x01\x01\x96\x87\x034\x10\xa4\x81)\xe9\xec\xcbS\xa6',38.72123518612849,23.903,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
24445,2020-01-28 20:59:44.572829+00:00,b'&\x01\x01\x96\x84\x00\x18\x00H\xbc \x0b=\xc0Sk',11.44566064167292,17.925,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
24695,2020-01-28 20:59:11.747087+00:00,b'&\x01\x01\x96\x84\x00\x18\x00H\xbc \x0b=\xc0Sk',11.47058808465004,19.645,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
25496,2020-01-29 17:05:22.823549+00:00,"b'2\xear""'",23.22568767279218,54.047,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
26090,2020-01-30 20:43:04.734246+00:00,b'2\xe8\x15F',2.4799647053473217,94.004,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
26217,2020-01-30 20:56:00.376724+00:00,b'2\xe8\x15F',18.16354204472792,3.143,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
26262,2020-01-30 20:40:06.700135+00:00,b'2\xe8\x15F',0.8975733060470649,10.461,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
26368,2020-01-30 20:55:34.868765+00:00,b'2\xe8\x15F',0.0992859071126496,5.64,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
28812,2020-02-02 17:23:35.893850+00:00,b'&\x01\x01\x96\x88\x01\x1c\xa0@`\xa6\xcc\xdf\x15\xd5\xe7',7.459719679798807,22.103,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
30735,2020-02-04 20:34:25.939720+00:00,b'I\xf9Ml',31.689002841931547,99.25,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
30968,2020-02-04 20:33:52.287215+00:00,b'I\xf9Ml',31.1631298489706,104.57,Norton,41.9718,-71.1894,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
31505,2020-02-05 17:15:06.827104+00:00,b'\x9b/\xc3\x01',518.2034752449954,10.669,Norton,41.9718,-71.1894,32125.0,WHEATON-COLLEGE - Wheaton College
