Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
5509,2020-01-07 13:18:01.186234+00:00,b'&\x00\x10\x00\xb0XoR\xbacN\x90\xd3U!#',7.070326486094326,42.304,Paxton,42.3066,-71.9202,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
5816,2020-01-07 01:21:31.940462+00:00,b'&\x00ldb\x7f\xa6\x9d)\x97m\xd1\xd1\xb9\xf9\xd0',8.353357786131312,25.86,Paxton,42.3066,-71.9202,20115.0,CHARTER-NET-HKY-NC - Charter Communications
11476,2020-01-13 17:26:41.015249+00:00,"b""&\x00\x10\x00\xb0Xr\x90`\x13'2\x1f\xda\x97\xaa""",1.787760968425696,39.611,Paxton,42.3066,-71.9202,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
21719,2020-01-25 01:06:02.949671+00:00,"b'&\x00\x10\x00\xb0XB3\x11\xdcT@\xcd""`\xca'",33.3253919307892,34.343,Paxton,42.3066,-71.9202,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
22205,2020-01-25 01:04:12.430424+00:00,"b'&\x00\x10\x00\xb0XB3\x11\xdcT@\xcd""`\xca'",4.781946206558327,34.684,Paxton,42.3066,-71.9202,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
60795,2020-03-10 00:06:47.687033+00:00,b'&\x07\xfb\x90\xacX\xa6e\xc8a\xfc\xf4\xed\xe8\xbb\x0c',2.884648557718605,40.253,Paxton,42.3066,-71.9202,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
75384,2020-03-20 00:18:57.706747+00:00,b'&\x07\xfb\x90\xacZz\xca\xb5\x15\x10\x04Z\xc7\x17e',1.5771334981777712,40.966,Paxton,42.3066,-71.9202,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
100401,2020-04-04 00:08:32.592887+00:00,b'&\x07\xfb\x90\xacXK\x10\x1cYe\xc0\x1a\x91\x7f\xd3',0.7593216038441826,43.902,Paxton,42.3066,-71.9202,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
100672,2020-04-04 00:09:07.487348+00:00,b'&\x07\xfb\x90\xacXK\x10\x1cYe\xc0\x1a\x91\x7f\xd3',0.7079579487745401,38.451,Paxton,42.3066,-71.9202,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
109559,2020-04-10 16:21:14.213458+00:00,b'&\x07\xfb\x90\xacXN\xde\xe4\xc3Jj0\xa1\x9cI',39.402575742197584,42.171,Paxton,42.3066,-71.9202,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
113537,2020-04-13 16:27:21.060815+00:00,b'&\x07\xfb\x90\xacXn\xb0\xf0\x8e@\xb0\x19d\x9b\xa4',8.201443354751259,29.742,Paxton,42.3066,-71.9202,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
175241,2020-05-23 16:07:45.662347+00:00,b'`VV1',23.387495326292225,13.79,Paxton,42.3066,-71.9202,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
175253,2020-05-23 16:06:16.926948+00:00,b'`VV1',23.36589696342284,16.321,Paxton,42.3066,-71.9202,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
222514,2020-06-24 16:03:55.043658+00:00,b'`VU\x82',5.699780483708271,24.429,Paxton,42.3066,-71.9202,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
222557,2020-06-24 16:02:23.428928+00:00,b'`VU\x82',3.159344776345202,30.767,Paxton,42.3066,-71.9202,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
222715,2020-06-24 16:04:49.749330+00:00,b'`VU\x82',0.3716302274796675,28.809,Paxton,42.3066,-71.9202,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
222922,2020-06-24 16:03:12.219584+00:00,b'`VU\x82',3.929038234600078,32.074,Paxton,42.3066,-71.9202,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
234567,2020-07-01 12:03:14.575353+00:00,b'(\x8a\x15\x00',22.14064803504348,39.521,Paxton,42.3066,-71.9202,7029.0,WINDSTREAM - Windstream Communications Inc
264568,2020-07-17 19:40:31.399090+00:00,b'`VV\x19',2.5699543621532914,56.732,Paxton,42.3066,-71.9202,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
281239,2020-07-27 16:01:31.339730+00:00,b'(\x8a\x15\x00',0.6407720152874237,352.191,Paxton,42.3066,-71.9202,7029.0,WINDSTREAM - Windstream Communications Inc
418386,2020-12-07 20:53:56.259798+00:00,b'2\xcf\xf8B',28.76833807221409,12.283,Paxton,42.3066,-71.9202,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
