Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
71,2020-01-01 13:24:00.299456+00:00,b'D\xa2\xd04',359.96527857786026,8.774,Rowley,42.7138,-70.907,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
288,2020-01-01 01:24:00.467965+00:00,b'D\xa2\xd04',336.1943466173708,7.792,Rowley,42.7138,-70.907,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
809,2020-01-02 13:24:01.411950+00:00,b'D\xa2\xd04',333.0128323642839,8.012,Rowley,42.7138,-70.907,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1038,2020-01-02 20:56:59.478021+00:00,b'D\xa2\xd0\xa7',452.7656511520918,7.867,Rowley,42.7138,-70.907,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1297,2020-01-02 01:24:01.595916+00:00,b'D\xa2\xd04',387.8844827683925,7.826,Rowley,42.7138,-70.907,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1338,2020-01-02 13:01:45.577752+00:00,b'D\xa2\xd0\xa7',415.70613873652144,7.869,Rowley,42.7138,-70.907,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
1959,2020-01-03 13:24:01.410270+00:00,b'D\xa2\xd04',340.94269102569484,8.866,Rowley,42.7138,-70.907,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2469,2020-01-03 01:08:33.466175+00:00,b'D\xa2\xd0\xa7',453.7759376744011,7.882,Rowley,42.7138,-70.907,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2484,2020-01-03 01:24:01.541834+00:00,b'D\xa2\xd04',383.74194796559607,7.858,Rowley,42.7138,-70.907,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
2616,2020-01-04 17:06:24.614701+00:00,b'\x8d\x9aR1',81.26096026276664,12.89,Rowley,42.7138,-70.907,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
3056,2020-01-04 01:24:01.366378+00:00,b'D\xa2\xd04',400.6120614731244,7.914,Rowley,42.7138,-70.907,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
3485,2020-01-04 20:53:19.171148+00:00,b'D\xa2\xd0\xa7',457.7198247173016,7.915,Rowley,42.7138,-70.907,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
3507,2020-01-04 13:24:01.309870+00:00,b'D\xa2\xd04',336.9779503318095,8.017,Rowley,42.7138,-70.907,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
3617,2020-01-05 13:24:01.357641+00:00,b'D\xa2\xd04',321.1754565432826,7.85,Rowley,42.7138,-70.907,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
3777,2020-01-05 01:24:01.529982+00:00,b'D\xa2\xd04',337.7627926108793,7.772,Rowley,42.7138,-70.907,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
4552,2020-01-06 01:24:01.383386+00:00,b'D\xa2\xd04',385.63066250440414,7.774,Rowley,42.7138,-70.907,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
4574,2020-01-06 17:18:31.093360+00:00,b'\x8d\x9aR1',81.12005066418834,12.167,Rowley,42.7138,-70.907,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
4805,2020-01-06 20:33:33.799654+00:00,b'D\xa2\xd0\xa7',484.7910157668479,7.861,Rowley,42.7138,-70.907,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
4818,2020-01-06 13:24:01.402726+00:00,b'D\xa2\xd04',335.26896877192263,8.869,Rowley,42.7138,-70.907,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
5578,2020-01-07 13:24:01.423368+00:00,b'D\xa2\xd04',354.56934039293213,9.098,Rowley,42.7138,-70.907,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
5753,2020-01-07 01:12:41.327609+00:00,b'D\xa2\xd0\xa7',448.6226322902682,16.645,Rowley,42.7138,-70.907,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
6038,2020-01-07 17:25:53.283144+00:00,b'\x8d\x9aR1',81.17998963561702,12.481,Rowley,42.7138,-70.907,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
6057,2020-01-07 17:00:35.029333+00:00,b'&\x030\x05<\x92\xc0\x009\xd0\xcc\x07\x17\xa1\x8a\xde',11.942220640356158,23.247,Rowley,42.7138,-70.907,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
6086,2020-01-07 01:24:01.474338+00:00,b'D\xa2\xd04',386.9796194652597,8.625,Rowley,42.7138,-70.907,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
6552,2020-01-08 17:26:08.390012+00:00,b'\x8d\x9aR1',51.96363613281548,15.297,Rowley,42.7138,-70.907,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
6734,2020-01-08 01:12:50.015915+00:00,b'D\xa2\xd0\xa7',472.114085290253,7.887,Rowley,42.7138,-70.907,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
6754,2020-01-08 01:24:01.488153+00:00,b'D\xa2\xd04',306.78370955434707,8.025,Rowley,42.7138,-70.907,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
6760,2020-01-08 20:47:48.172368+00:00,b'D\xa2\xd0\xa7',464.168481207145,7.873,Rowley,42.7138,-70.907,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
