Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
410,2020-01-01 01:09:32.237414+00:00,b'G\xb8\xc9k',114.56955865030508,11.533,Roxbury,42.3253,-71.0951,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
538,2020-01-01 01:15:02.332750+00:00,b'G\xb8\xc9k',150.34043608149668,11.829,Roxbury,42.3253,-71.0951,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
991,2020-01-02 13:18:23.005085+00:00,b'&\x00\x10\x00\xb0~\\\xf1qz\xfa\xaan\xf2\xb5\x8d',1.2720506332456651,45.599,Roxbury,42.3253,-71.0951,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
1420,2020-01-02 20:52:12.761039+00:00,b'&\x00\x10\x00\xb0\x0b\xd8\x08\r\x11\x91\x08w#l\x82',41.61135185478143,33.454,Roxbury,42.3253,-71.0951,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
2136,2020-01-03 17:10:44.294544+00:00,b'&\x00\x10\x00\xb0\x0e\x016\xa8\xb2H0Ok\x13\xf6',0.5618131577583491,49.013,Roxbury,42.3253,-71.0951,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
4078,2020-01-05 17:03:12.163297+00:00,b'&\x00\x10\x00\xb0~N.\xe9\x93iF\xdb\xfb\xcb\xd2',17.449735535057517,37.277,Roxbury,42.3253,-71.0951,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
4271,2020-01-05 20:38:31.683213+00:00,b'&\x00\x10\x00\xb0\rC\xcb%\xa0\x1cet\x87\xcd8',21.010269970977344,60.572,Roxbury,42.3253,-71.0951,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
4872,2020-01-06 01:23:12.542707+00:00,b'&\x07\xfb\x90)w4mp}\x1e).3\xe6\xe8',1.4353040466902036,44.442,Roxbury,42.3253,-71.0951,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
5029,2020-01-06 01:18:46.241697+00:00,b'&\x07\xfb\x90)w4mp}\x1e).3\xe6\xe8',0.6791303236521931,48.074,Roxbury,42.3253,-71.0951,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
5051,2020-01-06 01:24:04.497273+00:00,b'&\x07\xfb\x90)w4mp}\x1e).3\xe6\xe8',1.0800472144371889,47.859,Roxbury,42.3253,-71.0951,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
5101,2020-01-06 01:16:07.553949+00:00,b'&\x07\xfb\x90)w4mp}\x1e).3\xe6\xe8',1.9001410773461933,32.81,Roxbury,42.3253,-71.0951,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
5187,2020-01-06 01:25:59.058601+00:00,b'&\x07\xfb\x90)w4mp}\x1e).3\xe6\xe8',0.6247155271886213,39.933,Roxbury,42.3253,-71.0951,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
5287,2020-01-07 13:09:16.182477+00:00,b'&\x00\x10\x00\xb0\x0c\x9e\x069\xfd\x7f\xad\xe4\xdc\x82q',7.882542571086271,53.823,Roxbury,42.3253,-71.0951,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
5759,2020-01-07 13:08:28.838122+00:00,b'&\x00\x10\x00\xb0\x0c\x9e\x069\xfd\x7f\xad\xe4\xdc\x82q',6.573968607746718,49.012,Roxbury,42.3253,-71.0951,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
5913,2020-01-07 13:06:25.829190+00:00,b'&\x00\x10\x00\xb0\x0c\x9e\x069\xfd\x7f\xad\xe4\xdc\x82q',7.024722253148942,47.183,Roxbury,42.3253,-71.0951,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
6019,2020-01-07 13:00:52.196654+00:00,b'&\x00\x10\x00\xb0\x0c\x9e\x069\xfd\x7f\xad\xe4\xdc\x82q',5.1538511260395214,37.974,Roxbury,42.3253,-71.0951,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
6136,2020-01-07 13:07:37.022890+00:00,b'&\x00\x10\x00\xb0\x0c\x9e\x069\xfd\x7f\xad\xe4\xdc\x82q',5.674610478675612,46.352,Roxbury,42.3253,-71.0951,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
6140,2020-01-07 13:10:09.463024+00:00,b'&\x00\x10\x00\xb0\x0c\x9e\x069\xfd\x7f\xad\xe4\xdc\x82q',5.755664322061003,66.633,Roxbury,42.3253,-71.0951,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
6339,2020-01-08 20:49:03.764241+00:00,b'&\x00\x10\x00\xb0Y\xc5\x111/\xdekm\xf0\x13a',1.9703594453004627,35.12,Roxbury,42.3253,-71.0951,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
6763,2020-01-08 01:24:34.529750+00:00,b'&\x00\x10\x00\xb0\x0c\xc8\x16\xbc\xc9=\x05i\x80\xd0\xf8',12.928088112455084,37.409,Roxbury,42.3253,-71.0951,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
11309,2020-01-13 13:28:19.096868+00:00,b'&\x00\x10\x00\xb0|{\xdeh\xbb(U\xba\xec\x05\x9b',10.028201613377384,39.295,Roxbury,42.3253,-71.0951,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
11312,2020-01-13 13:22:54.195570+00:00,b'&\x00\x10\x00\xb0\x0c\x16\x18\xd81\xd3\xe4\x17\xa7\x9d\xc2',0.0267116302700468,57.607,Roxbury,42.3253,-71.0951,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
11858,2020-01-14 01:13:33.941325+00:00,b'&\x00\x10\x00\xb0\x08\xf5\xf3Q\xacb\x9b\x0b\xec\xc9\xc0',0.6746370007337847,29.639,Roxbury,42.3253,-71.0951,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
12135,2020-01-14 20:35:24.049504+00:00,b'&\x00\x10\x00\xb0\n\x8dA\xa07\x13\xe2\xcb\x9a0K',0.1029291201524407,61.733,Roxbury,42.3253,-71.0951,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
12216,2020-01-14 17:14:29.608160+00:00,b'\x86\xae\xbaN',165.497158324798,11.11,Roxbury,42.3253,-71.0951,40127.0,LMANET - Longwood Medical and Academic Area (LMA)
12366,2020-01-14 17:14:02.582911+00:00,b'\x86\xae\xbaN',655.0845802634216,12.667,Roxbury,42.3253,-71.0951,40127.0,LMANET - Longwood Medical and Academic Area (LMA)
12378,2020-01-14 17:06:44.099624+00:00,b'&\x07\xfb\x90)v^\xdfX\xd3\x0b\x19\xe3/\xac@',24.85006630051547,38.712,Roxbury,42.3253,-71.0951,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
12778,2020-01-15 17:23:13.690491+00:00,b'&\x00\x10\x00\xb0\x0f\x9dw\xc5\xf8\xe1\xe8R+\xc8\xf9',6.638730007331415,31.856,Roxbury,42.3253,-71.0951,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
13438,2020-01-16 01:01:05.536746+00:00,b'@\xee\x8c\xe6',3.28290881252434,10.021,Roxbury,42.3253,-71.0951,46887.0,LIGHTOWER Lightower Fiber Networks (LIGHT-141)
13686,2020-01-16 13:00:59.471963+00:00,b'&\x00\x10\x00\xb0\x7f\xc7\xa3\x11\x85\xe6*\x02Z~\x95',1.368922942269056,40.417,Roxbury,42.3253,-71.0951,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
15324,2020-01-18 20:38:18.373192+00:00,"b'&\x07\xfb\x90)v\xc0\x1b\xf8\xb8\xf0;\x96,\x08\x1d'",22.717429837457843,32.072,Roxbury,42.3253,-71.0951,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
15351,2020-01-18 17:08:58.989255+00:00,b'&\x07\xfb\x90)t>\x94\xeal\x0f\xf5K\x96\\\x19',7.524713097773046,30.032,Roxbury,42.3253,-71.0951,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
15473,2020-01-18 17:09:37.476182+00:00,b'&\x07\xfb\x90)t>\x94\xeal\x0f\xf5K\x96\\\x19',9.33246440777629,29.417,Roxbury,42.3253,-71.0951,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
16716,2020-01-19 17:15:52.035570+00:00,b'&\x00\x10\x00\xb0|9\x82P\x15_\x15;:JJ',1.7429905511288446,39.672,Roxbury,42.3253,-71.0951,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
16915,2020-01-20 17:10:57.287212+00:00,b'&\x00\x10\x00\xb0\x7f\xfa\xbe\x84\xa9\xb8\x84\x04?\x1c\xb8',10.221043429168397,29.624,Roxbury,42.3253,-71.0951,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
17062,2020-01-20 17:10:20.669402+00:00,b'&\x00\x10\x00\xb0\x7f\xfa\xbe\x84\xa9\xb8\x84\x04?\x1c\xb8',10.979651267212532,28.677,Roxbury,42.3253,-71.0951,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
17192,2020-01-20 17:29:41.791023+00:00,b'&\x00\x10\x00\xb0\x7f\xfa\xbe\x84\xa9\xb8\x84\x04?\x1c\xb8',0.2165609331768583,38.986,Roxbury,42.3253,-71.0951,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
17497,2020-01-20 17:19:30.235676+00:00,b'&\x00\x10\x00\xb0\x7f\xfa\xbe\x84\xa9\xb8\x84\x04?\x1c\xb8',0.1993804067705063,58.902,Roxbury,42.3253,-71.0951,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
17512,2020-01-20 17:18:51.238054+00:00,b'&\x00\x10\x00\xb0\x7f\xfa\xbe\x84\xa9\xb8\x84\x04?\x1c\xb8',0.230663422438249,35.417,Roxbury,42.3253,-71.0951,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
