Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
3338,2020-01-04 13:09:58.137674+00:00,b'l1Ps',0.660882203864919,32.184,Rutland,42.3775,-71.9453,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
7918,2020-01-10 17:14:02.627553+00:00,b'B\xbdqr',10.683041346138598,23.417,Rutland,42.3775,-71.9453,20115.0,CHARTER-NET-HKY-NC - Charter Communications
7942,2020-01-10 17:13:16.553411+00:00,b'B\xbdqr',10.121488444879333,22.587,Rutland,42.3775,-71.9453,20115.0,CHARTER-NET-HKY-NC - Charter Communications
10042,2020-01-12 17:03:54.232635+00:00,b'D\xbb\xd9\xd9',0.742934825493413,26.128,Rutland,42.3775,-71.9453,20115.0,CHARTER-NET-HKY-NC - Charter Communications
14450,2020-01-17 01:16:10.935946+00:00,b'l1Q\xf0',0.5294298287315452,709.222,Rutland,42.3775,-71.9453,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
16938,2020-01-20 01:18:51.007549+00:00,b'B\xbdp\xb5',1.286037585857456,310.553,Rutland,42.3775,-71.9453,20115.0,CHARTER-NET-HKY-NC - Charter Communications
17036,2020-01-20 01:26:50.510076+00:00,b'B\xbdp\xb5',0.6052602485036523,96.229,Rutland,42.3775,-71.9453,20115.0,CHARTER-NET-HKY-NC - Charter Communications
17044,2020-01-20 01:17:08.083160+00:00,b'B\xbdp\xb5',2.3382230838133298,60.817,Rutland,42.3775,-71.9453,20115.0,CHARTER-NET-HKY-NC - Charter Communications
17105,2020-01-20 01:20:56.492713+00:00,b'B\xbdp\xb5',2.52112478844194,22.421,Rutland,42.3775,-71.9453,20115.0,CHARTER-NET-HKY-NC - Charter Communications
17583,2020-01-20 01:17:33.177061+00:00,b'B\xbdp\xb5',1.2438772715611952,41.328,Rutland,42.3775,-71.9453,20115.0,CHARTER-NET-HKY-NC - Charter Communications
17798,2020-01-20 01:21:28.485235+00:00,b'B\xbdp\xb5',1.1823248078299773,163.266,Rutland,42.3775,-71.9453,20115.0,CHARTER-NET-HKY-NC - Charter Communications
