Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
553,2020-01-01 17:09:50.663175+00:00,b'G\xeb\xdc\xe2',11.781374898269991,24.121,Sandwich,41.7111,-70.4887,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1340,2020-01-02 17:09:51.726205+00:00,b'G\xeb\xdc\xe2',11.756575524146935,30.146,Sandwich,41.7111,-70.4887,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1820,2020-01-03 17:09:51.569193+00:00,b'G\xeb\xdc\xe2',11.803480816719322,26.313,Sandwich,41.7111,-70.4887,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1859,2020-01-03 01:26:57.001432+00:00,b'G\xe8\xe2\xf3',3.571859803684929,17.202,Sandwich,41.7111,-70.4887,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
2138,2020-01-03 01:09:41.958038+00:00,b'&\x01\x01\x83\x02\x00\x07s\x08\xde\xa2\xd5\xee\xf3\x0c\xe8',8.465222261216775,19.329,Sandwich,41.7111,-70.4887,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
2161,2020-01-03 01:13:22.159586+00:00,b'G\xe8\xe2\xf3',3.558290860505789,17.829,Sandwich,41.7111,-70.4887,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
2228,2020-01-03 01:27:58.906785+00:00,b'G\xe8\xe2\xf3',3.5629062231020843,16.965,Sandwich,41.7111,-70.4887,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
3090,2020-01-04 17:09:50.628362+00:00,b'G\xeb\xdc\xe2',11.525329119991309,20.055,Sandwich,41.7111,-70.4887,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
3384,2020-01-04 17:19:28.900398+00:00,b'&\x01\x01\x83\x02\x01\x92\xe0\xac\x87>1L\xe9j\xa4',11.049288593985388,23.366,Sandwich,41.7111,-70.4887,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
3953,2020-01-05 17:09:50.638049+00:00,b'G\xeb\xdc\xe2',11.77791096332427,24.364,Sandwich,41.7111,-70.4887,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
4580,2020-01-06 01:22:45.428966+00:00,b'&\x01\x01\x83\x02\x01\xd1 \x80y\x11\x0f\x96\nB\x82',3.737722796818154,19.302,Sandwich,41.7111,-70.4887,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
4710,2020-01-06 17:02:36.563498+00:00,b'I&s\xba',17.770535722697694,18.399,Sandwich,41.7111,-70.4887,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
5239,2020-01-06 17:09:52.792106+00:00,b'G\xeb\xdc\xe2',11.736533696180356,40.112,Sandwich,41.7111,-70.4887,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
6115,2020-01-07 17:09:50.829455+00:00,b'G\xeb\xdc\xe2',11.81623493641421,20.587,Sandwich,41.7111,-70.4887,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
6274,2020-01-08 17:09:50.696713+00:00,b'G\xeb\xdc\xe2',11.437741285971066,36.568,Sandwich,41.7111,-70.4887,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
6566,2020-01-08 13:09:36.692918+00:00,b'&\x01\x01\x83\x02\x01\xd3\xb0\xc1\x0f?|W\xef+\xb9',11.514971218850834,26.635,Sandwich,41.7111,-70.4887,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
7155,2020-01-09 01:28:16.824105+00:00,b'&\x01\x01\x83\x02\x00\xf70\r\xc1\x93\xcd]H9N',3.517378558116713,18.857,Sandwich,41.7111,-70.4887,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
7316,2020-01-09 20:53:15.807006+00:00,b'&\x01\x01\x83\x02\x019\xc0\xf8a\x9f\xb9\xef\x10q\x89',11.565008662671708,17.836,Sandwich,41.7111,-70.4887,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
7500,2020-01-09 17:09:50.790290+00:00,b'G\xeb\xdc\xe2',11.806911632458856,21.193,Sandwich,41.7111,-70.4887,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
