Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
46333,2020-02-22 17:25:33.084171+00:00,b'G\x7f\tk',0.7119291186325744,48.337,Savoy,42.577,-73.0233,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
47008,2020-02-22 17:24:59.413373+00:00,b'G\x7f\tk',0.7244565293991794,40.654,Savoy,42.577,-73.0233,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
48406,2020-02-24 01:17:04.909619+00:00,b'\x8d\xc1\x93\x01',2.1304869630101653,29.843,Savoy,42.577,-73.0233,63020.0,"WIVALLEY - WiValley, Inc."
49674,2020-02-26 01:13:24.035457+00:00,b'\x8d\xc1\x93\x06',8.722117464318403,21.963,Savoy,42.577,-73.0233,63020.0,"WIVALLEY - WiValley, Inc."
49863,2020-02-26 01:14:05.550847+00:00,b'\x8d\xc1\x93\x06',7.611983035130901,28.233,Savoy,42.577,-73.0233,63020.0,"WIVALLEY - WiValley, Inc."
50154,2020-02-26 01:16:11.286365+00:00,b'\x8d\xc1\x93\x06',8.028280423870363,33.962,Savoy,42.577,-73.0233,63020.0,"WIVALLEY - WiValley, Inc."
50218,2020-02-26 01:15:45.238488+00:00,b'\x8d\xc1\x93\x06',7.643602134617513,45.75,Savoy,42.577,-73.0233,63020.0,"WIVALLEY - WiValley, Inc."
50388,2020-02-26 01:12:55.987883+00:00,b'\x8d\xc1\x93\x06',8.788860635605475,32.94,Savoy,42.577,-73.0233,63020.0,"WIVALLEY - WiValley, Inc."
187700,2020-06-01 19:48:29.815140+00:00,b'\x8d\xc1\x93\t',0.6459019863451342,31.968,Savoy,42.577,-73.0233,63020.0,"WIVALLEY - WiValley, Inc."
191225,2020-06-04 00:04:41.722031+00:00,b'\x8d\xc1\x93\t',0.1055566867586222,37.855,Savoy,42.577,-73.0233,63020.0,"WIVALLEY - WiValley, Inc."
192311,2020-06-04 19:57:06.329309+00:00,b'\x8d\xc1\x93\t',0.4822454380320145,35.809,Savoy,42.577,-73.0233,63020.0,"WIVALLEY - WiValley, Inc."
199441,2020-06-10 19:37:55.422108+00:00,b'\x8d\xc1\x93\t',0.9693599249316404,32.047,Savoy,42.577,-73.0233,63020.0,"WIVALLEY - WiValley, Inc."
203023,2020-06-12 00:24:06.331747+00:00,b'\x8d\xc1\x93\x06',6.238078005494923,29.828,Savoy,42.577,-73.0233,63020.0,"WIVALLEY - WiValley, Inc."
241522,2020-07-04 19:40:36.958082+00:00,b'\x8d\xc1\x93\x08',1.7523226229174778,28.02,Savoy,42.577,-73.0233,63020.0,"WIVALLEY - WiValley, Inc."
255929,2020-07-13 00:27:09.848843+00:00,b'\x8d\xc1\x93\x06',2.874107980832465,33.659,Savoy,42.577,-73.0233,63020.0,"WIVALLEY - WiValley, Inc."
256949,2020-07-13 00:28:48.259039+00:00,b'\x8d\xc1\x93\x06',2.863820855999465,33.386,Savoy,42.577,-73.0233,63020.0,"WIVALLEY - WiValley, Inc."
260570,2020-07-15 16:11:29.637396+00:00,b'\x8d\xc1\x93\t',0.9546059185854736,33.757,Savoy,42.577,-73.0233,63020.0,"WIVALLEY - WiValley, Inc."
260613,2020-07-15 16:10:42.491434+00:00,b'\x8d\xc1\x93\t',0.4113314175948507,33.732,Savoy,42.577,-73.0233,63020.0,"WIVALLEY - WiValley, Inc."
260776,2020-07-15 00:24:36.882606+00:00,b'\x8d\xc1\x93\x01',1.7851515012635668,27.238,Savoy,42.577,-73.0233,63020.0,"WIVALLEY - WiValley, Inc."
