Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
19214,2020-01-22 01:16:01.187861+00:00,b'G\xc0*\xd6',14.995415799268004,21.727,Southwick,42.0511,-72.7706,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
40543,2020-02-15 20:53:34.735338+00:00,b'&\x00\x10\x00\xb1\x1f\xad\x8c\xfddd\x04*\xc7cY',6.921609804263723,46.354,Southwick,42.0511,-72.7706,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
42788,2020-02-18 20:37:19.655072+00:00,b'K\x93$\xe1',17.51541134596591,17.414,Southwick,42.0511,-72.7706,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
70540,2020-03-18 16:11:43.008821+00:00,b'2\xce\x8c\xbe',78.00531714543868,41.14,Southwick,42.0511,-72.7706,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
81050,2020-03-24 16:13:50.096838+00:00,b'G\xc0*\xc9',5.916853149399464,19.166,Southwick,42.0511,-72.7706,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
95664,2020-04-02 19:56:36.393250+00:00,b'\xb8\xb4//',9.334089021567715,19.887,Southwick,42.0511,-72.7706,22773.0,ASN-CXA-ALL-CCI-22773-RDC - Cox Communications Inc.
97662,2020-04-03 16:11:35.909834+00:00,b'\xb8\xb4//',7.084390339688232,21.844,Southwick,42.0511,-72.7706,22773.0,ASN-CXA-ALL-CCI-22773-RDC - Cox Communications Inc.
104592,2020-04-07 00:07:38.627237+00:00,b'G\xc0*X',8.919029537029596,20.823,Southwick,42.0511,-72.7706,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
109606,2020-04-10 16:07:07.324035+00:00,b'2\xd2U\x0e',16.293329568260965,22.533,Southwick,42.0511,-72.7706,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
135161,2020-04-26 16:19:50.868237+00:00,b'G\xc0*\x17',39.53167850784888,16.692,Southwick,42.0511,-72.7706,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
147300,2020-05-04 16:01:05.381223+00:00,b'Lw;-',38.67052482333576,20.125,Southwick,42.0511,-72.7706,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
147654,2020-05-05 19:35:27.851502+00:00,b'&\x030\x05N\x00\x12\x00\x8c\xd5P\x0f\x990@F',10.903705973166712,24.417,Southwick,42.0511,-72.7706,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
