Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
161,2020-01-01 01:19:26.916609+00:00,b'aQ(\xfd',1.4746136646679875,18.698,Sturbridge,42.1126,-72.0842,20115.0,CHARTER-NET-HKY-NC - Charter Communications
166,2020-01-01 13:25:55.659364+00:00,b'aQ(\xfd',8.249975857410863,22.675,Sturbridge,42.1126,-72.0842,20115.0,CHARTER-NET-HKY-NC - Charter Communications
1380,2020-01-02 17:06:32.492434+00:00,b'aQ(\xfd',5.775689781616231,26.111,Sturbridge,42.1126,-72.0842,20115.0,CHARTER-NET-HKY-NC - Charter Communications
1742,2020-01-03 01:22:20.719407+00:00,b'aQ(\xfd',5.328517154234119,23.955,Sturbridge,42.1126,-72.0842,20115.0,CHARTER-NET-HKY-NC - Charter Communications
1855,2020-01-03 17:25:22.178882+00:00,b'aQ(\xfd',6.782811126174096,19.072,Sturbridge,42.1126,-72.0842,20115.0,CHARTER-NET-HKY-NC - Charter Communications
2681,2020-01-04 13:08:19.234516+00:00,b'aQ(\xfd',1.9275423194219103,42.224,Sturbridge,42.1126,-72.0842,20115.0,CHARTER-NET-HKY-NC - Charter Communications
3211,2020-01-04 17:21:38.002369+00:00,b'aQ(\xfd',5.886838187011037,16.211,Sturbridge,42.1126,-72.0842,20115.0,CHARTER-NET-HKY-NC - Charter Communications
3900,2020-01-05 13:27:59.399540+00:00,b'aQ(\xfd',7.231740681442153,20.839,Sturbridge,42.1126,-72.0842,20115.0,CHARTER-NET-HKY-NC - Charter Communications
3908,2020-01-05 17:16:18.170317+00:00,b'aQ(\xfd',7.32873805057104,27.08,Sturbridge,42.1126,-72.0842,20115.0,CHARTER-NET-HKY-NC - Charter Communications
4274,2020-01-05 01:28:44.636319+00:00,b'aQ(\xfd',5.686475880016543,30.912,Sturbridge,42.1126,-72.0842,20115.0,CHARTER-NET-HKY-NC - Charter Communications
4513,2020-01-06 01:05:17.767734+00:00,b'aQ(\xfd',1.1421528726070762,28.681,Sturbridge,42.1126,-72.0842,20115.0,CHARTER-NET-HKY-NC - Charter Communications
5857,2020-01-07 20:44:26.977036+00:00,b'aQ-\x93',14.547665618897316,23.051,Sturbridge,42.1126,-72.0842,20115.0,CHARTER-NET-HKY-NC - Charter Communications
5862,2020-01-07 20:43:56.402419+00:00,b'aQ-\x93',12.870381008447955,21.247,Sturbridge,42.1126,-72.0842,20115.0,CHARTER-NET-HKY-NC - Charter Communications
5867,2020-01-07 01:15:35.419548+00:00,b'aQ(\xfd',7.478457132374547,20.391,Sturbridge,42.1126,-72.0842,20115.0,CHARTER-NET-HKY-NC - Charter Communications
6599,2020-01-08 17:08:29.090523+00:00,b'aQ(\xfd',8.278434658101187,25.657,Sturbridge,42.1126,-72.0842,20115.0,CHARTER-NET-HKY-NC - Charter Communications
7023,2020-01-08 13:05:11.769903+00:00,b'aQ(\xfd',8.123688975408841,20.49,Sturbridge,42.1126,-72.0842,20115.0,CHARTER-NET-HKY-NC - Charter Communications
7364,2020-01-09 17:04:29.372047+00:00,b'aQ(\xfd',8.046018619626684,28.261,Sturbridge,42.1126,-72.0842,20115.0,CHARTER-NET-HKY-NC - Charter Communications
7458,2020-01-09 13:07:11.430205+00:00,b'aQ(\xfd',8.288162646978535,20.735,Sturbridge,42.1126,-72.0842,20115.0,CHARTER-NET-HKY-NC - Charter Communications
7592,2020-01-09 01:19:49.159415+00:00,b'aQ(\xfd',6.745205699446918,26.92,Sturbridge,42.1126,-72.0842,20115.0,CHARTER-NET-HKY-NC - Charter Communications
7990,2020-01-10 01:05:09.292232+00:00,b'aQ(\xfd',2.403630554915855,26.159,Sturbridge,42.1126,-72.0842,20115.0,CHARTER-NET-HKY-NC - Charter Communications
8749,2020-01-10 13:11:02.164765+00:00,b'aQ(\xfd',8.181993620070832,22.489,Sturbridge,42.1126,-72.0842,20115.0,CHARTER-NET-HKY-NC - Charter Communications
8906,2020-01-11 13:18:07.156646+00:00,b'aQ(\xfd',3.63961714218658,25.978,Sturbridge,42.1126,-72.0842,20115.0,CHARTER-NET-HKY-NC - Charter Communications
9048,2020-01-11 17:12:15.607760+00:00,b'aQ(\xfd',7.97315008239844,26.142,Sturbridge,42.1126,-72.0842,20115.0,CHARTER-NET-HKY-NC - Charter Communications
9211,2020-01-11 01:25:09.188499+00:00,b'aQ(\xfd',4.523438982781703,27.419,Sturbridge,42.1126,-72.0842,20115.0,CHARTER-NET-HKY-NC - Charter Communications
10256,2020-01-12 17:18:38.320611+00:00,b'aQ(\xfd',8.304407182404326,28.902,Sturbridge,42.1126,-72.0842,20115.0,CHARTER-NET-HKY-NC - Charter Communications
10368,2020-01-12 01:09:46.837907+00:00,b'aQ(\xfd',4.560537214929978,18.444,Sturbridge,42.1126,-72.0842,20115.0,CHARTER-NET-HKY-NC - Charter Communications
11874,2020-01-14 13:01:17.290250+00:00,b'aQ(\xfd',8.167692312198973,16.41,Sturbridge,42.1126,-72.0842,20115.0,CHARTER-NET-HKY-NC - Charter Communications
12201,2020-01-14 01:26:43.949070+00:00,b'aQ(\xfd',6.378012786082723,32.896,Sturbridge,42.1126,-72.0842,20115.0,CHARTER-NET-HKY-NC - Charter Communications
12718,2020-01-15 13:01:58.148684+00:00,b'aQ(\xfd',7.888544720815833,25.66,Sturbridge,42.1126,-72.0842,20115.0,CHARTER-NET-HKY-NC - Charter Communications
