Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
37,2020-01-01 17:03:25.382992+00:00,b'D\xa0\x8d\x86',9.982665697580954,15.083,Tyngsboro,42.6707,-71.4164,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
233,2020-01-01 17:04:24.302571+00:00,b'D\xa0\x8d\x86',11.113317686814584,20.041,Tyngsboro,42.6707,-71.4164,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
303,2020-01-01 17:28:49.621765+00:00,b'b\xd8\xd7\xb4',6.279671686887619,1094.212,Tyngsboro,42.6707,-71.4164,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
6846,2020-01-08 17:06:29.796765+00:00,b'D\xa0\xb0j',170.4940205094076,13.543,Tyngsboro,42.6707,-71.4164,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
9024,2020-01-11 01:24:31.628673+00:00,b'D\xa0\xa6\x06',4.75609872048155,9.854,Tyngsboro,42.6707,-71.4164,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
9837,2020-01-12 17:28:38.644275+00:00,b'D\xa0\x8e\xb6',3.177975984004598,16.599,Tyngsboro,42.6707,-71.4164,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
13927,2020-01-16 17:12:53.997481+00:00,b'D\xa0\xb0\x90',63.22310732089196,12.932,Tyngsboro,42.6707,-71.4164,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
14078,2020-01-16 13:27:14.641091+00:00,b'D\xa0\xad\x92',109.43180411563928,16.594,Tyngsboro,42.6707,-71.4164,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
15020,2020-01-17 17:23:44.238653+00:00,b'\x97\xcbP\xcf',336.3872228070847,8.14,Tyngsboro,42.6707,-71.4164,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
16928,2020-01-20 20:34:06.009575+00:00,b'\x97\xcbPS',93.217203979468,7.938,Tyngsboro,42.6707,-71.4164,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
17595,2020-01-20 01:09:10.810628+00:00,b'D\xa0\x8e\xb6',39.13952696390756,16.51,Tyngsboro,42.6707,-71.4164,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
18972,2020-01-22 01:16:07.873832+00:00,b'D\xa0\xac\x02',24.81223084226568,9.796,Tyngsboro,42.6707,-71.4164,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
19410,2020-01-22 01:21:13.073908+00:00,b'D\xa0\xac\x02',163.0398987794283,11.711,Tyngsboro,42.6707,-71.4164,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
20086,2020-01-23 13:28:41.367596+00:00,b'2\xcbBd',0.8261078447622777,266.573,Tyngsboro,42.6707,-71.4164,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
24754,2020-01-28 20:47:45.801368+00:00,b'D\xa0\x8c9',45.21224061380458,9.411,Tyngsboro,42.6707,-71.4164,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
27737,2020-02-01 17:09:02.528940+00:00,b'D\xa0\xa7\xae',102.08723965688206,11.999,Tyngsboro,42.6707,-71.4164,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
27741,2020-02-01 17:04:25.948527+00:00,b'D\xa0\xa7\xae',97.19625546256698,14.88,Tyngsboro,42.6707,-71.4164,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
27745,2020-02-01 17:06:23.792973+00:00,b'D\xa0\xa7\xae',30.5291570567149,50.618,Tyngsboro,42.6707,-71.4164,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
27822,2020-02-01 17:12:12.053176+00:00,b'D\xa0\xa7\xae',203.2390269316849,14.741,Tyngsboro,42.6707,-71.4164,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
28021,2020-02-01 17:11:05.866960+00:00,b'D\xa0\xa7\xae',6.965184511399293,14.706,Tyngsboro,42.6707,-71.4164,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
28420,2020-02-01 17:03:54.079237+00:00,b'D\xa0\xa7\xae',93.65354518918674,11.611,Tyngsboro,42.6707,-71.4164,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
28938,2020-02-02 01:06:51.511630+00:00,b'D\xa0\xaeT',28.72512623614536,16.882,Tyngsboro,42.6707,-71.4164,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
30889,2020-02-04 17:10:34.752705+00:00,b'`F\xdd\xe9',0.1503726329938926,25.211,Tyngsboro,42.6707,-71.4164,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
31277,2020-02-05 17:17:53.644001+00:00,b'\xd8\xde\xdb\x01',0.7576106262784196,33.282,Tyngsboro,42.6707,-71.4164,2386.0,INS-AS - AT&T Data Communications Services
32225,2020-02-06 20:40:38.531671+00:00,b'\xd8\xde\xdb\x01',1.6646412087455038,47.488,Tyngsboro,42.6707,-71.4164,2386.0,INS-AS - AT&T Data Communications Services
