Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
41520,2020-02-16 17:11:47.614737+00:00,"b' \x01\x05\xb0""a\x8chy\x04\xe1\x81\x1fa/V'",2.3355201957162133,47.424,Wendell,42.5656,-72.4009,6621.0,HNS-DIRECPC - Hughes Network Systems
42164,2020-02-17 20:45:53.717648+00:00,"b' \x01\x05\xb0""d\x088\xa0\x0cu&aK\x00\x98'",2.666373734507024,47.379,Wendell,42.5656,-72.4009,6621.0,HNS-DIRECPC - Hughes Network Systems
42275,2020-02-17 20:44:50.112128+00:00,"b' \x01\x05\xb0""d\x088H\x0ch\x8c\x7f\xcd\xafK'",2.7262807380682728,46.07,Wendell,42.5656,-72.4009,6621.0,HNS-DIRECPC - Hughes Network Systems
42665,2020-02-17 17:00:32.302384+00:00,"b' \x01\x05\xb0""d\x088\r\xee\xbf\x06;\x97\xd0\xa3'",2.5601118696769274,57.78,Wendell,42.5656,-72.4009,6621.0,HNS-DIRECPC - Hughes Network Systems
43567,2020-02-19 20:38:52.365293+00:00,"b' \x01\x05\xb0""a\x8ch-9xe}\x82\xbfn'",2.507471380892033,47.748,Wendell,42.5656,-72.4009,6621.0,HNS-DIRECPC - Hughes Network Systems
45322,2020-02-20 01:08:41.049419+00:00,"b' \x01\x05\xb0""bB\xf8\x1da\xe2]cR\x90\xbe'",2.45694996092815,52.518,Wendell,42.5656,-72.4009,6621.0,HNS-DIRECPC - Hughes Network Systems
47267,2020-02-23 01:23:04.183295+00:00,"b' \x01\x05\xb0""a\xca(\xdc\x19\xe4\xf5\xa7/R\xca'",2.5765549057669177,45.94,Wendell,42.5656,-72.4009,6621.0,HNS-DIRECPC - Hughes Network Systems
49552,2020-02-26 01:16:16.245165+00:00,"b' \x01\x05\xb0""a\xca((\xc1\x06\x87\xa2y\xf4\x1f'",2.2506307124046443,52.576,Wendell,42.5656,-72.4009,6621.0,HNS-DIRECPC - Hughes Network Systems
49665,2020-02-26 01:18:28.846423+00:00,"b' \x01\x05\xb0""a\xca((\xc1\x06\x87\xa2y\xf4\x1f'",2.370350327629346,57.628,Wendell,42.5656,-72.4009,6621.0,HNS-DIRECPC - Hughes Network Systems
88338,2020-03-28 19:57:05.995167+00:00,"b' \x01\x05\xb0""bF\x88Yzde\xdd\nJ\xc1'",2.066192659109566,71.892,Wendell,42.5656,-72.4009,6621.0,HNS-DIRECPC - Hughes Network Systems
90068,2020-03-29 19:33:30.258523+00:00,"b' \x01\x05\xb0""dSH\x1d\xf7\xa6\xcfu\xb5d\x95'",2.3334801592275043,52.417,Wendell,42.5656,-72.4009,6621.0,HNS-DIRECPC - Hughes Network Systems
90537,2020-03-30 00:00:38.969506+00:00,"b' \x01\x05\xb0""a\xad\x98\x8d\xd1d8\xa4\x17Q\x84'",2.4304774323584954,71.79,Wendell,42.5656,-72.4009,6621.0,HNS-DIRECPC - Hughes Network Systems
90566,2020-03-30 00:16:59.217729+00:00,"b' \x01\x05\xb0""a\xbb|@\xb1%0d\x12\x1f\x15'",1.968517628204096,51.358,Wendell,42.5656,-72.4009,6621.0,HNS-DIRECPC - Hughes Network Systems
91617,2020-03-30 00:18:18.352215+00:00,"b' \x01\x05\xb0""a\xbb|@\xb1%0d\x12\x1f\x15'",2.518031415334021,72.113,Wendell,42.5656,-72.4009,6621.0,HNS-DIRECPC - Hughes Network Systems
119342,2020-04-16 00:01:17.658725+00:00,b' \x01\x05\xb0E\xc6\xe5(!\xd4\xd7t\x9cvg\xdf',1.689438924696452,160.797,Wendell,42.5636,-72.4024,6621.0,HNS-DIRECPC - Hughes Network Systems
194314,2020-06-06 16:23:22.804804+00:00,b' \x01\x05\xb0E\xc5\x89h\xec\x14\x9f\x96\xa8\xdb\x03\x05',2.2781320783091146,60.35,Wendell,42.5636,-72.4024,6621.0,HNS-DIRECPC - Hughes Network Systems
204044,2020-06-13 00:29:21.647260+00:00,b'Kk\x97/',0.2069774963533527,53.551,Wendell,42.5636,-72.4024,7155.0,WB-DEN2 - Viasat Communications Inc.
