Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
1566,2020-01-02 20:42:08.288551+00:00,b'G\xe8\x9b\xbf',11.73558850755654,20.182,West Bridgewater,42.0227,-71.018,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
2088,2020-01-03 01:25:49.077315+00:00,b'G\xe8\x9b\xbf',11.750536397678648,20.577,West Bridgewater,42.0227,-71.018,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
4156,2020-01-05 20:40:35.626356+00:00,b'G\xe8\x9b\xbf',11.711184124500052,18.216,West Bridgewater,42.0227,-71.018,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
5119,2020-01-06 01:13:32.724841+00:00,b'G\xe8\x9b\xbf',11.672923960577222,48.352,West Bridgewater,42.0227,-71.018,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
5868,2020-01-07 20:58:13.523729+00:00,b'G\xe8\x9b\xbf',11.80382967373222,19.039,West Bridgewater,42.0227,-71.018,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
6501,2020-01-08 20:33:18.169974+00:00,b'G\xe8\x9b\xbf',11.777264542781738,20.115,West Bridgewater,42.0227,-71.018,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
11179,2020-01-13 20:58:16.473338+00:00,b'G\xe8\x9b\xbf',11.689191274379116,58.784,West Bridgewater,42.0227,-71.018,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
11948,2020-01-14 20:39:23.775924+00:00,b'G\xe8\x9b\xbf',11.791063884127515,18.15,West Bridgewater,42.0227,-71.018,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
13974,2020-01-16 20:33:20.545343+00:00,b'G\xe8\x9b\xbf',11.623866793989665,47.893,West Bridgewater,42.0227,-71.018,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
15264,2020-01-18 20:32:15.421271+00:00,b'G\xe8\x9b\xbf',11.762163014556265,29.726,West Bridgewater,42.0227,-71.018,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
16450,2020-01-19 20:38:45.891693+00:00,b'G\xe8\x9b\xbf',11.638200951758378,24.065,West Bridgewater,42.0227,-71.018,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
16800,2020-01-19 01:23:51.984000+00:00,b'G\xe8\x9b\xbf',11.721625238715632,26.175,West Bridgewater,42.0227,-71.018,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
16923,2020-01-20 17:19:37.704678+00:00,b'G\xe8\x99\x99',39.57227779119001,22.065,West Bridgewater,42.0227,-71.018,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
17729,2020-01-20 17:18:36.453713+00:00,b'G\xe8\x99\x99',40.72386136128473,16.189,West Bridgewater,42.0227,-71.018,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
18314,2020-01-21 20:54:24.416257+00:00,b'G\xe8\x9b\xbf',11.80295409044187,18.221,West Bridgewater,42.0227,-71.018,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
18569,2020-01-21 20:58:58.017319+00:00,b'G\xe8\x9b\xfe',10.6424314432846,24.323,West Bridgewater,42.0227,-71.018,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
20132,2020-01-23 01:26:29.296018+00:00,b'G\xe8\x9b\xbf',11.720480395439608,26.84,West Bridgewater,42.0227,-71.018,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
20439,2020-01-23 20:31:45.303077+00:00,b'`C=\x95',22.85781725066152,18.133,West Bridgewater,42.0227,-71.018,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
20944,2020-01-24 01:12:59.499926+00:00,b'G\xe8\x9b\xbf',11.657954490840403,20.151,West Bridgewater,42.0227,-71.018,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
21759,2020-01-25 01:06:19.112199+00:00,b'G\xe8\x9b\xbf',7.948753057606655,26.23,West Bridgewater,42.0227,-71.018,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
29401,2020-02-03 17:24:39.556324+00:00,b'\x88\xa7UZ',30.45361141342497,11.721,West Bridgewater,42.0227,-71.018,22834.0,BOSTONCOLLEGE - Boston College
29427,2020-02-03 17:26:27.077052+00:00,b'\x88\xa7UZ',62.46144761470931,9.985,West Bridgewater,42.0227,-71.018,22834.0,BOSTONCOLLEGE - Boston College
29596,2020-02-03 17:27:14.268733+00:00,b'\x88\xa7UZ',117.43748482885648,13.095,West Bridgewater,42.0227,-71.018,22834.0,BOSTONCOLLEGE - Boston College
