Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
68,2020-01-01 13:22:34.392998+00:00,b'\x18[v\x15',11.808427503818326,21.642,West Roxbury,42.2783,-71.1593,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1014,2020-01-02 01:10:24.063647+00:00,b'&\x01\x01\x9b\x08\x01\x02@\xa8\x17)t\xd8\xc8\xb2\xf0',3.4805841651348617,21.98,West Roxbury,42.2783,-71.1593,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1499,2020-01-02 01:01:14.956807+00:00,b'I\xda\xb9\xa3',38.227492372620624,46.909,West Roxbury,42.2783,-71.1593,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1572,2020-01-02 01:01:45.388186+00:00,b'I\xda\xb9\xa3',38.23568194645914,41.949,West Roxbury,42.2783,-71.1593,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1944,2020-01-03 01:16:44.504643+00:00,b'&\x01\x01\x9b\x08\x01\x02@l&\xcae\xa2\xb2\xe5\xa1',3.575328112999048,21.977,West Roxbury,42.2783,-71.1593,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
2524,2020-01-03 13:21:54.098883+00:00,b'\x18[v\x15',11.516582081401213,26.016,West Roxbury,42.2783,-71.1593,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
2541,2020-01-03 20:31:01.395904+00:00,b'&\x01\x01\x9b\x08\x00\x1e\xe0E/?@\xf7\x1f3\xbc',3.266607340003054,30.456,West Roxbury,42.2783,-71.1593,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
2860,2020-01-04 20:49:51.795230+00:00,b'Iwc\x9b',0.5785669490029453,27.3,West Roxbury,42.2783,-71.1593,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
3181,2020-01-04 13:03:27.440205+00:00,b'\x18[v\x15',11.722552124869145,20.144,West Roxbury,42.2783,-71.1593,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
3996,2020-01-05 13:26:46.306306+00:00,b'\x18[v\x15',9.43724827896501,17.944,West Roxbury,42.2783,-71.1593,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
5384,2020-01-07 20:38:28.240625+00:00,b'd\x11\x1fS',326.06491972791366,10.993,West Roxbury,42.2783,-71.1593,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
5582,2020-01-07 01:04:58.671876+00:00,b'l\x14yc',180.80642242581123,12.029,West Roxbury,42.2783,-71.1593,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
5833,2020-01-07 20:34:05.182532+00:00,b'd\x11\x1fS',179.2076762069226,9.272,West Roxbury,42.2783,-71.1593,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
6634,2020-01-08 13:22:52.168492+00:00,b'\x18[v\x15',6.61781732627612,19.039,West Roxbury,42.2783,-71.1593,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
7088,2020-01-09 01:21:02.962709+00:00,b'HF#\\',290.1265506739797,9.778,West Roxbury,42.2783,-71.1593,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
7163,2020-01-09 01:04:54.416703+00:00,b'l\x14yc',268.840154406883,8.005,West Roxbury,42.2783,-71.1593,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
8219,2020-01-10 13:10:11.556188+00:00,b'\x18[v\x15',11.528125303426604,20.269,West Roxbury,42.2783,-71.1593,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
8918,2020-01-11 20:41:34.315456+00:00,b'\xb8Q;\xfa',29.61168802752524,13.072,West Roxbury,42.2783,-71.1593,7029.0,WINDSTREAM - Windstream Communications Inc
9026,2020-01-11 17:27:16.974003+00:00,b'KD\xb2\xe2',3.5831831995146235,18.077,West Roxbury,42.2783,-71.1593,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
9182,2020-01-11 13:10:40.185027+00:00,b'&\x01\x01\x9b\x08\x01\x11\xe0\x05<z\xbe2Q\xa9\xb7',11.22230255955952,20.84,West Roxbury,42.2783,-71.1593,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
9545,2020-01-11 17:24:22.175293+00:00,b'&\x01\x01\x9b\x08\x00\xd6P@G\x013\x0f9\r\x1a',3.379758050612117,28.048,West Roxbury,42.2783,-71.1593,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
9876,2020-01-12 01:20:58.397051+00:00,b'HF#\\',34.073001164450055,9.751,West Roxbury,42.2783,-71.1593,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
10082,2020-01-12 13:19:16.735419+00:00,b'H]H\xeb',29.452602017862443,8.549,West Roxbury,42.2783,-71.1593,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
10247,2020-01-12 13:27:34.235814+00:00,b'\x18[v\x15',11.667215682600837,18.104,West Roxbury,42.2783,-71.1593,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
10367,2020-01-12 01:16:11.666559+00:00,b'&\x01\x01\x9b\x08\x00\xf1\x80\x1c\xd3*\xce\x9frU\xb5',5.344769081437182,27.514,West Roxbury,42.2783,-71.1593,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
