Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
58,2020-01-01 20:42:47.914891+00:00,b'&\x01\x01\x9bE\x00\xaf0\x98k?YT\xe5\xa3\xbf',5.73795373842147,28.672,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
81,2020-01-01 20:44:45.359131+00:00,b'G\xc0\x12j',5.809077369940766,22.253,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
118,2020-01-01 20:44:22.181111+00:00,b'G\xc0\x12j',5.761545989152956,22.697,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
213,2020-01-01 20:45:43.584776+00:00,b'G\xc0\x12j',5.8632991381074255,24.733,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
340,2020-01-01 20:42:09.292484+00:00,b'G\xc0\x12j',5.81832017840047,26.935,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
617,2020-01-01 20:46:23.526519+00:00,b'&\x01\x01\x9bE\x00\xaf0\x98k?YT\xe5\xa3\xbf',5.779484254612276,21.196,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
643,2020-01-01 20:45:09.197905+00:00,b'G\xc0\x12j',5.694187593619012,20.962,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
722,2020-01-01 20:43:15.130881+00:00,b'&\x01\x01\x9bE\x00\xaf0\x98k?YT\xe5\xa3\xbf',5.777908334191067,26.94,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
805,2020-01-02 20:51:50.136976+00:00,b'&\x01\x01\x9bE\x00E\xf00o\xf4w\x9c\x9fyy',5.755303500353187,19.581,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1229,2020-01-02 20:53:47.544172+00:00,b'&\x01\x01\x9bE\x00E\xf00o\xf4w\x9c\x9fyy',4.276989133346579,19.393,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
1412,2020-01-02 20:51:16.535674+00:00,b'&\x01\x01\x9bE\x00E\xf00o\xf4w\x9c\x9fyy',5.519208997233838,18.971,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
2114,2020-01-03 20:33:37.002256+00:00,b'\xd0c\xff\x90',14.240014303975038,14.992,West Springfield,42.1177,-72.6445,13510.0,"BAYSTATEHEALTH - Baystate Health, Inc."
2399,2020-01-03 01:16:11.813292+00:00,b'b\xe52\x15',5.897070025610699,19.565,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
2571,2020-01-04 01:02:24.960854+00:00,b'&\x01\x01\x9bE\x00\xd9\xf0\x15s\xb8\x02i)Y\xe6',5.787537222803373,24.356,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
2915,2020-01-04 01:15:29.601750+00:00,b'&\x01\x01\x9bG\x80\x01\x00\xf1\xefa \xbd\xea\xde\x19',5.718682073791915,17.207,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
3098,2020-01-04 01:14:48.852526+00:00,b'&\x01\x01\x9bG\x80\x01\x00\xf1\xefa \xbd\xea\xde\x19',5.7073271571781214,17.698,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
3285,2020-01-04 17:29:24.968943+00:00,b'&\x01\x01\x9bG\x00\xbb\x00\x01\xdf%D\xa3\xe7\xf1w',5.065373450804361,22.381,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
3476,2020-01-04 13:13:57.881713+00:00,b'&\x01\x01\x9bE\x00\xd9\xf0\xfc\x86\x88\xb3\xd3\xfcU\xcd',3.5467762946709187,16.906,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
3606,2020-01-05 17:11:21.972399+00:00,b'&\x01\x01\x9bG\x80\xffp<U\xfc\xc6\xd8\x97\xc3\xc4',14.775339036315188,19.918,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
4571,2020-01-06 01:29:04.628260+00:00,b'&\x01\x01\x9bE\x00\xdb\xf0I\xa7\x9d `\xc4\x81\x06',10.043225844723125,29.085,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
4691,2020-01-06 01:29:29.424166+00:00,b'&\x01\x01\x9bE\x00\xdb\xf0I\xa7\x9d `\xc4\x81\x06',9.521438062524808,28.654,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
4737,2020-01-06 01:26:54.119046+00:00,b'&\x01\x01\x9bE\x00\xdb\xf0I\xa7\x9d `\xc4\x81\x06',10.432100681436056,22.009,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
4873,2020-01-06 01:27:54.313562+00:00,b'&\x01\x01\x9bE\x00\xdb\xf0I\xa7\x9d `\xc4\x81\x06',10.634207306814488,19.205,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
4988,2020-01-06 17:10:23.382979+00:00,b'Lv\xd8<',7.1772438809286845,40.85,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
5103,2020-01-06 01:27:18.570279+00:00,b'&\x01\x01\x9bE\x00\xdb\xf0I\xa7\x9d `\xc4\x81\x06',9.779704981993902,20.175,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
5157,2020-01-06 01:28:19.078126+00:00,b'&\x01\x01\x9bE\x00\xdb\xf0I\xa7\x9d `\xc4\x81\x06',9.262668644129,19.23,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
5631,2020-01-07 01:09:16.877932+00:00,b'&\x01\x01\x9bG\x809 \xc0\xa1y!Vh\x8a)',4.79275806690825,41.574,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
5770,2020-01-07 01:08:50.603545+00:00,b'&\x01\x01\x9bG\x809 \xc0\xa1y!Vh\x8a)',5.662561058177859,22.477,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
6013,2020-01-07 01:17:44.917989+00:00,b'&\x01\x01\x9bG\x80<\x80\xedj\xaa\x0f\x91\x17\xdd\xe3',5.767614034016488,28.019,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
6307,2020-01-08 01:28:01.518262+00:00,b'A`Lx',5.791233299039763,19.155,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
6392,2020-01-08 01:28:38.018516+00:00,b'A`Lx',5.876292034024309,20.195,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
8671,2020-01-10 01:15:31.473849+00:00,b'&\x01\x01\x9bG\x803;\x13\xb2\xb9n\xea\xee\x10J',5.814507820519308,23.088,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
8921,2020-01-11 20:36:00.105379+00:00,b'&\x01\x01\x9bG\x80\x19 \x00\x00\x00\x00\x00\x00\x00\x01',3.2829278848825245,19.5,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
9347,2020-01-11 01:14:40.294509+00:00,b'&\x01\x01\x9bE\x00\xf8\xb0\\\xce\xd6MWb\xc0%',5.179075642727002,20.238,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
9483,2020-01-11 20:30:01.306262+00:00,b'&\x01\x01\x9bG\x80\x19 \x00\x00\x00\x00\x00\x00\x00\x04',10.906409061913624,20.479,West Springfield,42.1177,-72.6445,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
