Index,TestTime,IP,MeanThroughputMbps,MinRTT,City,Latitude,Longitude,ProviderNumber,ProviderName
10413,2020-01-12 01:08:49.914233+00:00,b'&\x07\xfb\x90;_\xa5\xf8\x04\xbb\x15/\xca\xc0[$',0.7328697907570658,40.166,Whitman,42.0816,-70.9381,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
12690,2020-01-15 20:46:30.255771+00:00,b'B\x1fq\xfa',30.808923829234296,24.619,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
12846,2020-01-15 20:45:52.353155+00:00,b'B\x1fq\xfa',1.227339363369975,29.187,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
13223,2020-01-15 17:28:16.339720+00:00,b'&\x07\xfb\x90;^\x8c\xe7l\xa1\xca\xb8\xa9\xf5O9',15.126863730625344,33.967,Whitman,42.0816,-70.9381,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
17846,2020-01-21 13:14:45.589393+00:00,b'&\x07\xfb\x90;^\xd3\x13\rK\xaa\x016\xdeW\xf8',1.1321646989183314,47.297,Whitman,42.0816,-70.9381,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
17922,2020-01-21 01:01:59.286425+00:00,"b""&\x07\xfb\x90;^P@$/\x8c\xb3Y#\x08'""",3.131206611382394,45.221,Whitman,42.0816,-70.9381,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
18464,2020-01-21 01:01:05.930526+00:00,"b""&\x07\xfb\x90;^P@$/\x8c\xb3Y#\x08'""",0.2674650716235019,66.031,Whitman,42.0816,-70.9381,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
33188,2020-02-07 20:43:22.566218+00:00,b'&\x07\xfb\x90;7\xdcTVhu\xcf&\x1a\x99\x13',6.607518742524046,54.462,Whitman,42.0816,-70.9381,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
33606,2020-02-07 20:42:26.621728+00:00,b'&\x07\xfb\x90;7\xdcTVhu\xcf&\x1a\x99\x13',15.536202946540692,49.928,Whitman,42.0816,-70.9381,21928.0,"T-MOBILE-AS21928 - T-Mobile USA, Inc."
50675,2020-02-27 20:32:58.519412+00:00,b'`\xe6O\xf2',0.3709093147760903,12.277,Whitman,42.0816,-70.9381,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
99938,2020-04-04 00:25:04.811478+00:00,b'HJ\xc8\xbb',0.2017611237085424,388.071,Whitman,42.0816,-70.9381,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
143641,2020-05-01 16:25:22.687022+00:00,b'KD\xd0\x10',17.18112632908741,18.23,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
144536,2020-05-02 16:10:40.939803+00:00,b'KD\xd0\x10',17.21635055570714,18.191,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
148170,2020-05-05 00:25:24.612755+00:00,b'I\x8e\x94\xd6',0.4085879127828833,35.528,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
149245,2020-05-06 16:13:49.555196+00:00,b'KD\xd0\x10',17.557718170580042,16.552,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
151907,2020-05-07 16:18:15.640640+00:00,b'KD\xd0\x10',17.64417257644684,18.766,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
152670,2020-05-08 16:09:24.307997+00:00,b'KD\xd0\x10',17.413736911507918,30.298,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
153813,2020-05-09 16:23:11.082934+00:00,b'KD\xd0\x10',17.319477391215855,16.197,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
156042,2020-05-10 16:20:04.075011+00:00,b'KD\xd0\x10',17.616692027500992,17.928,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
157319,2020-05-11 16:13:15.728757+00:00,b'KD\xd0\x10',17.062952387692928,15.982,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
159986,2020-05-13 16:18:59.909212+00:00,b'KD\xd0\x10',17.184585207600346,16.001,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
161314,2020-05-14 16:21:02.837049+00:00,b'KD\xd0\x10',17.0397176342549,15.942,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
165842,2020-05-17 16:28:01.322139+00:00,b'KD\xd0\x10',17.63887758000178,16.539,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
167574,2020-05-18 16:18:20.042725+00:00,b'KD\xd0\x10',17.642211516461572,16.787,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
169419,2020-05-19 16:18:48.495401+00:00,b'KD\xd0\x10',17.54861370967728,16.493,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
170736,2020-05-20 00:19:23.684177+00:00,b'&\x030\x05\x04\x00\xdd\x00\xb8\x8epu\xc8\x8aG\xb6',3.611097890752417,32.246,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
173827,2020-05-22 16:07:01.751449+00:00,b'KD\xd0\x10',17.190517023265127,16.328,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
174055,2020-05-22 12:29:42.317159+00:00,b'&\x030\x05\x04\x00\xdd\x00)\xe7\xff\xbb\xd6j\x04\xc1',3.271431066316944,28.27,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
175283,2020-05-23 16:04:30.026600+00:00,b'KD\xd0\x10',17.643116342148623,14.655,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
177845,2020-05-25 16:11:22.077622+00:00,b'KD\xd0\x10',17.28074304779783,51.103,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
178949,2020-05-26 16:12:59.188498+00:00,b'KD\xd0\x10',17.27961582389267,15.886,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
181812,2020-05-28 16:23:06.038778+00:00,b'KD\xd0\x10',17.630165123549123,14.456,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
182940,2020-05-29 16:18:53.888623+00:00,b'KD\xd0\x10',16.88805074086783,15.177,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
183835,2020-05-29 16:02:39.471403+00:00,b'HJ\xc9\x03',0.1275439776274087,139.81,Whitman,42.0816,-70.9381,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
184044,2020-05-29 16:01:58.115476+00:00,b'HJ\xc9\x03',0.2290423781066756,76.538,Whitman,42.0816,-70.9381,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
185242,2020-05-30 19:31:47.819543+00:00,b'KD\xd1\x0f',1.4891091436292172,20.637,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
185419,2020-05-30 19:42:36.417164+00:00,b'KD\xd1\x0f',5.846634624016388,19.199,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
190013,2020-06-03 19:43:52.185836+00:00,b'&\x00\x10\x00\xb0w\xc0\x85\xfd\x95G\xbd\x10R\xbfc',0.919000103904819,49.563,Whitman,42.0816,-70.9381,22394.0,CELLCO - Cellco Partnership DBA Verizon Wireless
190292,2020-06-03 19:40:30.734452+00:00,b'B\x1e\xaa\xa8',37.46571059782773,13.319,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
191024,2020-06-03 00:18:39.364821+00:00,b'HJ\xc8d',0.7194165480249194,16.01,Whitman,42.0816,-70.9381,701.0,"UUNET - MCI Communications Services, Inc. d/b/a Verizon Business"
191478,2020-06-04 19:30:09.572207+00:00,b'`VI\x0c',20.08490956391228,23.747,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
191830,2020-06-04 19:48:25.710059+00:00,b'B\x1e\xaa\xa8',32.264754445684325,16.823,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
192333,2020-06-04 19:37:18.140808+00:00,b'`VI\x0c',20.391452943126428,23.738,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
192501,2020-06-04 19:58:59.605013+00:00,b'`VI\x0c',8.205461623516708,25.278,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
194177,2020-06-06 19:34:01.093189+00:00,b'B\x1e\xaa\xa8',40.6179811636658,17.412,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
196712,2020-06-08 19:44:59.998928+00:00,b'B\x1e\xaa\xa8',38.25539510250262,18.751,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
198811,2020-06-09 19:35:45.433674+00:00,b'B\x1e\xaa\xa8',37.86872420377929,15.143,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
202710,2020-06-12 19:51:32.527500+00:00,b'B\x1e\xaa\xa8',40.70046709477416,16.72,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
204374,2020-06-13 19:49:39.180286+00:00,b'B\x1e\xaa\xa8',40.84740523318706,16.029,Whitman,42.0816,-70.9381,7922.0,"COMCAST-7922 - Comcast Cable Communications, Inc."
